id,https://www.bonanza.com/booths/,booth_id,seller_id,featured_category_id,profit_estimate,value_em,created_at,first_sale,DaysToSale,Days as User,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
22023389,https://www.bonanza.com/booths/3137725,3137725,22023389,26395,54529.45,WHALE,11/29/2016,2016-12-01,2,749,$72.80,8034,$6.79,4,San Francisco,CA,US,123,258,14,5.43%,4,436.00,5%,4.42
4423773,https://www.bonanza.com/booths/849753,849753,4423773,99,44969.22,WHALE,9/12/2012,2012-09-13,1,"2,288",$19.65,5273,$8.53,4,PHILLY,PA,US,53,7083,54,0.76%,3,2150.00,41%,4.92
7376979,https://www.bonanza.com/booths/1450321,1450321,7376979,0,44419.15,WHALE,3/27/2014,2014-03-30,3,"1,727",$25.72,13490,$3.29,,bangkok,Bangkok,TH,142,17989,480,2.67%,3,1457.00,11%,4.56
4455085,https://www.bonanza.com/booths/857541,857541,4455085,99,43594.94,WHALE,9/20/2012,2012-11-07,48,"2,280",$19.12,6175,$7.06,3,Gales Ferry,CT,US,4756,6885,106,1.54%,5,3762.00,61%,4.98
23802586,https://www.bonanza.com/booths/3311367,3311367,23802586,26395,43097.56,WHALE,2/27/2017,2017-03-23,24,659,$65.40,6447,$6.68,,el monte,CA,US,84,5814,253,4.35%,0,624.00,10%,4.81
6998495,https://www.bonanza.com/booths/1368469,1368469,6998495,281,38816.46,WHALE,2/11/2014,2014-02-17,6,"1,771",$21.92,2096,$18.52,4,Mumbai,MH,IN,29303,12017,50,0.42%,3,290.00,14%,4.05
11180649,https://www.bonanza.com/booths/2101385,2101385,11180649,58058,38586.62,WHALE,1/21/2015,2015-09-21,243,"1,427",$27.04,9182,$4.20,4,Melaka,Kedah,MY,30,948,91,9.60%,4,1448.00,16%,4.87
11117208,https://www.bonanza.com/booths/2110043,2110043,11117208,0,37603.37,WHALE,1/15/2015,2015-02-05,21,"1,433",$26.24,4866,$7.73,0,Apex,NC,US,639,5061,92,1.82%,4,495.00,10%,4.77
15818665,https://www.bonanza.com/booths/2699546,2699546,15818665,0,36003.39,WHALE,12/27/2015,2016-01-01,5,"1,087",$33.12,4198,$8.58,4,College Station,TX,US,9,95,3,3.16%,2,420.00,10%,4.91
10410543,https://www.bonanza.com/booths/1981264,1981264,10410543,15032,34088.77,WHALE,11/17/2014,2015-04-08,142,"1,492",$22.85,6693,$5.09,4," tuen mun, nt ",NT,HK,73,8941,83,0.93%,4,402.00,6%,4.68
24080218,https://www.bonanza.com/booths/3341749,3341749,24080218,1281,31073.87,WHALE,3/12/2017,2017-03-16,4,646,$48.10,5913,$5.26,4,Fatima,santarem,PT,274,416,14,3.37%,4,592.00,10%,4.81
17012419,https://www.bonanza.com/booths/2804070,2804070,17012419,6028,30561,WHALE,3/15/2016,2016-04-08,24,"1,008",$30.32,1824,$16.76,4,Las Vegas,NV,US,3459,22274,70,0.31%,4,148.00,8%,4.39
14203136,https://www.bonanza.com/booths/2534929,2534929,14203136,6028,30146,WHALE,9/14/2015,2015-09-19,5,"1,191",$25.31,5177,$5.82,,Corona,CA,US,17153,5970,92,1.54%,4,325.00,6%,4.54
15975328,https://www.bonanza.com/booths/2713288,2713288,15975328,0,29867.05,WHALE,1/6/2016,2016-01-09,3,"1,077",$27.73,789,$37.85,,New York,NY,US,5,102,1,0.98%,0,44.00,6%,4.73
10084375,https://www.bonanza.com/booths/2903089,1938299,10084375,11700,1503.3,DOLPHIN,10/16/2014,2015-01-08,84,"1,524",$0.65,59,$2.32,4,Denville,NJ,US,133,468,4,1.74%,0,7.00,5%,3.29
28209965,https://www.bonanza.com/booths/3833397,3833397,28209965,281,23.02,SEA_BASS,10/3/2014,2015-04-27,206,"1,537",$0.01,57,$0.40,4,Mojokerto,Jawa Timur,ID,18547,1232,6,0.49%,0,4.00,7%,3.25
26653992,https://www.bonanza.com/booths/3658360,3658360,26653992,26395,153.4,MINNOW,11/3/2016,2017-01-08,66,775,$0.20,25,$6.14,16,Chicago,Illinois,US,80,365,6,1.64%,0,0.00,0%,NULL
18868692,https://www.bonanza.com/booths/2888465,2888465,18868692,26395,333.62,MINNOW,2/15/2017,2017-02-18,3,671,$0.50,72,$4.63,4,Miami,FL,US,289,602,3,0.50%,3,3.00,4%,4.33
31113752,https://www.bonanza.com/booths/4196391,4196391,31113752,281,1552.3,DOLPHIN,11/5/2015,2015-11-24,19,"1,139",$1.36,133,$11.67,4,dombivli,MAHARASHTRA,IN,7483,6159,37,0.60%,3,13.00,10%,3.69
29072000,https://www.bonanza.com/booths/3935429,3935429,29072000,1,84.02,SEA_BASS,8/11/2011,2012-09-16,402,"2,686",$0.03,87,$0.97,4,TAYLORSVILLE,Utah,US,955,413,10,2.42%,0,7.00,8%,5.00
12102667,https://www.bonanza.com/booths/2249296,2249296,12102667,0,114.89,MINNOW,10/15/2015,2015-11-27,43,"1,160",$0.10,45,$2.55,,Los Angeles,CA,US,263,270,2,0.74%,0,2.00,4%,5.00
27924498,https://www.bonanza.com/booths/3800178,3800178,27924498,6028,2923.08,DOLPHIN,6/26/2017,2017-06-29,3,540,$5.41,251,$11.65,4,Sauk Centre,MN,US,193,1638,13,0.79%,3,30.00,12%,4.73
12416057,https://www.bonanza.com/booths/2303770,2303770,12416057,11450,439.4,DOLPHIN,9/2/2015,2015-09-22,20,"1,203",$0.37,299,$1.47,,BROOKLYN,NY,US,9461,3161,10,0.32%,0,9.00,3%,4.56
35318215,https://www.bonanza.com/booths/4627765,4627765,35318215,293,349.55,DOLPHIN,7/10/2016,2016-07-20,10,891,$0.39,7,$49.94,4,Keller,Texas,US,180,162,6,3.70%,2,0.00,0%,NULL
15930945,https://www.bonanza.com/booths/2708482,2708482,15930945,11450,-16.28,DOLPHIN,7/16/2014,2014-07-30,14,"1,616",-$0.01,40,-$0.41,,North Versailles,PA,US,991,129,1,0.78%,0,6.00,15%,3.67
13842092,https://www.bonanza.com/booths/2489803,2489803,13842092,12576,227.33,MINNOW,8/8/2016,2016-08-25,17,862,$0.26,35,$6.50,,st paul,mn,US,213,110,1,0.91%,0,2.00,6%,5.00
19112086,https://www.bonanza.com/booths/2907569,2907569,19112086,11450,-30.78,MINNOW,2/28/2016,2016-03-02,3,"1,024",-$0.03,68,-$0.45,,Klaten,Central Java,ID,56,214,0,0.00%,0,5.00,7%,4.20
32252166,https://www.bonanza.com/booths/4330789,4330789,32252166,0,13.29,SEA_BASS,7/25/2010,2010-08-04,10,"3,068",$0.00,21,$0.63,0,TEMARA,Temara Sekhirat,MA,165,149,3,2.01%,2,0.00,0%,NULL
27569612,https://www.bonanza.com/booths/3761814,3761814,27569612,11450,913.38,DOLPHIN,6/14/2016,2016-06-21,7,917,$1.00,236,$3.87,4,Sahuarita,Arizona,US,12858,1611,8,0.50%,3,10.00,4%,5.00
27325370,https://www.bonanza.com/booths/3734453,3734453,27325370,45100,847.79,DOLPHIN,8/15/2012,2012-08-24,9,"2,316",$0.37,268,$3.16,0,Appleton,WI,US,75082,4809,86,1.79%,0,4.00,1%,4.75
35391468,https://www.bonanza.com/booths/4632806,4632806,35391468,0,7.24,SEA_BASS,3/27/2017,2017-04-03,7,631,$0.01,3,$2.41,0,Spartanburg,SC,US,573,321,1,0.31%,0,0.00,0%,NULL
33136751,https://www.bonanza.com/booths/4414028,4414028,33136751,6028,1015,DOLPHIN,11/23/2011,2012-03-07,105,"2,582",$0.39,108,$9.40,8,Doral,FL,US,3774,1105,2,0.18%,2,15.00,14%,3.93
29535501,https://www.bonanza.com/booths/3984751,3984751,29535501,11450,118.86,MINNOW,7/4/2012,2012-07-07,3,"2,358",$0.05,15,$7.92,16,HAMMOND,NY,US,327,242,2,0.83%,0,1.00,7%,5.00
31572387,https://www.bonanza.com/booths/4254382,4254382,31572387,11450,300,DOLPHIN,12/11/2012,2013-02-05,56,"2,198",$0.14,28,$10.70,0,Islamabad,Federal,PK,174,985,7,0.71%,0,6.00,21%,4.00
12230129,https://www.bonanza.com/booths/2273229,2273229,12230129,15032,771.27,SEA_BASS,1/10/2017,2017-01-14,4,707,$1.09,767,$1.01,,Panevezys,Panevėžys County,LT,72487,3023,5,0.17%,0,37.00,5%,3.32
14623510,https://www.bonanza.com/booths/2589403,2589403,14623510,99,654,DOLPHIN,9/10/2015,2015-09-11,1,"1,195",$0.55,380,$1.72,4,Spokane,WA,US,38455,119,5,4.20%,0,28.00,7%,4.50
28952020,https://www.bonanza.com/booths/3922154,3922154,28952020,220,393.23,DOLPHIN,1/22/2015,2015-01-25,3,"1,426",$0.28,238,$1.65,22,Liverpool,Merseyside,GB,186,7271,31,0.43%,0,11.00,5%,4.36
8090373,https://www.bonanza.com/booths/1576973,1576973,8090373,0,471.58,MINNOW,4/2/2017,2017-04-11,9,625,$0.75,65,$7.26,4,West Palm Bch,FL,US,129,183,0,0.00%,0,7.00,11%,3.29
33710760,https://www.bonanza.com/booths/2484056,4472569,33710760,11450,6.57,MINNOW,7/25/2018,2018-08-18,31,"1,220",$1.51,5,$3.22,4,Quang Ngai,Quang Ngai,VN,2998,85,2,0.59%,0,0.00,6%,NULL
14390240,https://www.bonanza.com/booths/2558146,2558146,14390240,11450,635,SEA_BASS,11/27/2010,2011-03-14,107,"2,943",$0.22,209,$3.04,4,Jacksonville,FL,US,1586,310,2,0.65%,0,17.00,8%,4.65
33793757,https://www.bonanza.com/booths/44131,4481585,33793757,11450,0.51,MINNOW,7/30/2018,2018-09-09,116,"3,526",$0.03,5,$0.33,16,Ontario,CA,US,115,420,2,0.58%,0,1.00,16%,5.00
6708205,https://www.bonanza.com/booths/1313735,1313735,6708205,64482,680,SEA_BASS,12/22/2016,2016-12-26,4,726,$0.94,329,$2.07,4,Springfield,MO,US,617,828,19,2.29%,0,14.00,4%,4.86
2267611,https://www.bonanza.com/booths/445681,445681,2267611,14339,23.3,MINNOW,9/17/2015,2015-09-23,6,"1,188",$0.02,61,$0.38,4,Errington,BC,CA,378,153,2,1.31%,0,15.00,25%,5.00
34666266,https://www.bonanza.com/booths/4563881,4563881,34666266,0,-59.66,SEA_BASS,11/22/2017,2017-11-30,8,391,-$0.15,15,-$3.98,0,Bangkok,Bangkok,TH,246,1007,7,0.70%,2,2.00,13%,4.50
35108184,https://www.bonanza.com/booths/1307403,4607849,35108184,11700,101.89,SEA_BASS,10/9/2018,2018-10-26,17,70,$47.90,14,$5.04,8,Oxnard,CA,US,40,95,11,0.33%,2,2.00,10%,4.50
7952543,https://www.bonanza.com/booths/1552809,1552809,7952543,26395,9678.29,SEA_BASS,8/14/2012,2012-08-23,9,"2,317",$4.18,216,$44.81,4,Victoria,BC,CA,50,126,3,2.38%,2,14.00,6%,4.57
12504899,https://www.bonanza.com/booths/2312080,2312080,12504899,11700,829,MINNOW,8/28/2012,2012-10-10,43,"2,303",$0.36,72,$11.52,,Morganton,NC,US,1123,123,0,0.00%,0,12.00,17%,4.67
30801228,https://www.bonanza.com/booths/4155840,4155840,30801228,0,8.08,MINNOW,3/13/2015,2015-05-28,76,"1,376",$0.01,25,$0.32,0,Ha Noi,MO,VN,2438,476,5,1.05%,0,1.00,4%,1.00
27813925,https://www.bonanza.com/booths/3788477,3788477,27813925,14339,288.7,MINNOW,3/24/2016,2016-03-27,3,999,$0.29,32,$9.02,0,Seattle,WA,US,28,116,16,13.79%,0,10.00,31%,5.00
16119335,https://www.bonanza.com/booths/2728179,2728179,16119335,0,-23.39,MINNOW,9/22/2014,2014-10-07,15,"1,548",-$0.02,34,-$0.69,0,NV,NV,US,302,196,1,0.51%,0,3.00,9%,5.00
31368618,https://www.bonanza.com/booths/4234346,4234346,31368618,11700,56.51,SEA_BASS,10/6/2012,2012-10-11,5,"2,264",$0.02,27,$2.09,6,Ha Noi,CO,VN,1088,230,2,0.87%,0,4.00,15%,2.50
9802117,https://www.bonanza.com/booths/1892612,1892612,9802117,888,2192.39,DOLPHIN,6/30/2016,2016-07-03,3,901,$2.43,220,$9.97,4,Oceanside,CA,US,12,225,8,3.56%,0,12.00,5%,4.67
31533436,https://www.bonanza.com/booths/4249211,4249211,31533436,11450,30.15,MINNOW,6/17/2017,2017-09-25,100,549,$0.05,9,$3.35,2,Michigan City,Indiana,US,903,108,0,0.00%,0,1.00,11%,5.00
18658631,https://www.bonanza.com/booths/2871653,2871653,18658631,11700,1859.64,DOLPHIN,5/10/2014,2014-06-19,40,"1,683",$1.10,119,$15.63,,Rosemead,CA,US,23,76,1,1.32%,0,3.00,3%,3.67
5264041,https://www.bonanza.com/booths/3967672,1000945,5264041,220,31.87,MINNOW,3/7/2013,2013-03-22,15,"2,112",$0.07,36,$1.84,,Cheung Sha Wan,Kowloon,HK,25,61,2,2.83%,0,8.00,8%,5.00
34621408,https://www.bonanza.com/booths/4558992,4558992,34621408,11700,21.03,SEA_BASS,5/4/2017,2017-05-12,8,593,$0.04,12,$1.75,0,NEWBERG,OR,US,26,139,9,6.47%,0,2.00,17%,5.00
35403715,https://www.bonanza.com/booths/4633688,4633688,35403715,26395,-3.57,SEA_BASS,4/13/2017,2017-04-14,1,614,-$0.01,7,-$0.51,4,Lucknow,Uttar Pradesh,IN,4037,3151,5,0.16%,0,0.00,0%,NULL
3486321,https://www.bonanza.com/booths/3060469,1688993,3486321,0,1328.34,SEA_BASS,4/15/2012,2014-07-28,834,"2,438",$0.22,346,$0.81,4,St Germain,WI,US,148,46,2,4.55%,2,30.00,8%,4.73
36068895,https://www.bonanza.com/booths/4707050,4707050,36068895,26395,-0.23,MINNOW,2/23/2015,2015-03-04,9,"1,394",$0.00,1,-$0.23,8,TAKOMA PARK,MD,US,27,58,1,1.72%,0,0.00,0%,NULL
31838086,https://www.bonanza.com/booths/4287012,4287012,31838086,11700,48.11,MINNOW,10/18/2015,2015-10-20,2,"1,157",$0.04,11,$4.37,0,Kidderminster,Worcestershire,GB,1353,182,0,0.00%,0,1.00,9%,4.00
35263182,https://www.bonanza.com/booths/4622055,4622055,35263182,3252,-2.09,MINNOW,3/28/2011,2011-04-05,8,"2,822",$0.00,2,-$1.05,0,Da Nang,Vietnam,VN,53,93,1,1.08%,0,0.00,0%,NULL
10134533,https://www.bonanza.com/booths/3777398,1945369,10134533,281,682.89,MINNOW,10/21/2014,2014-10-25,4,"1,519",$0.93,149,$17.92,4,Fridley,MN,US,1039,288,3,0.13%,0,13.00,8%,5.00
19950152,https://www.bonanza.com/booths/4236463,2976545,19950152,11450,578.14,MINNOW,7/29/2016,2016-09-15,36,262,$0.08,31,$5.01,3,shanghai,Shanghai,CN,1302,175,1,0.00%,0,1.00,0%,3.00
32444819,https://www.bonanza.com/booths/4351130,4351130,32444819,11450,-2.75,DOLPHIN,4/30/2017,2017-05-01,1,597,$0.00,707,$0.00,4,Nam Tu Liem,Ha Noi,VN,4441,20183,579,2.87%,3,18.00,3%,4.11
28873340,https://www.bonanza.com/booths/3912684,3912684,28873340,11700,455.83,DOLPHIN,7/25/2014,2014-07-29,4,"1,607",$0.28,247,$1.85,4,Saint Cloud,MN,US,72507,7032,10,0.14%,0,31.00,13%,4.23
9798848,https://www.bonanza.com/booths/1892087,1892087,9798848,0,159.93,DOLPHIN,12/21/2016,2016-12-27,6,727,$0.22,137,$1.17,4,Miami,FL,US,3,9,0,0.00%,0,10.00,7%,4.60
31929001,https://www.bonanza.com/booths/4296803,4296803,31929001,64482,18.27,MINNOW,9/3/2014,2014-09-26,23,"1,567",$0.01,12,$1.52,2,Canton,OH,US,163,283,4,1.41%,0,0.00,0%,NULL
29161650,https://www.bonanza.com/booths/3945133,3945133,29161650,0,32.82,MINNOW,1/1/2016,2016-01-05,4,"1,082",$0.03,16,$2.05,4,Corvallis,Oregon,US,6,212,7,3.30%,0,1.00,6%,5.00
9550041,https://www.bonanza.com/booths/1843993,1843993,9550041,11450,1859.35,DOLPHIN,11/14/2017,2017-12-02,18,399,$4.66,138,$13.47,3,Glenview,IL,US,1984,1004,0,0.00%,0,8.00,6%,5.00
14591392,https://www.bonanza.com/booths/4391179,4391179,14591392,26395,10.47,MINNOW,12/30/2008,2009-01-07,8,"3,640",$0.00,5,$2.09,3,Blairsville,GA,US,624,30,2,6.67%,0,0.00,0%,NULL
61938,https://www.bonanza.com/booths/33893,33893,61938,11232,122.73,MINNOW,4/2/2016,2016-09-22,173,990,$0.12,159,$0.77,,Selangor,Selangor,MY,82,56,0,0.00%,0,23.00,14%,4.74
13691935,https://www.bonanza.com/booths/2470989,2470989,13691935,11700,1084.13,SEA_BASS,1/15/2017,2017-01-28,13,702,$1.54,198,$5.48,,Buyukcekmece,Istanbul,TR,735,966,3,0.31%,0,22.00,11%,4.18
14907851,https://www.bonanza.com/booths/2623872,2623872,14907851,11700,2645.03,SEA_BASS,11/11/2010,2010-12-03,22,"2,959",$0.89,245,$10.80,,Plano,TX,US,19,26,2,7.69%,3,19.00,8%,4.26
11446047,https://www.bonanza.com/booths/2134275,2134275,11446047,0,479.3,DOLPHIN,8/22/2015,2015-09-01,10,"1,214",$0.39,163,$2.94,4,Millersport,OH,US,11169,3669,4,0.11%,0,6.00,4%,4.50
7018719,https://www.bonanza.com/booths/1373645,1373645,7018719,0,78,MINNOW,5/1/2010,2010-07-14,74,"3,153",$0.02,44,$1.78,,Leslie,MO,US,0,5,0,0.00%,0,3.00,7%,5.00
