id,sold_on,purchased_at
60661276,4/1/19 0:07,4/1/19 3:45
60661218,4/1/19 0:12,4/1/19 12:03
60661464,4/1/19 0:43,
60661464,4/1/19 0:43,
60661464,4/1/19 0:43,
60661464,4/1/19 0:43,
60661493,4/1/19 0:46,
60661528,4/1/19 0:51,
60661691,4/1/19 1:20,
60661767,4/1/19 1:43,4/1/19 6:42
60661996,4/1/19 2:24,4/1/19 8:25
60662237,4/1/19 3:15,
60586313,4/1/19 3:45,4/1/19 7:33
60662585,4/1/19 3:48,
60662634,4/1/19 3:56,4/1/19 5:18
60662698,4/1/19 4:09,
60662717,4/1/19 4:09,4/2/19 14:29
60662831,4/1/19 4:22,4/1/19 6:59
60662809,4/1/19 4:28,4/1/19 5:29
60662788,4/1/19 4:34,4/1/19 12:42
60662914,4/1/19 4:36,4/2/19 9:44
60662897,4/1/19 4:36,
60662992,4/1/19 4:50,4/2/19 9:06
60648125,4/1/19 5:08,
60663210,4/1/19 5:20,4/1/19 17:20
60663273,4/1/19 5:28,
60663246,4/1/19 5:41,
60663439,4/1/19 5:47,
60663392,4/1/19 5:54,4/1/19 10:30
60663551,4/1/19 6:04,
60663485,4/1/19 6:14,4/1/19 6:20
60663693,4/1/19 6:22,
60663693,4/1/19 6:22,
60663693,4/1/19 6:22,
60663693,4/1/19 6:22,
60663776,4/1/19 6:25,4/1/19 8:19
60663785,4/1/19 6:30,
60663817,4/1/19 6:32,
60663842,4/1/19 6:36,4/5/19 5:11
60663809,4/1/19 6:37,4/1/19 15:21
60663778,4/1/19 6:38,4/1/19 8:40
60605185,4/1/19 6:41,4/1/19 11:13
60663945,4/1/19 6:53,4/1/19 12:05
60664007,4/1/19 6:54,4/1/19 15:13
60664080,4/1/19 6:57,4/2/19 8:24
60664082,4/1/19 6:58,4/10/19 6:31
60664082,4/1/19 6:58,
60664082,4/1/19 6:58,
60664082,4/1/19 6:58,
60648053,4/1/19 7:00,
60648053,4/1/19 7:00,
60648053,4/1/19 7:00,
60648053,4/1/19 7:00,
60664069,4/1/19 7:04,4/2/19 14:36
60664100,4/1/19 7:05,4/1/19 8:53
60664141,4/1/19 7:06,
60664345,4/1/19 7:27,4/1/19 16:14
60664404,4/1/19 7:36,4/1/19 9:13
60664431,4/1/19 7:37,4/3/19 22:47
60664631,4/1/19 7:55,4/1/19 20:44
60649462,4/1/19 7:58,
60664621,4/1/19 7:59,4/1/19 13:57
60664660,4/1/19 7:59,
60664644,4/1/19 8:00,
60664692,4/1/19 8:05,4/2/19 6:22
60664806,4/1/19 8:15,4/5/19 17:42
60664878,4/1/19 8:19,4/1/19 8:29
60664863,4/1/19 8:19,
60664877,4/1/19 8:23,4/1/19 14:46
60664833,4/1/19 8:25,4/1/19 13:21
60664945,4/1/19 8:25,4/2/19 14:36
60663715,4/1/19 8:29,4/4/19 17:17
60664797,4/1/19 8:30,4/1/19 12:15
60664835,4/1/19 8:36,
60665070,4/1/19 8:36,
60665001,4/1/19 8:37,4/3/19 4:00
60665106,4/1/19 8:39,4/1/19 21:41
60664182,4/1/19 8:40,4/9/19 14:35
60665188,4/1/19 8:48,4/2/19 14:53
60650139,4/1/19 8:55,4/4/19 11:33
60665411,4/1/19 9:06,4/1/19 12:09
60665405,4/1/19 9:07,
60665433,4/1/19 9:09,
60665475,4/1/19 9:11,4/1/19 9:24
60664888,4/1/19 9:12,4/1/19 10:49
60665513,4/1/19 9:18,
60665611,4/1/19 9:35,
60665801,4/1/19 9:46,
60659641,4/1/19 9:55,
