offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
54257996,5,2018-09-13,625615047,57988,119.99
54341651,5,2018-08-30,624862932,158666,4.93
54635000,5,2018-08-26,344824347,63750,3.25
54640715,5,2018-08-22,623371747,11848,18
54680694,5,2018-09-14,622052526,1523,50
54750644,5,2018-08-28,621240193,317,3
54792906,5,2018-09-16,626820300,112661,12
54818471,5,2018-08-26,603430410,181007,49.88
54861582,5,2018-09-09,623425004,19262,77.99
54979898,5,2018-09-10,625118232,24410,44.99
55006876,5,2018-08-28,621732125,24409,39.9
55044972,5,2018-09-21,628365456,15687,17.99
55096492,5,2018-09-30,630407286,19270,23.99
55109338,4,2018-09-07,618493292,617,13.99
55112245,1,2018-08-16,570428340,177666,20
55139225,5,2018-09-14,620650842,24410,39
55155946,3,2018-08-30,620361740,156801,20
55178456,5,2018-08-17,619770349,112661,19
55231843,5,2018-08-26,619901811,24409,38.9
55266849,5,2018-09-14,630339620,112661,29
55282071,5,2018-08-11,621827614,1523,100
55292364,5,2018-09-04,621904042,152362,2.99
55294983,5,2018-08-31,625269007,11226,9.99
55295130,5,2018-09-10,625287049,19015,3.49
55319883,5,2018-09-27,621315575,24410,39.98
55351333,5,2018-09-17,627146214,19015,3.49
55371009,1,2018-09-04,622203835,63855,39.95
55380940,1,2018-09-10,620778851,385,3.7
55386429,5,2018-08-27,619969019,181114,4.59
55398591,5,2018-08-29,620569474,159049,35
55408943,5,2018-09-11,503863347,14971,67.73
55416865,5,2018-09-28,516757739,40609,4.16
55423946,5,2018-09-07,562414462,19270,360
55425481,4,2018-09-01,621042343,24541,41.99
55451308,5,2018-09-21,621429713,66518,11.49
55452670,5,2018-08-28,620478556,617,9.99
55460139,5,2018-08-27,619887509,3768,19.99
55465750,5,2018-08-27,619898011,40587,9.99
55466683,5,2018-08-21,622717323,163401,17.99
55466862,5,2018-08-21,622717431,15687,17.99
55468153,5,2018-08-21,622717549,63869,19.99
55472155,5,2018-08-23,623254975,38174,12.17
55472165,5,2018-08-23,623254980,63504,27.7
55472277,5,2018-07-31,577278303,1245,84.65
55473426,5,2018-08-29,627855161,3768,10.9
55473446,5,2018-09-11,625014368,11450,12.99
55475893,5,2018-09-16,620372583,11873,8.17
55477770,5,2018-08-27,605358519,99697,155.82
55482256,1,2018-08-24,620441819,88887,309.95
55482545,5,2018-09-16,627060711,102514,128007.77
55486408,5,2018-09-04,622599346,24410,38.99
55487163,5,2018-09-11,624920587,112661,28
55487985,5,2018-10-08,614766457,102514,
55491032,5,2018-08-29,620562753,43983,41.95
55496362,4,2018-09-06,623488547,2891,26.95
55498432,5,2018-08-15,477747311,102519,50
55503734,5,2018-08-12,593817203,10891,18.95
55503848,5,2018-08-29,619940526,20498,13.51
55506701,1,2018-08-16,619868253,52357,52.6
55508538,5,2018-08-27,449557094,165879,20
55508831,1,2018-08-27,312953654,42024,399.99
55511316,4,2018-08-28,620136989,19267,20
55512300,5,2018-08-27,619728761,137084,44.99
55521772,5,2018-09-08,623393224,156801,25
55523706,5,2018-08-05,620007613,102514,40
55525866,5,2018-09-20,621084073,33164,31.97
55529196,5,2018-08-28,617211968,179798,149.99
55535769,3,2018-09-04,622748717,268,14.95
55535957,4,2018-09-04,622291418,179271,4.96
55537578,5,2018-08-02,485503159,75708,23.36
55537622,5,2018-08-28,618764424,11226,14.99
55540369,5,2018-08-06,619542100,1523,79.99
55545802,4,2018-08-22,620720157,2887,35
55545978,4,2018-08-29,620539401,57929,14.5
55550216,3,2018-09-21,620969248,123490,33.95
55552435,5,2018-08-08,618881820,19262,24.99
55553093,5,2018-09-05,623116641,617,19.99
55553243,5,2018-09-05,623116667,617,12.14
55553739,5,2018-08-27,619982771,25338,5
55553776,5,2018-08-27,619982784,19270,5.77
55554713,5,2018-08-31,621293240,3768,14.99
55556234,5,2018-08-27,587956688,33596,125
55561259,5,2018-08-29,620597988,40101,89
55561289,5,2018-08-10,614188740,104411,29.99
55561667,5,2018-08-28,620125030,19260,35.71
55563180,5,2018-08-11,564072351,158728,4.25
55563598,5,2018-08-12,621230299,112661,14
55564084,4,2018-08-27,620037258,57989,43.99
55565513,5,2018-08-28,620414388,50070,7.56
55567212,5,2018-08-28,527530680,34352,164.99
55567761,5,2018-08-29,619128422,102514,307.77
55569612,5,2018-08-27,573561500,11483,27.27
55569665,3,2018-08-15,621254018,158740,22.5
55569774,5,2018-08-28,620315160,175635,23.99
55572388,5,2018-08-28,619927523,116115,8.88
55575025,5,2018-08-04,619820869,3768,6.99
55575173,5,2018-08-27,620010849,617,25
55576089,5,2018-08-27,620009563,35190,2.54
55577652,5,2018-08-18,618811328,15690,3.75
55580109,5,2018-08-31,621218471,31387,280.58
55580188,5,2018-09-01,621566996,34352,189.99
55582017,5,2018-08-18,590953433,617,134.99
55582060,5,2018-08-07,619504303,617,5.5
55582977,1,2018-09-25,620447036,118859,78.14
55588456,5,2018-08-27,619818371,62107,33.51
55588990,5,2018-09-10,624634738,169292,24.84
55589868,5,2018-08-28,605658035,18902,14.85
55590843,5,2018-08-30,620980605,35558,10
55590948,5,2018-09-03,622204301,21205,37.76
55593770,5,2018-08-28,606872882,52357,140
55594623,5,2018-08-30,620882683,24410,42.98
55595224,4,2018-08-28,620466953,57990,34.95
55596628,5,2018-08-27,619792488,3768,10.9
55598797,5,2018-08-28,620468946,155101,39.95
55599560,5,2018-08-27,620071261,32050,5.93
55600727,5,2018-08-28,619679782,26395,48.8
55601709,5,2018-09-04,616424415,33716,188.09
55602021,5,2018-08-06,593793999,6763,12.95
55603165,5,2018-08-27,489236079,20693,19.99
55603712,5,2018-08-30,602725004,11841,17
55604401,5,2018-08-30,621051689,29798,14.5
55604406,5,2018-08-28,620429087,20474,44.99
55604629,5,2018-08-14,614189007,102514,140
55604699,5,2018-08-27,513357906,6028,25.95
55605565,5,2018-08-28,619904789,99697,27.98
55605757,5,2018-08-26,619711434,67681,4.95
55607304,5,2018-09-01,620097177,20445,14.3
55608411,5,2018-09-01,621771424,20525,15.48
55608812,5,2018-08-29,566789064,110645,32
55608905,5,2018-08-27,619708600,11226,8.8
55609467,4,2018-08-26,619706340,3768,9.99
55610067,5,2018-08-27,619711420,166675,11.31
55610197,5,2018-08-28,611895167,53159,21.55
55610784,5,2018-08-02,619720011,11226,9.99
55610829,5,2018-08-27,532167836,20593,129.98
55610852,5,2018-08-27,619732916,53369,28.69
55611521,5,2018-08-27,619739010,13362,40
55611641,5,2018-08-23,619867267,11226,9.99
