offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
56821364,5,2019-01-11,663720895,20403,28.95
56928204,5,2019-02-03,666981249,102514,40
57128491,4,2019-01-07,665716776,4042,29
57151197,5,2019-01-22,670492072,11226,29.99
57301374,5,2019-01-01,510412529,166729,15.83
57553779,5,2019-01-01,670620220,102514,10
57612500,5,2019-01-25,671266980,617,39.9
57621189,5,2018-12-15,567808224,110666,32
57621513,5,2018-12-29,662969353,123490,33.95
57648923,5,2019-01-22,669779436,75041,49.99
57649281,5,2019-01-10,664289726,15687,19.95
57649641,5,2018-12-29,622277191,156999,25
57703033,5,2018-12-17,665928649,24510,16.14
57703228,1,2019-01-24,665934210,57988,159
57703929,5,2019-01-06,665902268,166725,12.95
57722177,5,2019-01-10,669607951,29585,19
57732257,5,2019-01-06,667779480,19001,2.5
57735561,5,2019-02-03,670683408,40101,77
57774768,5,2018-12-10,662815988,102514,40
57799913,5,2018-12-27,662790133,3768,35.99
57802003,5,2018-12-13,665441515,19270,112
57822367,5,2019-01-03,666177493,11498,169.99
57873086,5,2019-01-14,667546591,53120,159.99
57882792,5,2018-12-12,616168580,19270,15
57889082,5,2018-12-28,663016486,19270,89
57923438,1,2018-12-11,663783305,3768,29
57926226,5,2019-01-19,669842807,32050,6.99
57944069,5,2018-12-08,662840798,999010,39.99
57946638,5,2018-12-27,626628738,110645,16.63
57956387,3,2018-12-30,663716018,43971,250
57962301,5,2019-02-02,664632791,67588,40
57974152,1,2018-12-31,663651547,57988,89.99
57975994,5,2019-01-12,609683265,102514,82.49
57978572,5,2018-12-27,662612208,3628,32.94
57978722,5,2018-12-21,663198348,20349,12.99
57979228,5,2018-12-28,662867165,19015,2.99
57982415,1,2018-12-20,663995097,63852,14.54
57983047,5,2019-01-05,665177456,15687,17.99
57983142,5,2019-01-21,666154024,20403,37.95
57984507,5,2018-12-29,663331633,175744,48.51
57992698,5,2019-01-15,665781799,11226,16.99
57993606,1,2018-12-23,663109346,75708,18.23
58000250,5,2018-12-30,663077610,3768,9.99
58003389,5,2019-01-06,665626230,62107,199.99
58005988,5,2019-01-05,665358236,617,25.99
58008511,5,2018-12-31,663376668,173591,2.99
58009378,5,2018-12-27,662342437,175758,2249
58011578,5,2019-01-01,664447852,45462,68.95
58012029,5,2018-12-09,584323740,617,2.95
58012421,4,2019-01-02,664590704,53369,38.99
58020436,5,2018-12-29,667531545,102514,35
58020466,5,2018-12-29,667815017,1523,49.99
58028696,5,2018-12-07,662809343,19270,90
58035057,5,2018-12-27,662737232,75708,2.25
58039036,5,2018-12-27,662586977,3768,14.99
58047998,5,2019-01-20,669786991,24409,38.6
58048411,5,2018-12-27,662702519,123490,29.95
58049474,1,2019-01-09,666863066,95672,169
58051101,1,2018-12-29,661019200,13905,800
58065061,2,2019-01-01,663264161,15687,9.99
58067514,5,2018-12-27,662682497,432,5.88
58067865,5,2018-12-27,662682504,159889,1.39
58072570,4,2018-12-27,662593401,11860,16.82
58076873,5,2018-12-11,565003370,16080,106
58084378,5,2018-12-07,661616934,183448,8.86
58085803,5,2019-01-01,664043467,3768,9.99
58087867,5,2018-12-21,645236235,375,10
58088495,5,2019-01-03,663382921,45462,55.42
58092667,5,2018-12-22,626907724,102514,125
58092998,5,2018-12-22,428867265,102514,35
58094915,1,2019-01-08,662876098,57988,51.94
58098261,5,2019-01-02,664788469,19270,50
58102370,5,2018-12-08,661089867,102514,377.77
58103487,5,2019-01-01,664361642,19257,49
58103805,5,2018-12-28,662815423,617,12
58104352,4,2018-12-18,667120757,11498,159.99
58105022,5,2018-12-29,666143194,71108,91.92
58106624,4,2018-12-30,663599950,11498,179.99
58108232,5,2019-01-19,663375944,19270,38
58110090,5,2018-12-28,663120014,11232,12.88
58110147,5,2018-12-28,663120025,617,22.99
58110482,5,2018-12-29,663422290,57988,109.99
58111230,4,2019-01-03,664845537,67588,40
58112861,5,2019-01-07,664683467,41511,6.28
58113171,5,2018-12-27,662833766,169291,119
58113593,5,2018-12-29,663227986,3768,13.9
58115691,5,2019-01-06,664183640,3173,9.99
58117579,5,2019-01-22,670424186,11450,17.33
58117712,5,2018-12-27,660034379,2624,27.71
58118214,5,2018-12-06,662995945,11484,92.55
58118860,5,2018-12-27,662631827,159062,39.99
58119204,5,2018-12-05,662636861,999010,39.99
58119813,5,2018-12-02,662689442,3768,9.99
58122753,5,2018-12-28,662750387,11776,37.99
58125256,5,2019-01-07,663595499,1277,48.5
58125910,5,2018-12-28,663037443,28009,9.6
58126204,5,2018-12-20,663407090,19270,5.77
58127687,5,2018-12-27,662607631,19001,93
58128351,5,2018-12-31,665142393,206,48.99
58128638,5,2019-01-06,665699534,1345,39.27
58128880,1,2018-12-27,662723259,24410,44.98
58131165,5,2018-12-27,662781028,19270,99
58131317,5,2019-01-16,669135806,176992,29.99
58136423,5,2018-12-29,663166262,3768,19.99
58136526,1,2018-12-27,656825551,36449,35.88
58137395,5,2018-12-29,663196651,183721,14.95
58139421,1,2019-01-17,666721572,163224,8.99
58140687,4,2018-12-29,662282209,53557,89.99
58141585,5,2019-01-03,536529851,139973,2.95
58142539,5,2019-01-11,597784233,58,80
58142623,5,2018-12-30,621578800,31387,66.1
58142857,4,2018-12-30,663064132,63854,4.33
58144181,5,2019-01-02,663224081,11226,9.99
58145706,5,2018-12-27,662326410,171243,100
58145861,5,2018-12-27,662827485,2993,269.99
58147104,5,2018-12-27,662725717,24410,39.99
58147296,5,2019-01-02,662998095,92878,169.99
58147431,5,2018-12-29,662642024,98831,87.08
58147908,5,2018-12-07,662954232,19270,67.5
58148282,5,2018-12-29,663301046,2996,21.34
58148677,5,2019-01-11,662508451,53120,174.9
58149781,2,2019-01-02,662678169,31387,102.99
58150538,5,2019-01-02,664539328,159876,19.75
58152574,5,2018-12-28,663042365,163542,8.86
58153482,5,2019-01-08,322526374,175781,29.99
58155708,1,2018-12-31,663648307,2885,39.99
58156781,3,2018-12-27,662509925,71273,139.28
58157026,5,2019-01-16,663725956,53557,199
58160030,1,2018-12-27,662682644,31754,13.99
58160559,5,2019-01-03,662802358,19270,18
58163203,5,2019-01-02,664728982,14308,35.7
58163674,5,2018-12-26,663677642,47092,159
58164207,1,2018-12-28,663052683,166725,5.49
58164459,5,2018-12-26,661530738,617,149
58164519,5,2018-12-27,662747432,73353,46.36
58164585,5,2018-12-18,662562406,11226,9.5
58164756,2,2018-12-29,663186811,24510,59.99
58167474,5,2019-01-09,662573668,31395,4.8
58167778,3,2018-12-27,662575451,31787,11.18
58168112,5,2019-01-09,625749011,112661,100.23
58168287,5,2018-12-27,662578098,53159,29.99
58168417,5,2018-12-07,662351728,102514,200
58168438,5,2018-12-24,662655175,75708,2.25
58168640,5,2018-12-27,662579716,3768,9.99
58168887,5,2018-12-24,662655271,19015,3.99
58169016,4,2018-12-30,662582016,155194,34.99
58169453,1,2019-01-16,661802381,26396,199.99
58169467,5,2018-12-27,662586350,617,35
58169560,5,2018-12-05,497829709,180506,2
58169703,5,2018-12-27,662590314,617,25.14
58169732,5,2019-01-05,662665549,4055,59
58170289,5,2018-12-27,662596782,999011,5
58170512,1,2018-12-06,660939552,73942,92.99
58170888,5,2018-12-27,662610501,175689,24.99
58170897,5,2018-12-27,662608457,31387,121.9
58171268,1,2018-12-29,662622658,57988,54.99
58171280,5,2018-12-27,662616166,27357,25
58171320,5,2018-12-27,662616768,2891,39.99
58171576,1,2018-12-29,662622671,53120,45.99
58171593,4,2019-01-03,662620028,75708,2.25
58171642,5,2018-12-27,662621079,180959,32.97
58171655,5,2018-12-27,662623121,122773,18.99
58171756,5,2018-12-03,662623518,3768,12.49
58171839,4,2019-01-06,662624909,3768,9.99
