offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
58092744,5,2019-03-11,685914758,20349,17.99
58203593,5,2019-03-16,687769884,177661,44.99
58394571,5,2019-03-15,687332290,176984,10
58468702,5,2019-02-14,684480088,102514,70
58655425,5,2019-03-06,683205029,109130,46.99
58695075,5,2019-03-22,689813783,173591,2.95
58699910,5,2019-02-23,684875681,19270,19.99
58752650,5,2019-02-06,682356540,175689,32.99
58764187,5,2019-03-19,688412452,9394,14
58810692,5,2019-02-23,670651749,1523,9.97
58856214,5,2019-02-27,681592693,162140,7.98
58940231,5,2019-03-21,684615128,19270,22.5
58990546,5,2019-03-05,683817153,20749,33.5
59050157,5,2019-03-14,685562344,159731,15.99
59053187,2,2019-03-04,683249038,109130,39.99
59058323,1,2019-02-18,626699470,86922,24.99
59081965,5,2019-02-27,689513079,19270,165
59103260,5,2019-03-29,690451406,102514,10.8
59138384,5,2019-03-20,505004645,213,2.59
59141049,5,2019-02-07,681572565,176992,31.99
59166672,5,2019-03-14,686914500,11776,22
59203568,5,2019-03-13,677672347,1523,109
59218039,5,2019-02-14,682225585,156801,30
59228134,5,2019-02-01,677077452,112529,1
59230444,5,2019-02-18,686234360,179179,15
59231555,5,2019-03-15,688142970,19270,13.75
59231597,5,2019-04-05,650248607,19270,299
59245713,5,2019-02-19,684065937,52357,119.95
59248191,3,2019-03-01,682155793,158972,129.99
59254870,5,2019-02-23,688169117,19270,36
59284523,5,2019-03-11,685704827,19270,19.99
59286084,5,2019-03-03,683108442,179798,79.99
59288422,4,2019-02-08,426176565,101926,19
59289985,5,2019-02-27,456750377,63852,35.99
59292514,5,2019-03-11,658861983,19270,12
59292597,5,2019-03-11,685704845,19270,27
59300822,5,2019-03-11,688179018,19270,99.99
59300850,5,2019-03-06,682365213,33654,69.29
59313220,4,2019-03-12,685439586,31413,29.99
59315710,1,2019-03-02,682806115,79631,11.96
59325654,5,2019-02-14,684547903,108857,1.29
59328066,5,2019-02-12,499947361,39461,0.25
59343458,5,2019-02-12,681938415,618,20
59344689,5,2019-03-03,682989507,75708,199.99
59347810,5,2019-02-27,681785107,146290,1.34
59350699,5,2019-03-18,688586521,147285,16.99
59358228,5,2019-03-04,684555220,617,7.49
59359819,4,2019-03-01,682314871,11773,363.72
59361657,5,2019-02-26,681585477,102514,38
59365428,4,2019-02-28,682018448,155189,4.94
59367738,5,2019-02-19,686065047,11226,6
59371082,5,2019-03-05,683531157,53120,199.99
59373313,1,2019-02-26,526836034,29223,55.92
59377472,4,2019-03-03,682341431,11450,6.18
59381053,2,2019-04-11,687124811,617,36.95
59383232,5,2019-02-23,683916092,102514,45
59392916,5,2019-02-08,680149135,50637,33.82
59393203,1,2019-03-09,661316194,18930,27.64
59394085,5,2019-03-10,669632960,2795,14.99
59394848,5,2019-03-03,631052624,37834,4.67
59395665,5,2019-04-05,644562213,38583,8.9
59395829,1,2019-03-16,682648858,159889,12.99
59397563,2,2019-02-28,681671541,2796,13.81
59398320,5,2019-02-05,681778442,181007,42
59401043,5,2019-02-27,681612450,19271,6.99
59401293,5,2019-03-05,534496231,20085,1104.78
59405782,5,2019-02-28,681998164,11498,174.97
59411820,5,2019-03-03,682734038,11226,12.99
59412288,5,2019-03-10,685050556,617,8.99
59413752,5,2019-03-05,683553410,50447,65.44
59413881,5,2019-03-28,17835954,886,9.99
59414360,5,2019-03-04,670091288,156290,24.99
59417027,4,2019-03-04,683126000,11498,169.99
59417287,5,2019-03-16,669430160,617,11.95
59422180,5,2019-02-11,583250278,3952,49.49
59423038,1,2019-02-28,682145424,11848,14.84
59424577,5,2019-03-02,682592568,137856,44.99
59425051,5,2019-03-08,684725549,147340,12.17
59428083,5,2019-03-02,572998897,183196,14.75
59430120,5,2019-03-21,682040020,24409,39.9
59437200,5,2019-02-08,647498879,164343,265
59437225,5,2019-03-03,653988550,63853,35.15
59439978,5,2019-03-01,682334060,159049,52.66
59440148,5,2019-02-14,664892589,27432,600
59442514,5,2019-02-28,681491261,10805,29.7
59444795,1,2019-02-27,681666436,156801,25
59444801,5,2019-02-27,680301751,177661,22.97
59445824,5,2019-02-17,682791974,139962,60.99
59446379,1,2019-02-27,681597993,158972,129.99
59446710,5,2019-03-04,665509416,617,25
59447798,5,2019-02-08,681992782,1523,100
59448070,5,2019-02-11,682744747,155101,69.99
59448278,5,2019-02-27,681498607,19258,9.23
59448561,5,2019-02-04,681727731,102553,30
59449723,5,2019-02-14,684743730,102514,40
59451529,5,2019-02-11,681557357,19262,34
59451570,5,2019-02-13,681145019,1277,81.99
59451666,5,2019-02-27,681465009,79629,28.05
59451838,1,2019-03-04,682619231,20553,16.9
59451939,5,2019-02-27,681239909,169291,249
59452152,5,2019-02-27,681500586,57988,149.99
59452612,5,2019-02-27,681605676,50115,14.39
59452948,5,2019-03-03,499642687,1345,25.99
59453828,5,2019-02-27,681496543,2996,22.37
59453987,5,2019-02-05,681837955,102514,65
59454095,3,2019-03-10,685073204,158952,120
59454338,5,2019-02-12,657109398,19270,165.29
59455002,5,2019-02-27,512462961,43962,150
59456113,5,2019-03-09,685018826,617,18.61
59457080,5,2019-02-15,684312813,1523,25
59457647,5,2019-02-27,460859812,86903,28.01
59458001,5,2019-03-02,682616183,102514,18
59458513,1,2019-03-03,681707701,15709,109
59459795,1,2019-02-27,681578626,25464,31.66
59459915,5,2019-03-02,682818516,180944,15.11
59461262,5,2019-03-22,684946107,1277,49.99
59461759,1,2019-02-08,674457865,67262,27.12
59461995,1,2019-03-18,682151799,63861,310
59462203,5,2019-02-27,681602867,20349,14.99
59463222,5,2019-02-28,681425316,43217,166
59463279,5,2019-02-16,681678671,1279,9.32
59463430,5,2019-02-26,681430796,11226,23.96
59463661,5,2019-02-13,638485365,21205,98.99
59463685,1,2019-04-02,683648243,153928,147.51
59463765,1,2019-03-11,681445048,155196,160
59463912,5,2019-02-05,681449195,9355,374.99
59464096,5,2019-02-10,647058645,162480,3.93
59465223,5,2019-02-16,681465492,11226,7.49
59465290,5,2019-02-07,573247081,102514,89.99
59465322,5,2019-02-27,681469978,3768,4.99
59465403,4,2019-02-27,671995221,617,14
59466081,1,2019-02-27,681490115,175529,55
59466199,5,2019-02-27,681490078,3768,39.99
59466430,3,2019-02-27,681494369,20684,28.99
59466440,5,2019-02-27,681677351,123490,31.95
59466803,5,2019-02-07,671875170,11905,15.52
59466808,5,2019-02-04,681497869,11905,12.3
59466810,5,2019-02-27,681499158,57990,34.99
59467154,5,2019-02-27,681565683,21205,14.89
59467183,1,2019-02-27,681505340,163768,68
59467259,5,2019-02-22,681506020,19270,19.99
59467261,5,2019-02-27,681507919,177764,12.99
59467283,5,2019-02-27,681123340,36865,6.86
59467311,5,2019-03-13,681507370,182,31.97
59467314,5,2019-02-27,681637565,95672,97.99
59467404,5,2019-03-04,681515652,11226,16.99
59467422,5,2019-02-27,681511633,42911,12.99
59467445,5,2019-02-07,681566608,1523,50
59467493,5,2019-03-08,681549825,155183,25.99
59467568,5,2019-02-04,679160370,46104,199
59467621,5,2019-02-27,669659196,20675,29.97
59467717,5,2019-03-05,681521645,169291,75.23
59467786,4,2019-03-01,681522689,999010,7.99
59467815,4,2019-03-06,681523651,293,247.49
59467876,5,2019-02-27,681526676,11226,7.5
59467877,5,2019-02-06,656557946,951,99
59467922,5,2019-02-04,681526585,11507,18
59467923,5,2019-02-27,681531581,179798,79.99
59467942,5,2019-02-04,680870216,999010,26.95
59468076,5,2019-03-01,681532311,31754,16.88
59468080,5,2019-02-27,681533453,75037,39.9
59468108,5,2019-02-27,681534622,113913,11.99
59468124,5,2019-02-27,681533692,56172,12.86
59468194,5,2019-02-27,679045746,31387,129.9
59468246,5,2019-02-04,249832705,42146,63.31
59468309,5,2019-03-02,681538812,86207,16
59468428,5,2019-02-04,681538928,102514,288
59468436,1,2019-02-27,681542050,177660,16.99
59468533,5,2019-02-27,681544914,64588,7.44
59468537,5,2019-03-04,681545506,44932,16.26
59468583,5,2019-02-15,681546060,11226,9.99
59468606,5,2019-02-26,681553517,179798,79.99
59468614,5,2019-02-27,662702211,617,29.95
59468752,5,2019-02-27,681551482,31802,9.99
59468759,5,2019-02-27,681552667,11776,49.99
59468797,5,2019-02-07,681552545,617,90
59468921,5,2019-02-27,681555547,3768,14.99
59468944,5,2019-02-04,681551555,102514,75
59469061,4,2019-03-11,681557425,3768,14.99
59469065,5,2019-02-08,598100554,42146,5.99
59469084,1,2019-02-15,681138285,617,74.25
59469122,5,2019-02-20,681561687,53159,12.97
59469127,1,2019-02-27,678312988,11232,9.9
59469141,5,2019-02-06,681557804,19270,32
59469175,5,2019-02-24,681558590,11776,31.67
59469208,1,2019-02-27,664223369,171243,18.99
59469463,5,2019-02-15,672873514,67589,45
59469482,5,2019-03-15,681563639,11226,7.5
59469577,5,2019-02-10,681564283,102514,135
59469591,5,2019-03-07,681565466,3768,6.9
59469602,5,2019-03-07,681567462,11226,8.5
59469670,5,2019-02-27,501273042,36453,15.95
59469685,5,2019-02-25,681567478,3768,11.9
59469796,5,2019-03-08,681570771,40134,3.98
59469814,5,2019-03-08,681570716,41859,7.99
59469846,5,2019-02-25,681572148,11226,7.5
59469878,5,2019-03-06,681646217,183447,4
59469928,5,2019-03-26,681572537,31413,129
59470033,5,2019-02-07,681575318,31387,12.34
59470035,5,2019-03-09,680870212,999010,26.95
59470061,5,2019-02-27,681577754,15687,50.9
59470086,5,2019-02-27,681646245,183448,9.89
59470092,5,2019-02-27,681598546,1279,5.5
59470115,5,2019-02-02,681578944,3768,18.9
59470126,5,2019-02-28,681580412,155226,39.99
59470169,5,2019-02-27,681577432,2993,35
59470178,4,2019-02-27,681576627,40101,62
59470241,5,2019-02-27,681577640,3768,14.99
59470377,4,2019-02-27,681582100,617,26.95
59470381,5,2019-02-07,681579173,80356,150
59470473,5,2019-03-23,681584936,3768,13.99
59470593,5,2019-02-25,643635524,42214,3.47
59470661,5,2019-02-26,681586887,360,24.97
59470727,5,2019-02-27,681587538,19270,19.99
59470730,5,2019-02-10,681587530,3768,11.9
59470862,5,2019-02-27,14275545,1367,28
59470870,4,2019-02-27,681590188,32050,7.75
59470907,5,2019-02-27,676118686,137866,10
59471014,5,2019-03-01,681595505,11776,18.81
59471066,3,2019-03-07,681594753,168105,22.28
59471135,5,2019-02-27,681597995,182134,38
59471151,1,2019-02-27,676083008,31753,56.09
59471163,5,2019-02-24,451918713,139778,9.98
59471231,5,2019-03-10,681601923,47103,8.99
59471318,5,2019-02-27,681600485,80356,55.56
59471338,5,2019-02-07,681606581,79629,28.05
59471436,5,2019-02-07,681602668,1523,1988
59471817,5,2019-02-27,681661967,617,24.97
59471907,5,2019-02-27,681608131,53120,159.99
59472067,3,2019-02-27,647889376,33566,84.02
59472068,5,2019-02-28,681612781,19270,18.5
59472075,5,2019-03-22,678450805,1281,46.3
59472124,5,2019-02-27,681646265,19001,5.99
59472215,5,2019-02-27,681620274,11776,38
59472216,5,2019-02-27,497441422,63894,7.84
59472282,5,2019-02-14,681623371,206,15
59472400,4,2019-02-28,681629753,152362,2.99
59472411,5,2019-03-14,686584531,43412,8.5
59472425,5,2019-02-27,681623010,20684,52.99
59472432,5,2019-02-11,638663930,36589,7.84
59472506,5,2019-02-27,681624387,2887,35
59472517,1,2019-03-10,676845386,86917,11.41
59472548,5,2019-02-27,681624548,116743,20.08
59472567,5,2019-02-28,681624565,19270,18
59472675,5,2019-02-27,681628311,20706,8.97
59472704,1,2019-03-03,681627554,20349,5.96
59472723,5,2019-03-03,681631170,180954,66
59472782,4,2019-03-02,681630759,63862,79.99
59472830,5,2019-02-27,219755463,31387,303.88
59472849,5,2019-02-21,364172832,175750,21.19
59472857,5,2019-02-05,340865565,98624,12.45
59472904,5,2019-02-27,529596156,16191,26.19
59472911,5,2019-02-27,681632993,3768,14.99
59472938,5,2019-02-08,681632073,41416,59.8
59473003,5,2019-02-27,681632856,3768,13.98
59473051,5,2019-02-27,681634057,2887,35
59473071,5,2019-02-12,681633789,19270,19.99
59473074,5,2019-02-10,681634963,3097,11.07
59473086,5,2019-02-16,681635316,11226,9.99
59473127,5,2019-02-16,681635324,11226,12.99
59473135,5,2019-02-11,681635600,3768,14.9
59473166,1,2019-02-27,681636528,41245,35.21
59473248,5,2019-02-27,681638232,140732,34.98
59473274,5,2019-02-27,681637527,28009,19
59473490,1,2019-03-03,643073247,19198,17.81
59473536,5,2019-02-27,681647475,11450,4.95
59473565,5,2019-02-27,681643686,53120,159.99
59473640,5,2019-02-27,681642596,11226,20
59473669,5,2019-02-27,681643650,3768,11.9
59473759,5,2019-02-22,681646061,11226,4.99
59473765,5,2019-03-01,681654849,15691,16.7
59474065,5,2019-02-28,681652561,780,34.95
59474108,5,2019-02-19,681653531,24410,39.99
59474134,5,2019-02-10,670540255,46104,49
59474217,5,2019-02-13,681654355,11226,9.99
59474497,5,2019-03-05,681657253,3768,13.99
59474643,5,2019-02-14,636008815,46104,29.7
59474656,1,2019-02-27,681660905,3768,9.9
59474823,5,2019-02-27,681683347,999010,22.99
59474904,5,2019-02-09,681669641,3768,12.99
59475009,1,2019-03-29,681668633,617,14.5
59475023,1,2019-02-27,681669862,63853,15.99
59475031,1,2019-02-27,330140684,28174,10.99
59475043,5,2019-03-26,681672305,31413,129
59475179,1,2019-02-27,681672600,15687,16.99
59475308,5,2019-02-05,681845510,1523,1100
59475331,5,2019-02-27,681675386,3768,14.99
59475339,5,2019-02-09,681675545,11226,8.99
59475355,5,2019-02-27,663689040,180349,9.14
59475360,5,2019-02-27,496061182,69855,34.65
59475365,5,2019-02-27,681675146,6763,7.43
59475378,5,2019-02-07,673672051,29585,139.98
59475398,5,2019-02-13,682666469,19270,39
59475493,5,2019-02-27,681678836,155194,29.99
59475499,5,2019-02-27,662913342,31387,348
59475500,5,2019-02-27,681733265,52365,19.55
59475537,5,2019-02-27,681679343,40101,79.99
59475592,5,2019-02-27,637951653,45238,138.59
59475611,5,2019-02-10,675931206,36047,160
59475621,4,2019-03-01,681682985,52762,109.96
59475633,5,2019-02-27,676910081,142,34.64
59475649,5,2019-02-27,681682480,53557,42.5
59475702,5,2019-03-14,649494693,20104,3769.25
59475773,5,2019-02-27,681684660,55793,12.95
59475787,5,2019-02-27,681685131,179798,77.99
59475821,5,2019-02-10,668214506,4078,140
59475859,1,2019-02-27,681687642,168058,20
59475875,1,2019-02-07,628409096,1,95
59476181,5,2019-02-28,682117346,50637,22.95
59476408,5,2019-02-27,681701274,107876,24.82
59476411,4,2019-03-02,682515198,20450,69.99
59476413,5,2019-02-27,681700052,3768,14.99
59476531,5,2019-02-27,608266308,6028,69.99
59476636,5,2019-02-27,679151331,177661,13.2
59476714,5,2019-02-27,681763642,67681,44.99
59476793,5,2019-02-27,681709055,3768,12.99
59476916,5,2019-02-19,684645817,156801,12
59476961,5,2019-02-27,681715950,3768,14.49
59477000,1,2019-02-27,681715410,75708,4.14
59477015,5,2019-02-27,681715304,179178,14.8
59477066,5,2019-03-07,681716365,1279,35.11
59477397,5,2019-02-27,678051027,46314,34.82
59477478,5,2019-02-27,655981871,31387,119.9
59477504,5,2019-03-01,682447984,617,29.99
59477580,5,2019-02-27,681743602,20684,28.99
59477679,5,2019-02-27,681741628,3768,14.99
59477722,4,2019-02-27,635700084,267,4.89
59477772,5,2019-02-10,681876760,3768,14.99
59477841,5,2019-02-27,658450297,180506,270.85
59477990,5,2019-02-27,675935401,617,8.86
59478073,5,2019-02-14,681771451,117042,132.98
59478088,5,2019-02-28,681917371,109565,178.5
59478149,5,2019-02-27,681183170,102326,69.99
59478192,5,2019-02-27,681758647,617,40
59478210,5,2019-02-27,681761148,11498,169.99
59478257,5,2019-03-07,681766520,3768,14.49
59478464,4,2019-03-02,682603016,3173,9.99
59478477,5,2019-02-27,681776213,617,38.99
59478491,5,2019-02-27,681772887,3768,11.9
59478585,1,2019-03-02,681776195,179309,16.5
59478689,1,2019-02-17,681777971,11776,70.04
59478715,5,2019-02-11,681779133,11226,7.5
59478797,5,2019-02-27,681781293,3768,12.99
59478798,5,2019-02-27,681781884,58100,9.88
59478877,4,2019-02-05,681782332,3768,13.9
59478956,5,2019-02-27,681790507,57988,84.99
59479084,5,2019-03-13,681521034,1523,350
59479334,4,2019-03-22,681797395,131084,18.99
59479349,4,2019-02-05,681806231,175689,12.49
59479392,1,2019-02-18,565157958,139973,8.5
59479472,5,2019-02-09,682004455,11226,8.99
59479509,5,2019-02-27,524127624,24410,7.38
59479663,5,2019-02-06,681803016,175689,9.99
59479811,5,2019-02-27,675083116,105033,1.97
59479983,5,2019-02-27,464178782,3278,31.65
59480000,5,2019-02-22,681810621,11226,8
59480089,5,2019-03-01,681811920,11226,18.99
59480096,5,2019-03-01,681811923,11226,8.9
59480148,5,2019-02-07,682038603,102514,49.99
59480172,5,2019-02-27,681814404,3768,39.99
59480220,5,2019-02-27,681815792,179798,77.99
59480290,5,2019-02-27,681816298,795,14
59480370,5,2019-02-15,681818075,11226,11.9
59480491,5,2019-02-07,662691759,64520,72.38
59480625,1,2019-02-13,681827367,20684,28.99
59480857,5,2019-02-10,672996526,6763,85.5
59480894,5,2019-02-28,681833133,11716,92.4
59480967,5,2019-02-28,682081708,20740,198
59481013,5,2019-02-27,681836042,40101,62
59481069,5,2019-02-07,681836726,50677,0.99
59481179,5,2019-02-08,673256368,42,24.74
59481222,1,2019-02-27,681838350,2023,37
59481447,5,2019-02-07,681844782,102514,299
59481595,5,2019-02-06,681844322,169291,109.99
59481663,5,2019-02-27,681844261,123490,31.95
59481818,5,2019-03-01,681848106,43401,14.8
59481850,5,2019-02-06,429659230,309,6.5
59482121,5,2019-02-28,681847530,175677,3.19
59482283,5,2019-02-28,681848421,75708,2.25
59482304,1,2019-02-28,681849000,11812,9.9
59482422,5,2019-03-18,681849669,11226,17.89
59482462,5,2019-02-28,681850010,11226,6.49
59482540,3,2019-02-28,490714176,1370,49.95
59482639,5,2019-02-26,681851955,113913,17.95
59482664,5,2019-03-01,609932694,13666,18.99
59482905,5,2019-02-12,682144870,617,7.49
59482909,5,2019-02-28,681857422,41859,145
59483157,5,2019-02-12,682511819,57988,84.99
59483758,2,2019-03-02,599375836,183078,140
59485171,5,2019-02-28,589498655,119544,639
59485272,1,2019-03-01,649096194,31387,467.19
59485282,5,2019-03-05,682212379,11498,68.99
59485335,5,2019-02-13,646550229,280,2.95
59485544,5,2019-02-28,681869264,3768,13.9
59485716,5,2019-02-28,255315982,33640,247.5
59485746,5,2019-03-03,681873313,66471,38.9
59485834,1,2019-02-08,681873524,175756,555
59485956,5,2019-03-04,681876051,268,7
59486150,5,2019-02-28,681881044,166729,49.49
59486282,1,2019-03-08,681885306,220,14.84
59486304,5,2019-02-20,681884359,1277,46.4
59486404,5,2019-02-28,639143824,31740,9.99
59486503,5,2019-02-28,675161851,169291,116.81
59486641,5,2019-02-07,681892711,3768,14.49
59486666,5,2019-02-05,681897030,617,24.95
59486708,5,2019-02-28,681895080,40088,36.01
59486886,5,2019-03-04,681903383,3768,9.49
59487164,5,2019-03-01,680466677,166725,44.99
59487184,5,2019-02-28,682039254,42136,14.46
59487227,5,2019-02-08,681060282,2535,12.5
59487248,1,2019-02-28,681912051,20749,5
59487265,5,2019-02-19,681912080,3768,13.98
59487344,5,2019-02-28,218429232,13564,8
59487356,5,2019-02-28,624707818,617,3.95
59487437,5,2019-03-02,681918443,109130,30.99
59487531,4,2019-02-28,681923671,155226,44.98
59487626,5,2019-02-15,105342095,213,15
59487668,5,2019-02-28,681929392,177662,17.99
59487763,5,2019-02-25,681932603,3768,10.9
59487813,5,2019-02-28,681936960,15709,88.1
59487968,5,2019-02-28,681953872,169292,412
59488077,1,2019-02-28,681968611,183446,0.96
