offer_id,rating_em,feedback_date,item_id,category_id,price
57555029,5,2019-02-10,676477188,19260,14.7
57567729,5,2019-01-04,671829215,19270,38
57755335,5,2019-02-15,677590271,1279,19.99
57906820,5,2019-02-20,679146658,122773,14
57969603,5,2019-02-10,675896068,53557,129.99
58072947,5,2019-01-25,584326113,102514,239.99
58138586,5,2019-01-19,673573516,19270,155
58298446,5,2019-01-14,673334787,11226,33.89
58322684,5,2019-03-04,672476596,122773,9.8
58358877,5,2019-02-02,372888286,3225,12.75
58379473,5,2019-01-19,675917408,19270,38
58379505,4,2019-02-12,678151405,53120,164.9
58390904,5,2019-01-13,626275720,4212,9.88
58421834,5,2019-02-04,672218075,180955,24
58444517,5,2019-02-12,680871207,1523,4.99
58463208,5,2019-02-24,680596080,11484,99
58472776,5,2019-02-12,286995739,45238,29.99
58472846,5,2019-01-09,660893364,147211,9.89
58515636,5,2019-01-09,671895172,29618,26.11
58521733,5,2019-02-28,673927990,3768,6.49
58535474,5,2019-02-13,674843849,24541,19.98
58536306,5,2019-01-09,672777066,177661,30.68
58552877,5,2019-02-22,676719157,213,2.88
58575126,5,2019-01-06,664420582,19270,888.88
58589627,5,2019-02-04,673083264,139962,15.99
58593085,1,2019-01-17,663451326,33164,97.01
58599676,5,2019-01-25,671881766,3768,9.9
58599780,5,2019-02-07,681100114,1523,129.99
58644699,1,2019-02-10,675875974,67681,31.98
58659347,4,2019-02-10,656376119,63853,18.91
58665504,5,2019-01-27,676659559,20734,4.75
58683944,5,2019-03-16,676915229,43405,9.99
58684341,5,2019-02-08,673463906,120967,4.49
58705401,5,2019-02-05,673735842,182185,26.1
58713612,5,2019-02-13,679252551,19270,444
58716120,5,2019-02-07,675155913,3768,15.99
58725468,5,2019-01-30,672651029,183473,40
58747828,1,2019-02-04,673875313,175745,21.95
58750749,5,2019-01-17,661769279,617,49.95
58753538,5,2019-01-28,672156210,45206,11
58754823,5,2019-01-14,618652532,19270,89
58755649,5,2019-01-28,672220842,31387,149.9
58758622,5,2019-01-16,668173389,102514,337.77
58760608,5,2019-02-14,677243612,156801,14
58777107,5,2019-02-02,673999270,3768,5
58780478,5,2019-01-29,672418404,102514,
58782338,5,2019-01-09,672455696,19270,5
58782456,5,2019-02-04,673637075,3768,36.99
58783543,1,2019-02-03,552236581,11848,85.85
58791412,5,2019-01-28,603916545,95672,550.86
58793407,5,2019-01-27,671766492,1407,31.03
58795041,3,2019-02-09,650891338,33656,247.49
58796543,5,2019-01-22,672271408,33629,102.8
58796802,5,2019-01-29,672406404,53120,159
58797166,5,2019-01-29,672437053,617,42.99
58800112,5,2019-01-23,672451579,19270,5
58811347,5,2019-01-28,672260539,137856,110
58813522,5,2019-01-08,563736550,81741,19
58816750,4,2019-02-04,673002237,175636,11.99
58817225,5,2019-02-13,672463876,102514,49
58817394,5,2019-02-01,672303204,19015,11.99
58821497,5,2019-01-31,672390310,15687,39.9
58822576,5,2019-02-06,673922478,19262,43
58825829,1,2019-01-14,669385005,45455,69.07
58826618,1,2019-01-09,672607729,96991,17.89
58826816,4,2019-01-17,671882310,3003,54.99
58826914,1,2019-01-30,672693130,27260,217.75
58826938,3,2019-01-30,449568179,27260,66.33
58827250,1,2019-02-06,672620438,4250,22.99
58827497,5,2019-01-16,349451213,29833,22.83
58828712,5,2019-02-03,656447965,11942,0.96
58832817,5,2019-01-27,672020469,112529,69.99
58832837,3,2019-01-27,671833845,42215,4.76
58833105,5,2019-01-27,671961058,299,49.45
58834423,5,2019-01-29,672475737,71585,18
58837283,4,2019-01-08,672704257,45246,64.34
58837425,5,2019-01-07,673064683,999010,5.99
58840418,5,2019-01-07,672567154,102514,190
58840502,5,2019-02-01,673171436,49782,25.19
58841323,5,2019-02-04,673165670,175689,5.99
58841501,5,2019-01-27,671874280,36413,29.69
58841601,5,2019-01-27,528587020,171243,9.95
58842311,5,2019-02-03,673739078,159049,59.5
58843491,5,2019-01-27,672014155,19015,34.99
58843551,5,2019-02-17,677971893,18823,7.99
58844028,1,2019-01-27,671857491,11226,5.99
58845122,5,2019-01-28,672224503,173592,0.96
58847642,5,2019-01-17,671882328,52357,61.36
58850049,5,2019-01-21,672173278,79720,35.99
58851112,4,2019-01-30,672199422,123490,36.99
58851268,4,2019-01-04,672017622,19270,35
58852882,5,2019-01-27,671919557,115280,293.99
58853028,2,2019-01-30,645669703,71254,189.99
58854136,5,2019-01-28,672258343,11498,107.95
58854835,4,2019-02-01,672842309,156801,25
58856125,5,2019-01-08,672294844,31762,14.84
58857995,5,2019-02-12,676690339,14312,37
58858015,5,2019-01-28,652417586,158666,118.06
58858957,5,2019-01-27,671874324,63852,15
58860042,1,2019-01-28,672243491,19270,49.99
58860821,5,2019-01-28,672338773,28009,17.99
58861133,5,2019-01-29,672215596,617,24.99
58861291,5,2019-01-26,671826272,1277,79.99
58861339,5,2019-01-27,666935972,20460,35.99
58862309,5,2019-01-15,673454489,179798,84.99
58862669,1,2019-01-27,672067527,71302,79.95
58862674,5,2019-01-04,656795361,41170,9.99
58862698,4,2019-02-03,10102128,99,25
58864503,4,2019-01-26,671749537,41859,13.99
58864674,5,2019-01-09,671769838,178893,39.93
58864695,5,2019-01-10,671763138,156801,12
58864727,5,2019-01-10,671778242,1523,9.99
58864756,5,2019-01-14,672405290,19270,39
58864775,1,2019-01-27,671769588,3173,9.99
58865377,5,2019-01-02,671255667,999010,19.95
58866010,5,2019-01-06,671778028,175689,47.99
58866102,5,2019-01-27,671780623,176984,45.89
58866162,5,2019-01-27,671786385,617,118.9
58866166,5,2019-01-27,385697842,3273,7.99
58866202,5,2019-01-28,671784947,11226,7.8
58866444,5,2019-01-27,671796371,11848,11
58866486,5,2019-01-28,672352089,1070,15
58866528,5,2019-01-27,671800410,31387,58.89
58866556,5,2019-01-27,664331531,2631,13.8
