offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
545381,5,2010-06-03,14158331,67681,1.99
812682,5,2010-08-28,14158301,50649,1.25
52040410,5,2018-07-23,498883965,164331,4073.75
53259784,5,2018-07-31,608373252,123490,34.95
53361643,5,2018-07-28,608856648,112661,14
53537350,5,2018-07-08,609355906,19270,112.77
53600832,5,2018-07-27,610799461,57990,219
53699734,5,2018-08-04,611247640,122773,14.05
53905029,5,2018-07-27,607940429,314,71.92
54007813,5,2018-08-06,616473397,11498,174.99
54084940,1,2018-08-05,611451583,299,5.73
54086207,5,2018-07-16,612158235,102514,40
54138799,4,2018-08-04,612232299,1523,9.99
54170618,4,2018-08-14,294888098,279,17
54488519,5,2018-07-30,614467481,80,5.97
54518764,5,2018-08-30,607249778,57988,99.95
54558904,5,2018-07-29,608662917,102514,90
54568641,4,2018-08-20,611538853,19270,89
54599501,5,2018-07-30,546959781,53264,5.32
54603543,5,2018-07-13,610046676,88433,2.63
54611413,5,2018-07-16,609184828,19015,3.49
54677640,1,2018-07-11,600143538,243,29.99
54694329,5,2018-07-24,612626708,617,149.99
54727577,5,2018-08-24,616072502,75708,2.25
54751372,5,2018-07-20,608830068,19015,3.49
54773094,5,2018-07-28,608543114,11530,28.99
54793879,5,2018-08-08,612591848,123490,35.95
54807352,4,2018-07-29,608430596,52357,35.95
54809278,5,2018-07-28,603189747,50297,35
54824910,5,2018-08-20,616787501,123490,33.95
54827646,5,2018-08-10,613315620,57990,99
54845675,5,2018-07-30,617375473,181007,20.69
54846810,5,2018-08-04,603848450,19270,17.63
54851185,5,2018-08-11,603440969,7281,142.97
54855610,5,2018-07-10,610013541,1523,19.99
54857305,4,2018-08-01,610130575,60360,13
54867623,1,2018-08-28,613345078,159049,58.66
54868392,5,2018-07-19,608793879,24409,32.9
54875234,5,2018-08-03,610704576,47920,34.58
54877058,4,2018-08-15,614615835,299,9.8
54878848,5,2018-07-30,18232553,73502,5
54882490,5,2018-08-10,608284685,180960,39.99
54886142,5,2018-07-30,571393753,28174,8.9
54889436,1,2018-07-17,608515290,92868,82.78
54891716,5,2018-07-30,609168241,122773,20.09
54895862,1,2018-08-01,608324006,45333,15.99
54898895,5,2018-08-09,607063832,19270,40
54901226,5,2018-07-11,610293434,19270,99
54903755,5,2018-07-31,301994309,20580,88.35
54904111,5,2018-07-29,608789318,31412,10.79
54905315,5,2018-07-16,605889205,18793,11.99
54908708,4,2018-08-15,615201008,11848,29
54913980,5,2018-08-17,610857884,112661,17
54917769,5,2018-08-07,612266522,33008,3.99
54918783,5,2018-08-04,611191013,19015,3.49
54920590,5,2018-08-06,611876153,20696,17.81
54926357,1,2018-07-29,582692666,171821,25
54927712,5,2018-07-08,561508218,102513,2000000
54929416,5,2018-07-27,607838561,177767,115
54932338,5,2018-07-18,607876476,158965,29.99
54932971,5,2018-07-27,547646696,617,18
54934159,1,2018-07-27,607997036,63869,25
54934739,1,2018-07-12,600782498,9355,93.84
54936595,1,2018-07-25,607963399,113337,4.89
54938906,5,2018-08-02,610189497,617,11.95
54939735,5,2018-07-31,608712486,43534,69
54940917,5,2018-07-10,609646050,119688,17.98
54942176,5,2018-08-25,608375858,24410,38
54945479,4,2018-08-10,609920060,137084,64.21
54947605,5,2018-07-30,608446056,617,36.76
54948913,5,2018-08-22,614830507,24409,39
54954746,5,2018-08-19,616154349,19270,50
54954944,1,2018-08-01,609919933,169001,14.99
54958098,5,2018-07-12,554876728,139973,24.99
54958943,5,2018-07-13,609981525,175802,42
54960115,5,2018-07-06,606114357,139973,18.99
54961837,5,2018-07-28,607714833,169291,225
54962150,5,2018-07-30,609284445,617,10.2
54963002,5,2018-07-31,609200763,2885,39.9
54964160,5,2018-07-27,607872550,181227,4.94
54965587,5,2018-07-15,607826323,156801,12
54966509,4,2018-07-27,607706847,1345,3.5
54967058,5,2018-08-08,612186442,999011,5
54967362,4,2018-07-30,17292755,71278,56.39
54967994,1,2018-08-30,608013916,20605,14.84
54972583,5,2018-07-23,595880638,175689,9.99
54973293,5,2018-07-11,608254876,179798,79.99
54973693,5,2018-07-28,608329594,33164,482.79
54976243,1,2018-07-14,608540822,33164,19.79
54977111,5,2018-07-26,602422692,116117,127
54978679,2,2018-07-20,610649627,20349,28.99
54978704,4,2018-07-31,592186088,4701,28.45
54979756,5,2018-07-31,383607091,592,55.23
54980402,5,2018-07-28,595818660,175744,24.7
54981220,5,2018-08-02,608548904,57991,14.39
54981757,5,2018-07-22,555343367,102514,117007.77
54982242,4,2018-07-22,608387095,24510,64.98
54983362,5,2018-07-28,608382469,3768,9.99
54984120,5,2018-08-22,611839055,29585,35
54984235,1,2018-07-30,608529372,79686,115
54984532,4,2018-07-28,607805361,97196,199
54984777,5,2018-07-30,552762227,4013,179.98
54985489,5,2018-07-27,607539904,47123,89.95
54986448,5,2018-07-11,598611196,95237,550
54986529,5,2018-07-05,607730052,11226,8.8
54986540,4,2018-08-11,613722711,24410,42.98
54986554,5,2018-07-06,606800242,19183,8.77
54986811,4,2018-08-01,559524325,164306,247.01
54987179,5,2018-07-11,608546568,2622,9.88
54987927,5,2018-07-27,607694963,183185,5.89
54988236,5,2018-08-01,610131422,176992,29.99
54988432,5,2018-08-07,607524026,181007,99.88
54989216,5,2018-07-27,607854288,156801,25
54989527,1,2018-07-08,558021809,39464,5250
54990149,5,2018-07-15,607870830,19270,16.99
54993027,5,2018-08-30,612012921,82161,660
54993302,5,2018-07-30,609484220,176995,98.99
54993968,1,2018-07-27,607624169,38172,18.99
54994004,5,2018-07-26,607596435,75040,40.28
54994197,4,2018-07-29,299708941,155184,14.23
54994358,4,2018-07-27,607603625,29792,23
54994513,4,2018-08-11,613722823,24409,38.9
54994556,5,2018-08-13,607621317,3768,9.99
54994557,5,2018-07-27,607621088,180955,24
54994593,5,2018-07-27,607622645,35558,7
54994685,5,2018-08-01,607623046,49212,96.5
54994697,5,2018-07-27,607623544,175635,12.59
54994856,5,2018-07-29,607627400,11226,6.99
54994890,5,2018-07-30,571393724,28174,7.91
54994980,5,2018-07-27,607633175,123490,29.95
54995099,4,2018-07-27,607662771,116100,62.88
54995137,5,2018-07-27,607651022,3768,4.99
54995270,2,2018-07-27,607685261,2443,18.99
54995289,5,2018-07-27,607682111,178031,69
54995355,5,2018-07-27,607685918,3768,23.99
54995407,5,2018-07-27,607688372,3768,24.94
54995511,5,2018-07-27,607693350,4229,34.27
54995522,5,2018-07-07,607692843,181007,44.88
54995569,1,2018-07-27,601134615,155189,78.79
54995607,5,2018-07-21,434040592,165888,30
54995718,5,2018-07-27,607699747,83891,4.88
54995764,5,2018-07-27,607700624,3768,14.9
54995773,4,2018-07-27,607701501,24,8.68
54995802,5,2018-07-04,607332156,102514,1200
54995812,1,2018-07-27,607702634,179799,17.81
54995823,1,2018-07-05,531671777,71266,65
54995860,5,2018-07-27,515972387,63852,19.99
54995921,5,2018-07-27,607756983,11450,19.95
54996030,5,2018-07-27,607708909,79629,23.38
54996062,5,2018-07-31,607714464,617,18
54996095,5,2018-07-12,607711940,3768,7.49
54996104,4,2018-07-29,503361368,45246,31.49
54996185,5,2018-07-27,607718818,102514,10
54996332,5,2018-07-27,607738374,11776,14.36
54996386,5,2018-07-27,607733379,164306,119.99
54996548,4,2018-07-27,607744314,38583,30.99
54996564,3,2018-07-26,607743676,10975,16.05
54996566,5,2018-07-24,607882238,156801,20
54996572,5,2018-07-30,584433188,31387,122.9
54996616,5,2018-07-27,607782275,75576,10.5
54996648,5,2018-07-27,607745100,67670,18.79
54996669,5,2018-07-31,607748324,73991,22
54996775,5,2018-07-27,607750198,24410,64.95
54996814,5,2018-07-24,607750971,999010,29.99
54996818,5,2018-07-27,516976065,176984,3.5
54996820,5,2018-07-22,607751997,3768,7.49
54996838,5,2018-08-09,609897358,102514,70
54996850,1,2018-07-27,477035287,159043,69.95
54996870,5,2018-07-28,608400879,617,39.99
54996883,5,2018-07-27,607752863,11862,145.77
54996906,5,2018-07-27,607792393,20684,19.99
54996929,5,2018-08-29,607755791,11226,9.98
54997027,1,2018-07-29,608631617,75708,15.48
54997189,4,2018-07-27,607766203,15687,33.7
54997373,5,2018-07-30,607870715,26346,48.96
54997421,5,2018-08-09,607803182,34022,5.4
54997437,5,2018-07-30,607843340,42353,20.22
54997458,5,2018-07-27,607154391,20705,23.75
54997489,5,2018-07-23,611598604,123490,34.95
54997496,5,2018-07-27,607782127,11226,6.99
54997536,5,2018-07-29,608695128,181007,34.88
54997543,1,2018-07-27,607784804,2891,39.99
54997628,5,2018-07-27,607788802,48638,14.03
54997630,1,2018-07-16,607789447,179,269.99
54997654,5,2018-07-27,542473118,63852,42
54997729,5,2018-07-30,607793265,19270,16.99
54997802,5,2018-07-27,607799304,11226,9.99
54997832,5,2018-07-27,601218510,15662,9.27
54997879,5,2018-07-27,586819160,15662,5.89
54997919,5,2018-07-27,508412893,15662,7.81
54997922,5,2018-07-27,607806394,159889,1.45
54997956,5,2018-08-29,607819959,24410,39
54997971,5,2018-07-28,608185519,617,7.94
54997994,5,2018-07-27,607805041,617,11.46
54998043,4,2018-07-29,608823812,19262,9.99
54998070,5,2018-07-27,434515463,52365,13.85
54998083,1,2018-07-27,508147230,3115,24.99
54998115,1,2018-08-08,607815481,20684,34.99
54998157,5,2018-07-27,607816464,163570,32.99
54998177,5,2018-07-28,607817983,11226,14.89
54998197,5,2018-07-27,607819762,999010,45
54998246,1,2018-07-30,609189244,163543,59.9
54998266,5,2018-07-27,607820683,20684,45.99
54998285,5,2018-07-27,607938290,617,33.37
54998386,5,2018-07-29,608855765,45258,49.5
54998462,1,2018-08-14,607825542,52365,57
54998496,5,2018-07-27,607826376,3768,11.99
54998509,5,2018-07-27,607828951,181007,98.88
54998591,5,2018-08-01,607845899,24410,33
54998595,5,2018-07-01,607831422,999010,45
54998596,5,2018-07-27,607838255,57988,74.99
54998616,5,2018-07-27,426428244,11504,54.99
54998852,5,2018-07-27,607836377,163537,79
54998902,5,2018-07-27,607839916,119688,9.99
54998986,5,2018-07-27,374758791,15662,7.84
54998992,5,2018-07-06,590968191,102513,150
54999054,5,2018-07-27,607844696,15709,109
54999098,5,2018-07-27,607845790,617,13.5
54999109,5,2018-07-27,607847057,52357,23.03
54999122,1,2018-07-27,607846639,33645,329.99
