offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
58476200,1,2019-03-27,692079134,177664,3.96
58615996,5,2019-04-08,693872279,617,12.95
58829512,5,2019-03-27,699618085,102514,45
58832248,1,2019-04-05,695182203,31530,22.25
58872553,5,2019-04-12,700224617,1277,83.99
59224024,5,2019-04-15,694120498,19270,359.73
59370749,5,2019-04-16,698657634,53120,169.99
59399308,5,2019-03-28,694841258,19270,38
59439850,5,2019-04-23,701284246,53120,169.97
59479782,5,2019-03-20,685495872,31412,7
59490312,5,2019-03-13,694073137,102514,39.99
59502582,5,2019-04-20,700470240,147285,16.99
59504678,5,2019-03-09,691920703,617,7.49
59561250,5,2019-03-28,692391055,617,40
59579079,5,2019-03-29,692598085,15691,127.71
59579122,5,2019-03-18,695461342,617,7.49
59604658,5,2019-04-03,694760665,97035,29.49
59637087,5,2019-03-09,693644238,19270,
59685888,5,2019-03-25,691943638,123490,36.99
59694622,1,2019-03-22,692444178,92878,170.48
59711804,1,2019-04-25,692862453,617,18
59717080,5,2019-03-26,227024639,47228,90
59737440,5,2019-04-25,686251279,102514,
59738170,5,2019-03-30,212176971,40717,19.99
59741167,5,2019-03-29,692668257,181114,3.17
59744866,5,2019-03-18,695843669,102514,18
59760075,5,2019-03-31,693301944,3768,159.99
59770208,5,2019-03-13,692218257,19270,4
59809381,1,2019-03-31,691866756,177765,38
59817447,5,2019-04-06,694841626,19270,27.99
59845705,5,2019-03-13,691951642,82618,34.87
59855540,5,2019-04-19,464735710,102514,71.47
59880682,5,2019-04-09,696360364,113337,10.99
59884291,2,2019-04-17,699375219,55793,52
59892393,5,2019-03-15,672245101,26395,7
59900099,5,2019-03-30,674443002,32757,3.95
59905910,5,2019-03-27,691985301,1277,18.99
59920280,5,2019-04-17,693309298,102514,239.99
59921411,5,2019-03-31,693293839,19270,24.5
59926390,5,2019-03-28,692319184,62107,139
59934053,2,2019-03-16,692986750,120967,8.4
59942785,5,2019-03-27,514789124,165483,14.25
59944171,5,2019-03-25,699241636,102514,99
59945777,1,2019-04-02,518878398,63852,150
59947459,5,2019-03-11,693060180,19270,25
59953183,4,2019-03-21,692791696,3768,14.9
59953314,4,2019-04-14,692966432,11226,16.99
59953637,5,2019-03-12,693677718,177662,17.99
59953989,5,2019-03-29,695736350,147285,16.99
59954755,4,2019-03-27,692070690,11450,16.95
59957859,1,2019-04-18,699655465,181845,8.5
59962494,5,2019-04-08,692470087,155189,59.39
59965868,5,2019-03-29,692596767,179798,74.99
59966523,4,2019-03-29,692470504,617,25
59969017,5,2019-03-05,692077001,102514,120
59976662,5,2019-03-06,438900782,169296,46.99
59976922,1,2019-03-28,594823777,175774,21.59
59978023,5,2019-03-27,691858277,2993,29.99
59978266,4,2019-03-27,691938953,147211,34.31
59978328,1,2019-03-27,691904288,11450,40.28
