offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
55949473,5,2018-11-15,654331776,162194,1.8
56036847,5,2018-10-16,625849517,19267,7.99
56243590,5,2018-11-27,652402216,29585,13
56539708,5,2018-12-17,659529956,147285,16.99
56642615,5,2018-11-26,657147229,11183,89.95
56785109,1,2018-12-31,661285147,3768,9.99
56799690,5,2018-12-17,661993391,3768,9.99
56836690,1,2018-12-05,653625602,63862,28.99
56986341,4,2018-11-27,653613260,176984,10
57020916,5,2018-12-01,657603558,102514,
57145749,5,2018-12-12,662479223,19270,29
57180816,5,2018-11-21,604756712,19270,12
57203941,5,2018-12-19,656081424,24410,39.99
57232355,1,2018-12-16,659265029,1197,174.99
57240571,4,2018-11-06,653242581,3768,5.49
57240697,5,2019-01-02,658141570,19015,2.99
57245373,5,2018-12-11,657710955,20403,104.95
57260967,5,2018-11-18,653269751,19270,22
57264087,4,2018-12-06,656027101,155196,64.99
57278341,5,2018-12-01,630070722,617,9.99
57278363,5,2018-12-01,654902107,617,18.98
57292010,5,2018-12-04,655566589,20684,26.12
57312104,5,2018-12-05,657821626,19270,149
57321256,1,2018-11-09,653415234,15687,41.75
57341837,5,2018-12-16,659167042,10805,16.09
57345470,5,2018-12-02,654163209,617,9.99
57359155,5,2018-12-02,654082242,19015,19.99
57371019,5,2018-11-25,660186872,999013,0
57375994,1,2018-12-04,654360372,155194,37.99
57389592,5,2018-11-27,653820891,156801,30
57407914,5,2018-12-14,658671930,15687,33.7
57413634,5,2018-12-06,656090673,181007,25
57415948,5,2018-11-29,651840773,20349,14.99
57417129,1,2018-12-10,653801823,116098,21.99
57417818,5,2018-11-15,653869683,1277,79.99
57419973,5,2018-11-29,651840748,20349,14.99
57423792,5,2018-12-22,211706463,102514,174.6
57424824,5,2018-12-15,585569779,99,29
57434638,1,2018-11-30,653545042,206,39.33
57440105,5,2018-11-20,655918984,19270,49
57442765,2,2018-11-28,653818350,181267,77
57451209,5,2018-12-06,656416945,112661,20
57452089,5,2018-11-09,654224113,11226,8.99
57456430,5,2018-11-27,653488502,52365,14.99
57457106,5,2018-11-29,653426304,155101,10.9
57462985,5,2018-12-04,638377351,163537,72.25
57466611,5,2018-11-22,596042776,4078,41.52
57472737,5,2018-12-24,662097115,19015,2.99
57473722,5,2018-11-07,537154431,15960,34.65
57474076,1,2018-11-30,654488773,112661,29
57474400,3,2018-11-24,656097801,57988,59.98
57476479,5,2018-12-03,655416199,1279,44.55
57477958,1,2018-11-08,653517525,63861,249.99
57480697,5,2018-11-20,655075812,75041,24.99
57486108,5,2018-11-27,653580260,48638,45.82
57486129,3,2018-11-27,649972053,42612,123.75
57489493,4,2018-12-21,643339345,9355,100
57489669,4,2018-11-15,643255012,9355,100
57492237,5,2018-12-23,598628819,164331,949.49
57495205,2,2018-11-10,578360633,617,5
57495717,5,2018-11-27,653465540,145996,62.07
57497324,5,2018-11-27,653591506,3768,9.99
57500374,4,2018-11-28,653619995,617,99.99
57500803,5,2018-11-15,652794791,45258,15.9
57502121,1,2018-11-27,653658755,19270,17.61
57502661,5,2018-11-08,653595647,112661,15
57505569,5,2018-11-28,653809673,11784,3.79
57509566,5,2018-11-13,628236706,165652,5.61
57510274,5,2018-11-27,630244880,42612,13.81
57510890,5,2018-11-27,653442659,180960,99
57511216,5,2018-11-27,653690730,220,12.3
57512562,5,2018-11-18,653581748,25338,15
57512924,5,2018-11-28,653817858,1380,98.64
57514761,5,2018-12-08,659101555,19270,145
57518423,5,2018-12-08,656813682,11226,9.99
57519897,5,2018-11-28,653803610,33645,153.99
57520948,5,2018-11-27,649836560,72874,40
57521640,5,2018-11-28,653812061,42614,44
57521965,5,2018-11-23,559957107,27275,120
57523132,4,2018-11-28,653796843,75034,29.21
57524144,5,2018-12-04,658594342,112661,40
57524646,5,2018-11-14,455343602,116117,29.99
57525105,5,2018-11-24,653579256,155183,26.99
57525384,5,2018-11-09,652961101,102514,377.77
57525446,1,2018-11-28,554881288,78997,199.99
57526425,1,2018-11-05,653533368,3768,15
57526594,5,2018-11-24,633640146,102514,83.52
57527091,5,2018-11-20,653499219,102514,32
57527364,5,2018-11-27,653702893,57988,70
57527396,5,2018-11-27,653606917,14312,45
57527719,5,2018-12-01,654766441,999010,25
57527913,5,2018-11-27,653474367,617,11.99
57530734,4,2018-11-06,653520056,18888,15.88
57532379,2,2018-11-10,634307736,20190,83.8
57532679,5,2018-11-05,653736423,166695,2.85
57532820,4,2018-11-06,653414215,155193,19.55
57532976,5,2018-11-17,653422253,11226,9
57533093,5,2018-11-27,653428104,554,29.99
57533378,1,2018-11-27,653435686,19006,69.68
57533552,5,2018-11-27,261000265,106922,11.14
57533574,1,2018-12-04,653443317,11450,41.25
57533603,5,2018-11-04,653442407,175689,14.99
57533759,5,2018-11-06,653449322,19270,5
57533847,5,2018-11-28,630260851,267,1.97
57534186,5,2018-11-27,653461338,24409,38.99
57534233,1,2018-11-27,653464185,55793,68.45
57534303,5,2018-11-11,653468106,46782,11.88
57534469,1,2018-11-27,653469532,11498,179.99
57534500,5,2018-11-27,653472172,95672,79.98
57534731,5,2018-11-27,653478481,11226,23.95
57534743,5,2018-12-10,653478524,11226,29.99
57534770,5,2018-11-27,653479967,617,15.95
57534923,3,2018-11-27,653481636,169001,6.53
57534976,4,2018-11-27,653483144,220,7.7
57535072,5,2018-11-08,653483533,102514,45
57535153,5,2018-11-27,653484677,617,30
57535197,5,2018-11-09,653485197,3768,11.99
57535232,1,2018-11-27,647557547,999010,19.95
57535273,5,2018-11-27,653487068,15687,19
57535332,5,2018-11-27,644728456,25,33.31
57535358,5,2018-11-15,653517523,6028,14.95
57535436,5,2018-12-11,653488177,11498,169
57535456,1,2018-11-27,653491617,1268,15
57535479,5,2018-11-28,653517299,20158,20
57535527,5,2018-11-08,651530594,102514,635
57535535,5,2018-12-04,292987434,3273,6.99
57535582,5,2018-11-05,653492359,11703,20.99
57535641,4,2018-11-27,653494373,33566,31
57535658,5,2018-11-27,563290307,43977,35.93
57535659,5,2018-11-21,655020740,102518,3
57535722,1,2018-11-27,653504257,117503,28.43
57535734,5,2018-11-21,653496870,116110,10
57535847,5,2018-11-27,653500410,11226,5.98
57535961,5,2018-11-29,653504663,159912,86.12
57536035,5,2018-11-27,522945834,63864,28.66
57536055,2,2018-11-27,653508499,100454,138.6
57536061,1,2018-11-27,653508586,11498,107.95
57536184,3,2018-11-15,653512007,205,29.99
57536198,5,2018-12-05,653512519,123490,39.9
57536268,3,2018-11-28,557070195,6028,35.95
57536287,1,2018-11-16,653514932,117503,316.51
