offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
55374097,5,2018-11-05,646506905,15687,15.99
55403103,1,2018-11-08,647632712,11700,12.9
55980961,5,2018-10-06,628531900,19270,
56079787,5,2018-10-22,647790403,113337,1.45
56166145,4,2018-10-29,646065997,155226,41.85
56268273,5,2018-11-14,649477297,176984,29.99
56285596,5,2018-11-02,643291286,176984,10
56357727,3,2018-11-13,645028872,175689,25
56365470,5,2018-11-07,647137718,45333,39.99
56422647,5,2018-10-24,560578551,110666,32
56453900,1,2018-11-18,649751289,42425,47.84
56468963,4,2018-10-31,643977335,139962,33
56484619,5,2018-10-30,643382226,156801,30
56491254,5,2018-10-10,643826591,112661,145
56492747,4,2018-11-08,647460476,24409,56.99
56524388,5,2018-10-28,622959430,617,40
56565518,4,2018-11-02,635846357,155183,25.99
56570857,5,2018-11-22,643782226,102514,
56572936,5,2018-10-30,651846884,19270,499.99
56596051,5,2018-11-13,646890701,180954,115.99
56613807,1,2018-11-10,644204477,19270,18
56616761,5,2018-10-28,644333542,177662,39.99
56621396,5,2018-10-31,644494230,179774,48.51
56634712,5,2018-11-23,646460532,19270,
56635452,5,2018-11-08,643883091,11226,11.99
56659111,5,2018-10-29,643926316,180954,57.99
56662876,5,2018-11-20,651248383,61779,27.89
56679609,1,2018-10-21,643200844,53369,63.99
56682847,4,2018-10-29,643588723,84275,51.93
56686818,1,2018-11-13,646828236,63867,89.99
56692081,5,2018-11-10,643687311,24410,42.98
56703212,5,2018-11-13,520355660,617,9.95
56710140,5,2018-11-08,649958243,112661,16
56717495,5,2018-10-21,638768727,206,37.39
56724697,5,2018-12-08,650026670,11484,119
56725121,5,2018-10-28,650148749,19270,159
56727474,5,2018-11-05,646599991,155196,58.99
56733436,5,2018-10-29,643948861,63861,115
56743549,4,2018-10-11,643688670,617,5.95
56745580,5,2018-10-31,644662160,11450,18.73
56747795,1,2018-11-01,650149134,19006,21.75
56766001,4,2018-11-14,649436863,45515,29.99
56767016,5,2018-10-07,643121340,169291,122.96
56768174,4,2018-11-13,649103870,63855,23
56770203,4,2018-10-31,644193430,165543,29.69
56770710,5,2018-11-13,644212157,155184,87.95
56780969,5,2018-10-09,622217913,102514,59.77
56782236,5,2018-10-27,643176264,109462,20.33
56789046,2,2018-11-04,646144878,2562,45.24
56791971,5,2018-10-27,643297834,2885,42.99
56796011,5,2018-11-04,645950851,45246,5.34
56800006,5,2018-10-07,643538771,11226,10.99
56803211,5,2018-10-29,160613013,41232,9.95
56803691,5,2018-11-03,645638014,102514,40
56803785,5,2018-11-15,645629461,2887,35
56806936,5,2018-10-05,537339432,116116,112
56814647,5,2018-11-22,619891701,31413,38
56814906,5,2018-11-22,643836150,31413,26.89
56815909,5,2018-10-31,644588925,20684,51.49
56815948,5,2018-10-29,643932712,11450,96.2
56826181,5,2018-11-12,644139578,24410,39.99
56828517,4,2018-11-01,643836152,11507,14.05
56831403,5,2018-12-05,646888099,67589,33.99
56832480,5,2018-10-05,643177918,169291,102
56836840,5,2018-10-16,644141497,11226,5.49
56837093,1,2018-10-13,643204463,53369,64.99
56838742,4,2018-10-29,643922438,50637,1.89
56839952,4,2018-10-27,635971036,159899,27.59
56842892,5,2018-10-09,633544005,166729,32.99
56844108,1,2018-10-28,643619138,155196,24.99
56846158,1,2018-10-30,642606269,31387,128.69
56846814,5,2018-11-10,644130580,163829,75
56853046,4,2018-10-27,643159537,29585,18.04
56855541,3,2018-10-27,643214949,57974,9.99
56855788,5,2018-10-27,643209038,15687,17.95
56856028,5,2018-10-29,643919720,19270,11.97
56856981,3,2018-10-28,643513300,79627,16.9
56863412,5,2018-10-28,643709811,29792,34.99
56864739,5,2018-11-13,649106588,24410,39.99
56866020,4,2018-11-05,419968665,102514,44.44
56867337,3,2018-11-14,643919116,155196,54.99
56870602,1,2018-10-16,646896049,45238,54.95
56870732,5,2018-11-21,644377927,31387,68.31
56871001,4,2018-10-27,643367463,67589,41.99
56871023,5,2018-10-28,643250161,15690,25
56871085,4,2018-10-27,643367466,67589,29.99
56871835,1,2018-10-13,638352893,31395,59.6
56872453,5,2018-11-04,646124649,155193,19.2
56877134,5,2018-10-27,643127845,19270,120
56877623,5,2018-10-28,641735974,20524,396
56878035,2,2018-10-29,643446983,57988,54.99
56878037,4,2018-11-03,643240012,75708,2.75
56879098,5,2018-11-03,645393126,38176,14.97
56879320,5,2018-11-16,645899811,19270,49
56879975,5,2018-10-16,643974643,11226,9.95
56880265,5,2018-10-27,618837973,50459,9.74
56880550,5,2018-10-28,643617648,46782,3.5
56881303,5,2018-11-01,437216190,11862,9.49
56881409,1,2018-10-29,638944024,42612,29.7
56882151,5,2018-10-30,629763916,27264,275
