offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price
50562304,5,2018-09-06,630899515,3768,38.19
54569416,5,2018-09-21,607980423,177765,24.99
54709083,5,2018-10-04,632582628,19270,49
54724407,5,2018-11-01,601928337,617,3.95
54782400,5,2018-10-19,633891088,50447,52.99
54978806,3,2018-10-08,634595463,233,17.81
55025342,5,2018-09-26,632050477,62107,199.99
55049332,4,2018-10-30,633725618,53120,119.99
55056979,5,2018-10-14,632715767,19270,54.5
55233004,5,2018-10-02,637828521,112661,29
55389235,5,2018-10-10,635408244,176998,369.99
55417703,5,2018-10-17,642563381,25464,10.19
55448340,5,2018-10-23,641746028,88433,15
55471233,5,2018-10-10,641900219,112661,33
55685787,5,2018-10-27,642287553,24410,39.99
55782281,5,2018-10-03,524641135,15216,22.09
55812791,5,2018-10-19,640184169,102514,40
55837397,5,2018-09-11,632917215,19270,159
55844175,5,2018-10-30,635351641,181076,20
55863556,5,2018-09-15,631698045,11226,9.5
55877420,5,2018-09-11,634000699,11226,14.49
55881974,3,2018-10-16,633028135,19270,39.99
55929881,5,2018-09-27,630777966,24410,54.99
55981785,5,2018-10-07,635337976,156801,25
55998783,5,2018-09-12,632337949,617,29.99
56015624,5,2018-11-08,640492611,29585,17
56024091,5,2018-09-25,633493799,112661,12
56036173,1,2018-09-16,632871731,149372,19.99
56037367,5,2018-09-21,630900968,617,40
56040094,5,2018-09-28,40941856,72876,69
56065605,5,2018-09-27,584141834,63855,11.64
56073042,5,2018-09-20,291763142,63,3.38
56073165,5,2018-09-20,630809317,19270,69.29
56129568,5,2018-09-26,630777906,159109,37
56132243,5,2018-10-11,633141289,3768,7.49
56133426,5,2018-10-01,632252242,40609,24.99
56149840,1,2018-09-27,630778595,24409,38.99
56154710,5,2018-09-27,630855335,617,17.84
56159248,4,2018-09-28,630970019,24409,48.99
56165780,5,2018-09-28,631151652,15709,109
56167971,5,2018-09-30,631693439,37637,22.46
56179484,5,2018-10-27,634258505,102514,45
56180793,1,2018-09-24,632824537,155183,43.99
56182731,5,2018-10-12,635773924,139962,19.99
56185780,5,2018-09-22,636125607,2624,7.95
56186098,4,2018-10-16,635697063,19270,70
56186437,5,2018-09-12,628176184,15648,2.75
56187810,5,2018-10-03,633090681,617,35
56192204,1,2018-10-28,630789412,20938,133
56193335,4,2018-10-16,630840594,19270,17.99
56210431,5,2018-10-02,630829927,24410,5.95
56213031,5,2018-10-02,632498359,20749,27.83
56220803,5,2018-09-26,636673848,50647,49.99
56224586,5,2018-09-29,631530239,19270,69.99
56232356,5,2018-10-17,639507886,177790,8.95
56233616,5,2018-09-24,630806125,19270,
56236759,5,2018-09-30,631603042,3768,7.49
56237453,5,2018-09-14,632515489,11226,8.5
56238820,5,2018-09-30,631799014,19262,21.98
56239010,5,2018-09-17,631897563,11983,8.95
56239237,5,2018-10-05,641686404,112661,25
56239729,5,2018-10-12,634218470,11716,92.4
56239860,4,2018-10-01,631606354,24410,44.98
56240865,5,2018-09-17,498386934,63861,27.72
