seller_id,committed,item_count,booth_id,initial_booth_activation
1399,TRUE,0,2135,12/5/18 5:56
34051,TRUE,782,17979,12/11/18 8:14
37332,TRUE,2938,19669,11/19/18 17:11
42117,TRUE,277,21748,12/4/18 11:09
48049,TRUE,0,24457,2/8/19 16:17
56105,FALSE,0,28916,2/10/19 13:12
67290,FALSE,0,33508,10/26/18 14:50
81250,TRUE,0,38526,11/16/18 15:16
97868,TRUE,40,42946,2/25/19 7:02
113116,TRUE,16,46954,2/13/19 8:41
120651,TRUE,0,50182,10/15/18 11:33
126044,TRUE,2361,50924,12/28/18 6:37
402066,TRUE,0,95841,1/11/19 14:36
473019,FALSE,0,105514,10/16/18 17:51
495030,TRUE,777,112053,10/24/18 8:48
665360,TRUE,110,133411,10/7/18 5:46
415706,TRUE,1,133528,1/10/19 8:16
904868,TRUE,28,189763,3/26/19 9:30
907134,TRUE,0,190226,1/5/19 20:26
1266275,TRUE,27,269057,11/27/18 12:37
1480097,TRUE,19,306105,1/7/19 14:42
939447,TRUE,0,365691,12/1/18 18:57
1882601,FALSE,0,369131,1/5/19 14:12
1362528,TRUE,16,735949,2/19/19 15:10
3963347,TRUE,0,753925,3/2/19 12:01
4154143,TRUE,0,788867,3/2/19 13:01
5281087,TRUE,2,1003947,10/19/18 9:49
5862725,TRUE,8,1129821,3/9/19 13:43
3802171,TRUE,9,1133467,1/6/19 10:53
6363823,TRUE,14,1265277,2/18/19 13:00
6631219,FALSE,0,1301261,10/6/18 16:34
6658507,TRUE,401,1305283,1/28/19 19:53
7188763,TRUE,0,1408477,3/8/19 10:50
7529025,TRUE,43,1485485,11/12/18 9:44
7697235,FALSE,0,1520753,10/11/18 15:03
7744781,FALSE,0,1529537,10/8/18 12:06
8015373,TRUE,4442,1563989,2/14/19 11:19
8070127,TRUE,28,1572505,2/20/19 20:06
8095899,FALSE,0,1578029,1/23/19 7:28
10017275,TRUE,0,1929452,1/11/19 16:46
9499133,TRUE,0,1952012,3/21/19 7:56
10211040,FALSE,0,1955796,10/11/18 5:56
10339290,TRUE,25,1972577,11/9/18 8:13
10483595,TRUE,52,1989557,10/26/18 16:26
10599252,TRUE,0,2000406,11/2/18 14:46
10818499,TRUE,1,2024986,3/27/19 9:14
10905271,TRUE,1,2043535,3/11/19 9:37
11063022,TRUE,0,2080476,12/6/18 16:03
10703609,TRUE,1,2129065,1/21/19 23:34
11866038,FALSE,0,2205983,1/17/19 12:33
12031398,TRUE,5,2292522,3/10/19 8:58
12598725,TRUE,8,2326073,3/23/19 23:12
12655310,FALSE,0,2333524,10/24/18 5:23
12650733,TRUE,112,2337409,3/7/19 9:46
12879680,TRUE,0,2367206,12/12/18 23:05
12882984,FALSE,0,2368474,12/28/18 10:27
12915156,TRUE,0,2372563,11/7/18 21:07
4121053,TRUE,0,2374040,1/19/19 13:35
13145976,TRUE,1,2402665,2/7/19 18:49
