booth_id,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query
4405161,-1,,,https://www.google.com/,
4408152,4,1,,Direct,
4411365,4,3,,https://www.google.com/,
4411996,,3,,,
4414216,4,1,,https://www.google.com/,
4416518,0,3,,https://www.google.com/,
4421724,3,1,,Direct,
4422285,0,1,,https://www.google.com/,
4423180,4,,,Direct,
4424349,16,1,,https://www.google.com/,
4429485,4,,,Direct,
4431532,6,,,Direct,Sell stuff online 
4362973,,1,,,
4438589,,1,,,
4440230,0,,,https://www.google.md/,
4440430,8,,,Direct,
4444809,0,1,,https://www.google.com/,
4446545,2,,,https://www.google.co.in/,
4448160,7,4,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,
4448289,4,,,Direct,
4449013,22,,,Direct,
4449792,4,1,,Direct,
4451170,6,6,,https://www.google.com/,
4452329,0,1,,http://www.google.com/,
4457497,0,4,,https://www.google.com.vn/,
4457951,4,1,,Direct,
4462186,0,2,,https://www.google.co.ve/,
4462861,0,,,https://www.google.com.co/,
4463367,6,1,,https://lm.facebook.com/,
4463594,2,1,,https://www.google.com/,
4465042,4,5,,Direct,
4468640,4,6,,https://marketplace.comandia.com/account/marketplaces/24/edit?goback=https%3A%2F%2Fmarketplace.comandia.com%2Faccount%2Fmarketplaces,
4470183,6,,,https://www.google.com/,
4470725,4,1,,Direct,
4471575,6,5,,https://www.google.com/,online store
4473788,0,1,,Direct,
4474631,0,1,,https://www.google.tn/,
4483361,0,,,https://www.google.com/,
4484663,0,1,,https://www.google.com/,
4486235,0,1,,https://www.google.co.in/,
4491635,4,1,,Direct,
4493728,4,,,Direct,
4494555,4,,,Direct,
4494911,,1,,,
4495524,0,,,https://www.google.ae/,
4496021,6,1,,https://www.google.com/,
4499930,0,,,https://www.google.com/,
4500707,4,2,,Direct,
4503047,16,1,,https://www.google.com/,
4503129,3,1,,http://go.mail.ru/redir?via_page=1&type=sr&redir=eJzLKCkpKLbS1y8vL9dLys9LzKtK1EvOz9VnYDA0NTa2sLCwNDBj2HOOf0uIfXUWc_vSDrMlqxkA4RsR-A,
4503562,0,,,https://www.google.com/,
3601252,,1,,,
4504698,4,1,,Direct,
4507845,7,,,Direct,Cars yeah
4510949,0,,,https://www.google.com/,
4511533,4,1,,Direct,
4511761,0,1,,https://www.google.com/,
4512095,4,,,Direct,
4513872,,1,,,
4514033,0,,,https://www.google.com/,
4514394,22,,,Direct,
4515504,0,3,,https://www.google.com.ua/,
4517903,16,3,,https://www.google.com/,
4517949,0,3,,https://www.google.com/,
4518041,8,1,,Direct,
4518445,22,1,,Direct,
4518663,0,4,,Direct,
4519021,6,,,https://www.google.com/,places to sell online
4522331,4,1,,Direct,
4523158,4,1,,Direct,
4525097,2,1,,https://www.bing.com/,
4525439,0,1,,https://www.google.com/,
4525640,0,,,Direct,
4525670,16,1,,https://www.google.com/,
4526169,4,,,Direct,
4527026,0,,,Direct,
4527674,4,1,,Direct,
4528016,8,,,Direct,
4528436,5,1,,https://duckduckgo.com/,
4529393,4,3,,Direct,
4530222,4,,,https://www.bing.com/,
4530756,9,,,Direct,
4530917,0,3,,https://www.google.com.vn/,
4531485,4,,,Direct,
4531707,0,1,,Direct,
4531857,6,,,Direct,
4532074,4,2,,Direct,
4532152,4,,,Direct,
4533166,0,1,,https://www.google.com/,
4534265,4,,,Direct,
4534857,2,1,,https://www.bing.com/,
4535093,8,1,,Direct,
4535236,0,1,,https://www.google.com/,
4535668,0,1,,https://www.google.com.vn/,
4535856,16,1,,https://www.google.com/,
4536580,0,,,https://www.google.com.vn/,
4536996,0,1,,https://www.google.co.uk/,
4538355,4,,,Direct,
4538516,22,6,,Direct,
4539191,16,,,https://www.google.com/,
4539415,16,1,,https://www.google.com/,
4540319,16,,,Direct,
4540410,5,1,,https://search.yahoo.com/,
4540656,4,3,,Direct,
4540739,0,,,https://www.google.com.br/,
4540825,4,,,Direct,
4541667,0,1,,https://www.google.com/,
4541680,4,,,https://www.bonanza.com/,
4542485,4,,,Direct,
4542618,0,1,,https://www.google.com.vn/,
4543506,4,,,Direct,
4543976,16,1,,https://www.google.com/,
4544220,4,,,Direct,
4544374,2,1,,https://www.bing.com/search?q=bonanza&form=EDGTCT&qs=OS&cvid=047874d85d27478d8221acd3af4a0a91&cc=GB&setlang=en-US,
4114136,,1,,,
4547162,0,,,Direct,
4547489,0,6,,https://www.google.com/,
4547708,5,,,Direct,
4547830,4,,,Direct,
4548358,8,,,Direct,
4548461,0,3,,https://www.google.com/,
4548577,0,1,,https://www.google.com/,
4549760,0,,,https://www.google.com/,
4549765,0,,,https://www.google.com/,
4549913,0,2,,https://www.google.com/,
4550426,0,,,https://www.google.com/,
4550530,5,3,,https://vn.search.yahoo.com/,
4550945,8,,,Direct,
4551161,22,,,Direct,
4551424,0,3,,https://www.google.com/,
4551962,0,1,,Direct,
4552127,0,1,,https://www.google.com/,
4552714,4,6,,Direct,
4552894,7,1,,https://www.paypal.com/webapps/xoonboarding?token=EC-54N57233F3283234D&country.x=US&locale.x=en_US&country.x=US&locale.x=en_US,
4084041,,6,,,
4549798,,6,,,
4555912,16,,,https://www.google.com/,
4556900,0,,,https://www.google.com/,
4557052,4,,,Direct,
4558596,2,,,https://www.bing.com/search?q=bonanza+marketplace&form=EDNTHT&mkt=en-us&httpsmsn=1&refig=4623b135d65f488bce23fe45c5a7199e&sp=2&ghc=1&qs=ONR&pq=bonanz&sk=ONR1&sc=8-6&cvid=4623b135d65f488bce23fe45c5a7199e&cc=US&setlang=en-US,
4558680,0,1,,https://www.google.com/,
4558951,4,1,,Direct,
4558972,0,,,https://www.google.co.uk/,
4560059,16,,,https://www.google.com/,
4560157,0,,,https://www.google.ru/,
4560230,4,,,Direct,
4560290,4,3,,https://www.google.com/,
4561265,4,,,Direct,
4561653,16,1,,https://www.google.com/,
4561671,7,4,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,
4561873,0,,,https://www.google.co.jp/,
4562173,15,1,,Direct,
4562734,4,,,Direct,
4562797,0,1,,https://www.google.com.pk/,
4562966,4,4,,Direct,
4563734,4,,,Direct,
4565250,4,3,,Direct,
4565878,7,,,http://www.cifnews.com/article/32884?open_source=weibo_search,
4566079,,1,,,
4566162,0,3,,https://www.google.com/,
4566280,4,,,Direct,
4566282,0,2,,https://www.google.com/,
4566461,4,,,Direct,
4566464,0,1,,Direct,
4567037,4,,,Direct,
4567116,4,1,,Direct,
4567887,16,,,https://www.google.com/,
4567979,4,,,Direct,
4568247,0,,,https://www.google.com/,
4568310,16,,,https://www.google.co.in/,
4569230,4,,,Direct,
4569573,0,,,https://www.google.com/,
4569764,4,4,,http://r.srvtrck.com/v2/go?t=6t8pb%3A7%2F9w5.9aci7g7.foc%2F2%2F3%2Fa6d6-4a04870d6846caabs8c418s0b2d0v435430800007010e%3D6i6u6%269%3Dar5f9%3Fb%2F58b1f49%2F5180a022fpam3m1c4s3n9v8s0wawd%2Fcsbt2h&s=http%3A%2F%2Fyoinsider.net%2Fproduct%2Fvivant-skin-care-exfo,
4569790,,1,,,
4569874,16,,,https://www.google.com/,
4570772,6,3,,https://l.facebook.com/,
4570807,16,3,,Direct,
4571292,3,,,Direct,
4561356,,1,,,
4572333,5,,,https://www.baidu.com/link?url=tZyzupnNpNUXWxrOvcfT2kiK_7sRBvwvno8rEm5MfJmnT5TLxH5OLQADnfSb9xs7JNa16oQQKIQkedp0bbTSSq&wd=&eqid=8b1b320a0001d1be000000045ba4633f,
4572773,22,1,,Direct,
4572782,4,1,,Direct,
4573108,8,1,,https://www.google.com/aclk?sa=l&ai=DChcSEwi-s7zjr8fdAhUMtcAKHRfpCuQYABABGgJpbQ&sig=AOD64_3Q6IrnHj4GsBkGwFTVpijk_2dX6w&ctype=5&rct=j&q=&ved=0ahUKEwillbfjr8fdAhWky4MKHWEaCzoQ1ikIDw&adurl=,
4573288,17,,,https://www.google.com/,
4574369,0,1,,http://www.google.com/,
4574433,17,1,,https://www.google.com/,
4574692,4,1,,Direct,
4575279,4,1,,Direct,
4575310,16,,,http://www.google.com/,
4577450,16,6,,https://www.google.com/,
4577680,16,,,https://www.google.com/,
4577682,4,,,Direct,
4577777,4,4,,Direct,
4578170,4,3,,https://www.google.com/,
4578755,4,1,,https://www.bonanza.com/selling_dashboard,
4578779,3,1,,Direct,
4578829,0,4,,https://www.google.com/,
4578910,0,1,,https://www.google.com/,
4579116,4,,,Direct,
4579328,0,,,https://www.google.co.uk/,
4579347,17,,,https://www.google.com/,
4580341,16,,,https://www.google.com/,
4580722,0,1,,https://www.google.com/,
4581053,0,1,,https://www.google.com/,
4581188,4,4,,Direct,
4581362,8,1,,https://www.google.com/,
4581505,16,6,,https://www.google.com/,
4581843,4,2,,Direct,
4581900,4,6,,Direct,
4582072,4,,,Direct,
4582152,16,,,https://www.google.com/,
4582264,4,1,,Direct,
4582204,,3,,,
4582424,4,3,,Direct,
4582425,4,1,,Direct,
4582463,,1,,,
4582778,17,,,https://www.google.com.au/,
4582823,4,,,Direct,
4582845,0,1,,https://www.google.com/,
4583449,16,,,https://www.google.com/,
4583440,,1,,,
4583490,0,,,https://www.google.com/,
4583543,16,6,,https://www.google.com/,
4583661,0,,,https://www.google.com/,
4583666,16,6,,Direct,
4583710,16,1,,https://www.google.com/,
4584785,4,,,Direct,
4584800,22,3,,Direct,
4585356,5,,,https://duckduckgo.com/,
4585549,0,1,,https://www.google.com/,
4585590,0,,,https://www.google.com/,
4585629,16,,,https://www.google.com/,
4586100,3,3,,Direct,
4586279,4,6,,Direct,
4586349,8,1,,https://www.google.co.jp/,
4586617,4,,,Direct,
4587013,0,,,https://www.google.co.id/,
4587014,4,4,,Direct,
4587031,,4,,,
4587185,4,1,,Direct,
4587323,0,2,,https://www.google.ca/,
4587349,22,,,Direct,
4587465,8,4,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,
4587482,0,,,android-app://com.google.android.googlequicksearchbox/https/www.google.com,
4587534,4,,,https://www.bonanza.com/webstores,
4587570,0,1,,https://www.google.com/,
4587623,4,,,Direct,
4587670,0,4,,https://www.google.com.gh/,
4587679,4,3,,https://endless-sphere.com/forums/viewtopic.php?f=26&t=82223&start=5225,
4588021,4,3,,Direct,
4588052,0,,,https://www.google.com/,
4588512,0,1,,https://www.google.com/,
4577981,,2,,,
4588972,0,,,https://www.google.com/,
3411918,,1,,,
4589102,16,,,https://www.google.com.pk/,
4589692,4,1,,Direct,
4589770,17,,,https://www.google.com/,
4589906,4,1,,Direct,
4589934,0,,,Direct,
4590612,2,,,https://www.bing.com/search?q=bonanza&form=APIPH1&PC=APPL,
4592511,4,,,Direct,
4592532,0,1,,https://www.google.ca/,
4592806,4,3,,Direct,
4592820,17,1,,https://www.google.ro/,
4593005,17,,,https://www.google.com/,
4593176,4,1,,Direct,
4593186,7,1,,http://welcome.indihome.co.id/landing-page,
4593221,4,,,Direct,
4593250,,1,,,
4593373,8,3,,Direct,
4593469,0,1,,https://www.google.com/,
4593517,22,1,,Direct,
4593540,0,,,https://www.google.com/,
4593570,22,,,https://www.google.com/,
4593598,4,,,Direct,
4593602,4,,,Direct,
4593607,4,1,,Direct,
4593709,16,,,https://www.google.com/,
4593778,22,,,Direct,
4593895,4,,,Direct,
4593979,4,1,,Direct,
4594164,0,1,,https://www.google.co.th/,
4594168,4,,,Direct,
4594229,0,2,,https://www.google.com/,
4594234,0,4,,Direct,
4594239,4,6,,Direct,
4594248,0,,,https://www.google.com.sg/,
4594355,4,1,,Direct,
4594368,16,5,,https://www.google.com/,
4594386,4,,,Direct,
4594388,4,1,,Direct,
4594389,4,,,Direct,
4594393,16,6,,https://www.google.com/,
4594416,0,1,,https://www.google.lk/,
4594437,4,,,Direct,
4594442,0,,,https://www.google.com.au/,
4594443,4,1,,Direct,
4594464,4,3,,Direct,
4594469,4,,,Direct,
4594523,0,2,,https://www.google.es/,
4594535,0,,,https://www.google.co.uk/,
4594569,4,3,,Direct,
4594708,4,,,https://www.bonanza.com/booths/xuedailuq/items/643114500/edit,
4594710,,1,,,
4594756,16,5,,https://www.google.com/,
4594761,4,4,,Direct,
4594775,4,,,Direct,
4594779,,4,,,
4594809,17,,,https://www.google.com.au/,
4594810,0,5,,Direct,
4594822,0,,,https://www.google.co.uk/,
4594828,0,1,,https://www.google.cl/,
4571469,,4,,,
4594832,7,1,,https://yandex.ru/,
4594845,16,,,https://www.google.com/,
4594851,8,1,,https://www.google.com/,
4594855,,1,,,
4594868,16,5,,https://www.google.com/,
4594892,0,1,,https://www.google.co.id/,
4594894,0,2,,https://www.google.com/,
4594898,,3,,,
4594920,0,,,https://www.google.com/,
4594923,4,,,Direct,
4594925,,1,,,
4594939,0,1,,https://www.google.com/,
4594944,3,1,,Direct,
4594946,16,5,,https://www.google.com/,
4594954,4,,,Direct,
4594975,0,,,https://www.google.com/,
4594977,4,6,,Direct,
4594985,0,,,https://www.google.com/,
4595005,16,,,https://www.google.com/,
4594932,,3,,,
4595024,4,,,https://www.salehoo.com/blog/sick-of-ebay-try-these-alternative-places-to-sell,
4398158,,1,,,
4595051,0,,,https://www.google.co.uk/,
4595056,22,,,Direct,
4595034,,1,,,
4595089,0,1,,Direct,
4595094,,1,,,
4595079,,3,,,
4595112,4,,,https://www.google.com/,
4595117,16,2,,https://www.google.com/,
4595132,0,1,,https://www.google.lt/,
4595150,4,1,,Direct,
4595176,4,2,,Direct,
4595184,6,,,https://www.pinterest.nz/,
4595188,16,,,https://www.google.com/,
4595212,4,1,,Direct,
4595228,0,,,https://www.google.com/,
4595243,16,,,https://www.google.com/,
4595271,17,1,,https://www.google.com/,
4595276,16,3,,https://www.google.com/,
4595293,0,,,https://www.google.com/,
4595329,3,5,,https://us.search.yahoo.com/,
4595336,4,,,Direct,
4595337,0,,,android-app://com.google.android.googlequicksearchbox,
4595375,0,,,https://www.google.se/,
4595395,4,4,,Direct,
4595401,16,3,,https://www.google.com/,
4595409,4,,,Direct,
4595430,8,,,https://www.google.com/,
4595433,0,,,https://www.google.com/,
4595443,4,3,,Direct,
4595446,4,1,,https://www.bonanza.com/booths/LOWTIDE?postcommit_show=true,
4595457,16,6,,https://www.google.com/,
4595463,0,1,,https://www.google.com/,
4595464,0,6,,https://www.google.com/,
4595479,16,,,https://www.google.com/,
4595486,22,1,,Direct,
4595502,8,1,,https://www.google.com/,
4595520,0,1,,https://www.google.com/,
4595526,4,1,,Direct,
4595532,4,1,,Direct,
4595534,0,1,,https://www.google.com/,
4595610,16,,,https://www.google.com/,
4595609,,1,,,
4595615,16,5,,https://www.google.com/,
4336816,,3,,,
4595642,4,,,Direct,
4595703,4,,,Direct,
4595709,0,1,,https://www.google.com/,
4595712,0,,,https://www.google.com/,
4595720,22,1,,Direct,
4595710,,1,,,
4595731,16,,,https://www.google.com/,
4595733,16,,,https://www.google.com/,
4595738,4,,,Direct,
4595740,16,,,https://www.google.com/,
4595744,16,,,https://www.google.com/,
4595749,4,3,,Direct,
4595762,4,4,,Direct,
4595789,0,1,,https://www.google.com/,
4595827,0,,,https://www.google.ca/,
4595820,,3,,,
4595830,16,1,,https://www.google.com/,
4595837,0,,,https://www.google.com/,
4595849,0,1,,https://www.google.com/,
4595860,8,3,,https://www.google.com/,
4595874,,1,,,
4595888,4,5,,Direct,
4595889,16,6,,https://www.google.com/,
4595897,0,1,,https://www.google.com/,
4595898,4,,,Direct,
4595920,,1,,,
4595944,2,,,https://www.bing.com/search?q=bonanza&form=PRUSEN&pc=EUPP_&mkt=en-us&httpsmsn=1&refig=6f0a60b599e34557af67d9ab49abf97e&sp=-1&ghc=1&pq=bonanza&sc=9-7&qs=n&sk=&cvid=6f0a60b599e34557af67d9ab49abf97e,
4595939,,1,,,
4595946,,1,,,
4595958,4,1,,Direct,
4595959,4,,,Direct,
4586277,,3,,,
4596007,0,1,,https://www.google.com/,
4596033,17,2,,https://www.google.com/,
4596054,,1,,,
4502705,,3,,,
4596061,,3,,,
4596127,0,,,https://www.google.com/,
4596130,16,,,https://www.google.com/,
4596138,4,,,Direct,
4596145,4,,,https://www.bonanza.com/booths/xuedailuq/items/643114500/edit,
4596149,0,,,https://www.google.com/,
4596174,0,1,,Direct,
4596202,4,,,Direct,
4364327,,1,,,
4364387,,1,,,
4596212,4,,,Direct,
4596236,4,1,,Direct,
4596238,0,2,,https://www.google.com/,
4596239,0,1,,https://www.google.lk/,
4596261,4,,,Direct,
4596281,4,,,Direct,
4596342,17,1,,https://www.google.com/,
4596346,0,3,,https://www.google.co.in/,
4596366,4,3,,Direct,
4596380,0,,,https://www.google.com/,
4596381,4,5,,Direct,
4596382,,3,,,
4596401,,1,,,
4596411,7,3,,Direct,
4596423,17,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwiF28PP3efdAhWowVkKHVjPBW4QFjAAegQICRAB&url=https%3A%2F%2Fwww.bonanza.com%2Fsell_products_online&usg=AOvVaw2FF4OkKS6akgtuQ3sC9UeM,
4596438,,3,,,
4596482,0,,,https://www.google.co.in/,
4596483,0,1,,https://www.google.co.il/,
4596500,0,1,,https://www.google.com/,
4596504,4,,,Direct,
4596522,0,,,https://www.google.hu/,
