seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
1399,TRUE,0,2135,12/5/18,unknown,1,,,,0,0,0,0
34051,TRUE,782,17979,12/11/18,unknown,1,,,,11.98,80,91.98,3
37332,TRUE,2938,19669,11/19/18,unknown,1,,,,6.9,410,412.77,2
42117,TRUE,277,21748,12/4/18,unknown,1,,,,0,0,0,0
48049,TRUE,0,24457,2/8/19,unknown,,,,,0,0,0,0
56105,FALSE,0,28916,2/10/19,unknown,,,,,0,0,0,0
67290,FALSE,0,33508,10/26/18,unknown,,,,,0,0,0,0
81250,TRUE,0,38526,11/16/18,unknown,,,,,0,0,0,0
97868,TRUE,40,42946,2/25/19,unknown,1,,,,6.5,0,6.5,1
113116,TRUE,16,46954,2/13/19,unknown,1,,,,13,0,13,1
120651,TRUE,0,50182,10/15/18,unknown,,,,,10,0,10,0
126044,TRUE,2361,50924,12/28/18,unknown,1,,,,2,0,2.7,0
402066,TRUE,0,95841,1/11/19,unknown,,,,,0,0,0,0
473019,FALSE,0,105514,10/16/18,unknown,1,,,,0,0,3.04,0
495030,TRUE,777,112053,10/24/18,unknown,1,,,,0,0,0,2
665360,TRUE,110,133411,10/7/18,unknown,1,,,,0,0,0,0
415706,TRUE,1,133528,1/10/19,unknown,,,,,0,0,0,0
904868,TRUE,28,189763,3/26/19,unknown,1,,,,0,0,0,0
907134,TRUE,0,190226,1/5/19,unknown,,,,,0,0,0,0
1266275,TRUE,27,269057,11/27/18,unknown,1,,,,0,0,0.72,0
1480097,TRUE,19,306105,1/7/19,unknown,1,,,,0,0,0,0
939447,TRUE,0,365691,12/1/18,unknown,,,,,0,0,0,0
1882601,FALSE,0,369131,1/5/19,unknown,1,,,,0,0,0,0
1362528,TRUE,16,735949,2/19/19,unknown,1,,,,0,0,0,0
3963347,TRUE,0,753925,3/2/19,unknown,1,,,,0,0,-0.47,0
4154143,TRUE,0,788867,3/2/19,unknown,3,,,,0,0,0,0
5281087,TRUE,2,1003947,10/19/18,unknown,1,,,,0,0,0.4,0
5862725,TRUE,8,1129821,3/9/19,unknown,1,,,,0,0,0,0
3802171,TRUE,9,1133467,1/6/19,unknown,1,,,,0,0,-0.06,0
6363823,TRUE,14,1265277,2/18/19,unknown,,,,,0,0,-0.11,0
6631219,FALSE,0,1301261,10/6/18,unknown,1,,,,0,0,-7.85,0
6658507,TRUE,401,1305283,1/28/19,unknown,1,,,,0,0,-0.3,0
7188763,TRUE,0,1408477,3/8/19,unknown,1,,,,0,0,0,0
7529025,TRUE,43,1485485,11/12/18,unknown,,,,,3.96,0,2.03,0
7697235,FALSE,0,1520753,10/11/18,unknown,1,,,,54.95,40,104.85,1
7744781,FALSE,0,1529537,10/8/18,unknown,,,,,0,0,-0.04,0
8015373,TRUE,4442,1563989,2/14/19,unknown,1,,,,8.86,0,-2.11,1
8070127,TRUE,28,1572505,2/20/19,unknown,4,,,,0,0,0,0
8095899,FALSE,0,1578029,1/23/19,unknown,1,,,,0,0,-0.48,0
10017275,TRUE,0,1929452,1/11/19,unknown,6,,,,0,0,0,0
9499133,TRUE,0,1952012,3/21/19,unknown,,,,,0,0,0,0
10211040,FALSE,0,1955796,10/11/18,unknown,,,,,0,0,0,0
10339290,TRUE,25,1972577,11/9/18,unknown,1,,,,0,0,0,0
10483595,TRUE,52,1989557,10/26/18,unknown,1,,,,0,0,0.89,0
10599252,TRUE,0,2000406,11/2/18,unknown,3,,,,0,0,0,0
10818499,TRUE,1,2024986,3/27/19,unknown,,,,,0,0,0,0
