seller_id,fees_paid,membership_paid,profit_estimate,value_em
1399,0,0,0,0
27770,0,70,69.1,0
34051,11.98,80,91.98,3
37332,6.9,410,412.77,2
42117,0,0,0,0
48049,0,0,0,0
56105,0,0,0,0
67290,0,0,0,0
78136,0,0,0,0
81250,0,0,0,0
97868,6.5,0,6.5,1
113116,13,0,13,1
120651,10,0,10,0
126044,2,0,2.7,0
194970,0,0,0,0
235566,0,0,0,0
248539,47.25,0,42.84,0
251890,0,0,-3.21,0
262628,0,0,-0.01,0
279955,0,0,-0.61,0
312108,0,0,-2.82,0
320022,0,0,0,0
327729,0,0,0,2
370020,0,0,0,0
402066,0,0,0,0
415706,0,0,0,0
425361,0,0,0,0
473019,0,0,3.04,0
495030,0,0,0,2
505772,0,0,-0.05,0
565994,0,0,0,0
648563,0,0,-43.2,0
665360,0,0,0,0
679393,0,120,119.96,0
713079,0,0,0,0
722721,0,0,0,0
741111,0,0,-0.17,0
835127,0,0,0,0
904868,0,0,0,0
907134,0,0,0,0
934233,0,0,0,0
938541,0,0,0,0
939447,0,0,0,0
949273,0,0,-3.38,0
960369,0,0,0,0
999336,0,0,0,0
1044902,0,0,-0.01,0
1077754,0,0,-0.03,0
1108688,0,0,0,0
1189909,12.88,0,5.19,0
1214922,0,0,0,0
1266275,0,0,0.72,0
1351130,0,0,-4.53,0
1359729,0,0,0,0
1362528,0,0,0,0
1371946,0,0,0,0
1400051,0,0,0,0
1480097,0,0,0,0
1484460,0,0,-0.05,0
1497144,0,0,0,0
1602387,0,0,-0.01,0
1602422,180.18,290,281.63,3
1638855,0,0,-0.85,0
1756041,0,0,-0.12,0
1882601,0,0,0,0
2223161,0,0,-0.79,0
2238951,0,0,-0.04,0
2696661,0,0,0,0
3399901,0,0,0,0
3427351,0,0,0,0
3552521,0,70,70,0
3802171,0,0,-0.06,0
3906789,0,0,0,0
3963347,0,0,-0.47,0
4121053,0,0,0,0
4154143,0,0,0,0
4192567,0,0,0,0
4303735,0,0,0,0
4334623,20.45,0,10.16,0
4365363,0,0,0,0
4492779,0,0,0,0
4538447,0,0,0,0
4786903,0,0,-0.98,0
4940771,0,0,0,0
5022959,0,0,-0.02,0
5090475,0,0,0,0
5162385,3.15,0,3.15,2
5208135,0,0,0,0
5225069,0,0,0,0
5281087,0,0,0.4,0
5310459,7.48,0,8.94,0
5470045,0,0,-0.16,0
5470843,15,0,17.88,0
5500331,3,0,2.33,0
5613739,0,0,0,0
5648749,0,0,-0.11,0
5698607,0,40,40,0
5711077,0,0,0,0
5744073,0,0,0,0
5787569,0,0,0,0
5862725,0,0,0,0
5969095,0,0,-3.53,0
5977745,0,0,0.01,2
5987871,0,0,0,0
6149029,0,0,0,0
6363823,0,0,-0.11,0
6386891,0,0,-0.3,0
6526359,0,0,0,0
6631219,0,0,-7.85,0
6658507,0,0,-0.3,0
6659009,0,0,0,0
6703777,0,0,-0.06,0
6753301,0,0,0,0
6821221,0,0,-0.45,0
6921381,0,0,-0.13,0
6970045,0,0,0,0
6995061,0,0,0,0
7005857,0,0,0,0
7154643,0,0,-21.96,2
7188763,0,0,0,0
7339311,0,0,0,0
7403149,0,0,0,0
7420445,14.11,0,14.11,1
7529025,3.96,0,2.03,0
7546903,0,0,0,0
7697235,54.95,40,104.85,1
7731403,0,0,0,0
7742149,0,0,-0.02,0
7744781,0,0,-0.04,0
8015373,8.86,0,-2.11,1
8070127,0,0,0,0
8095899,0,0,-0.48,0
8189619,0,0,0,0
8212763,0,0,-0.81,0
8491321,0,0,0,0
8746775,0,0,-19.93,2
8817853,17.01,0,-30.93,0
8986931,5.22,0,6.66,0
9012581,0,0,0,0
9157463,0,0,0,0
9173453,0,0,0,0
9449075,0,0,0,0
9499133,0,0,0,0
9790211,0,0,0,0
9822235,0,0,0,0
9875432,0,0,0,0
9922492,81.67,0,59.17,0
9963815,7.77,0,6.97,0
10017275,0,0,0,0
10191032,0,0,0,0
10203067,0,0,0,0
10211040,0,0,0,0
10233099,0,0,0,0
10261320,0,0,-0.02,0
10279776,0,0,0,0
10296240,0,0,-10.64,0
10310483,0,0,0,0
10339290,0,0,0,0
10429712,0,0,-0.32,0
10440041,0,0,0,0
10479899,0,0,0,0
10483595,0,0,0.89,0
10513495,82.32,0,49.26,0
10537566,0,0,-5.98,0
10598067,0,0,0,0
10599252,0,0,0,0
10624712,0,0,0,0
10703609,0,0,0,0
10788612,0,0,0,0
10803248,0,0,0,0
10813878,0,0,-0.05,0
10818499,0,0,0,0
10905271,0,0,0,0
11063022,0,0,0,0
11084161,0,0,-0.75,0
11147074,0,0,0,0
11232403,0,0,0,0
11333912,0,0,0,0
11412413,0,0,-0.04,0
11506947,0,0,-0.18,0
11520876,0,0,-0.01,0
11527159,0,0,0,0
11542573,0,0,0,0
11749405,0,0,0,0
11789298,0,0,-0.12,0
11832553,0,0,0,0
11866038,0,0,-0.1,0
11930460,0,0,0,0
11985666,0,0,-0.51,0
11995795,0,0,0,0
12017978,0,0,-1.28,0
12025364,0,0,0,0
12031398,0,0,0,0
12062869,0,0,0,0
12168901,0,0,-0.02,0
12194271,6.65,0,6.39,0
12335325,0,0,0,0
12345186,0,0,0,0
12367231,0,0,0,0
12390586,0,0,-0.85,0
12494494,0,40,39.88,2
12525960,0,0,0,0
12568259,0,0,0,0
12598725,0,0,-0.02,0
12610759,0,0,0,0
12628194,0,0,-0.09,0
12650733,0,0,-0.61,0
12655310,0,0,0,0
12753807,0,0,-0.02,0
12768660,0,0,0,0
12879680,0,0,0,0
12882984,0,0,0,0
12913214,175.9,0,123.63,2
12915156,0,0,0,0
13074819,0,0,0,0
13093603,0,0,0,0
13143517,0,0,0,0
13145976,0,0,0,0
13189250,0,0,0,0
13238585,0,0,0,0
13242295,0,0,0,0
13294852,0,0,0,0
13302844,0,0,-0.41,0
13390665,0,400,399.59,2
13429876,0,0,0,0
13439255,0,0,0,0
13460102,0,0,-0.76,0
13481749,0,0,0,0
13569013,0,0,0,0
13594828,0,0,-0.02,0
13671581,0,0,-1.12,0
13691841,0,0,-0.28,0
13744938,0,0,0,0
13816164,0,0,0,0
13842820,0,0,0,0
14049796,0,0,-0.01,0
14088925,0,0,-0.01,0
14093682,0,0,0,0
14125244,0,0,0,0
14125423,0,0,0,0
14217104,0,0,-0.29,0
14260650,0,0,0,0
14277264,0,0,-27.69,2
14301153,0,0,-1.08,0
14329208,0,0,0,0
14360962,0,0,0,0
14386914,0,0,0,0
14419086,0,0,0,0
14459715,0,0,0,0
14611056,0,0,0,0
14644509,0,0,0,0
14710066,0,0,0,0
14714459,0,0,-1.31,0
14774475,0,0,0,0
14817670,0,0,-0.02,0
14880135,5.47,0,-1.58,0
14937851,5.34,60,61.23,0
14974496,0,0,0,0
14986533,0,0,0,0
15027031,0,0,0,0
15134503,0,0,0,0
15166181,0,0,-1.29,0
15209619,0,0,-0.18,0
15274715,0,0,0,0
15322541,44.07,0,40.93,0
15341984,0,0,0,0
15346263,9.13,0,10.18,0
15405889,0,0,-0.01,0
15450044,0,0,0,0
15468667,0,0,0,0
15495852,0,0,0,0
15502567,0,0,0,0
15555076,0,0,0,0
15625467,0,0,-0.08,0
15650905,0,0,-0.12,0
15778551,0,0,0,0
15811324,0,0,0,0
15855739,0,0,0,0
15865368,0,0,0,0
15905353,0,40,38.89,0
15998713,172.42,160,252.17,1
16034619,0,0,-0.21,0
16036855,12.63,0,7.57,1
16046360,0,0,0,0
16050376,0,0,0,0
16076101,0,140,139.14,0
16127773,0,0,0,0
16207608,0,0,0,0
16213349,0,0,0,0
16228523,0,0,0,0
16248851,0,0,0,0
16254995,0,0,0,0
16255587,0,0,0,0
16290008,0,0,-0.09,0
16384788,0,0,-0.06,0
16424094,0,0,0,0
16444620,0,0,0,0
16479523,0,0,-0.9,0
16490385,0,660,660,0
16496635,0,0,0,0
16529915,0,0,-0.85,0
16536756,0,0,0,0
16575852,1.16,0,1.85,0
16620617,0,0,-0.18,0
16668667,0,0,-0.14,0
16699011,0,0,0,0
16710434,0,0,-0.44,0
16722783,0,0,0,0
16829842,0,0,0,0
16959462,0,0,0,0
16961696,0,0,-0.86,0
17018786,0,0,0,0
17037658,0,0,0,0
17064764,0,0,-0.31,0
17065504,0,0,0,0
17066194,0,0,-3.07,0
17147173,0,0,0,0
17165370,0,0,-2.58,0
17177817,0,0,0,0
17301414,0,0,0,0
17353007,0,0,-0.19,0
17387774,0,0,0,0
17439283,0,0,0,0
18015654,0,0,0,0
18083256,0,0,0,0
18094032,0,0,0,0
18180669,0,0,0,0
18233999,0,0,0,0
18241044,0,0,-0.01,0
18339240,0,0,-0.24,0
18350836,14.41,0,8.96,0
18377285,0,0,-0.3,0
18380285,0,0,-0.42,0
18434757,0,0,0,0
18450098,0,0,0,0
18466190,0,0,0,0
18469432,0,0,-0.04,0
18469588,0,0,0,0
18491590,0,0,0,0
18500439,0,0,0,0
18516828,0,0,0,0
18527659,0,0,0,0
18555399,0,0,0,0
18622108,0,0,0,0
18657357,0,0,0,0
18681259,0,0,0,0
18687300,35.28,80,111.21,0
18702919,0,0,0,0
18716771,0,0,0,0
18719617,5,0,4.39,0
18729680,0,0,0,0
18787248,0,0,0,0
18792613,0,70,70,0
18824723,0,0,0,0
18842826,0,0,0,0
18852850,0,0,0,0
19040063,0,0,0,0
19047078,0,0,0,0
19064082,0,0,0,0
19091113,0,0,0,0
19118743,0,290,289.79,0
19140007,0,0,0,0
19143347,0,0,-1.4,0
19226818,0,0,0,0
19231742,0,0,-1.22,0
19309316,0,40,31.46,0
19348103,375.16,0,80.97,2
19365272,0,0,0,0
19391729,0,0,0,0
19545361,0,0,0,0
19545482,0,0,-3.47,0
19577474,0,0,-0.02,0
19627745,0,0,-0.09,0
19687586,0,0,-0.01,0
19729262,0,0,0,0
19911791,0,0,0,0
19917499,0,0,-0.81,0
19959074,0,0,0,0
20013010,0,0,0,0
20013426,0,0,0,0
20045571,0,0,0,0
20064056,0,0,0,0
20066435,0,0,0,0
20073702,0,0,-1.6,0
20120875,0,0,-0.03,0
20160842,0,0,0,0
20324711,0,0,0,0
20436958,0,0,0,0
20442804,0,0,0,0
20450349,0,0,0,0
20457346,0,0,0,0
20458400,0,0,-0.11,0
20472974,0,0,0,0
20480357,3.43,0,1.83,0
20543826,0,0,0,0
20584217,0,0,0,0
20600961,0,0,0,0
20628767,0,0,-0.17,0
20730790,0,0,-9.34,0
20744937,0,0,-0.06,0
20784441,0,0,0,0
20822290,0,0,-3.27,0
20845667,0,0,-0.47,0
20872479,0,40,26.1,1
20938345,0,0,0,0
20945837,0,0,0,0
21025591,0,0,0,0
21030667,0,0,0,0
21113131,0,0,0,0
21137747,0,0,0,0
21191150,0,0,-0.22,0
21194451,0,0,0,0
21228973,0,0,0,0
21280974,0,0,0,0
21285030,0,0,0,0
21315174,140.79,0,11.03,1
21340375,0,0,-1.17,0
21398754,0,0,0,0
21411139,0,0,0,0
21432117,0,0,0,0
21434090,0,0,0,0
21445992,0,0,0,0
21483126,0,0,0,0
21496084,0,0,-0.04,0
21533462,0,0,0,0
21535809,0,0,-24.48,0
21665372,0,0,0,0
21679381,0,0,0,0
21684540,0,2485,2485,0
21698936,0,0,0,0
21744583,0,0,0,0
21764838,0,0,0,0
21772742,0,0,0,0
21784249,0,0,0,0
21853543,61.68,0,27.74,1
21863517,0,0,-7.46,0
21890288,0,290,289.3,0
21900219,429.68,0,343.93,2
21912121,0,0,0,0
21912883,0,0,-0.81,0
21978624,0,0,0,0
22031047,0,0,0,0
22116902,0,0,0,0
22147902,0,0,0,0
22197768,0,0,-0.11,0
22283185,0,0,0,0
22345686,6.26,0,5.69,0
22346161,0,0,0,0
22346231,0,0,-1.24,0
22356149,7.51,0,5.15,0
22415756,0,0,0,0
22434316,0,0,0,0
22463837,0,0,0,0
22471933,6.24,290,293.39,0
22537617,0,0,0,0
22592872,0,0,-0.08,0
22666872,14.63,80,87.51,0
22696230,0,0,-0.06,0
22714536,0,0,0,0
22716848,0,0,0,0
22741331,0,0,0,0
22768438,0,0,0,0
22780163,0,0,0,0
22796858,0,0,0,0
22846921,0,0,0,0
22861691,110.6,200,186.47,1
22865213,0,0,0,0
22873199,0,0,0,0
22904345,0,0,-1.17,0
22905372,201.51,0,205.59,1
22909093,0,0,0,0
22926375,0,0,0,0
22950288,149.45,0,97.85,1
23140330,0,0,0,0
23161517,0,0,0,0
23197487,45.18,0,44.15,0
23212558,0,0,0,0
23240795,0,0,-0.66,0
23302733,0,0,-0.03,0
23339608,0,0,0,0
23346472,0,0,0,0
23348195,0,0,0,0
23353842,0,0,0,0
23370478,10.25,0,3.4,0
23386643,0,0,-2.22,2
23422114,0,0,0,0
23434080,0,0,0,0
23435255,0,0,0.22,0
23449969,0,0,0,0
23461498,0,0,-8.4,2
23490830,0,0,0,0
23505222,0,0,-1.65,0
23602081,0,0,0,0
23606161,0,0,0,0
23628938,0,0,0,0
23685586,0,0,-0.11,0
23714777,0,0,0,0
23728782,0,0,0,0
23812742,0,0,-0.03,0
23817626,0,0,-1.89,0
23855216,0,0,0,0
23885541,0,80,79.99,0
23899889,0,0,0,0
23935564,0,0,-0.06,0
23943894,0,0,0,0
23957916,0,0,0,0
23985584,0,0,-0.01,0
24002345,0,0,0,0
24003701,0,0,0,0
24030392,0,0,0,0
24038557,0,0,0,0
24100406,0,0,0,0
24130439,0,0,0,0
24147857,0,40,39.81,0
24152889,0,0,0,0
24176951,0,0,-0.1,0
24206806,0,0,0,0
24218680,118.96,0,58.87,1
24224317,10.45,0,7.23,0
24237841,0,0,0,0
24278493,0,0,0,0
24300815,0,0,-0.1,0
24316692,0,0,0,0
24343147,0,0,0,0
24369314,0,0,0,0
24372990,0,0,-0.09,0
24380510,0,0,0,0
24387186,0,0,0,0
24388380,3.6,0,3.28,0
24418699,0,0,-0.01,0
24419782,0,0,0,0
24426702,0,0,0,0
24428702,0,660,660,0
24456732,0,0,0,0
24459115,0,0,0,0
24490192,0,0,0,0
24513543,0,0,0,0
24586053,0,0,-0.42,0
24671882,0,0,0,0
24686542,0,0,0,0
24687053,0,0,0,0
24707995,0,0,0,0
24772687,0,0,0.37,0
24832524,0,660,660,0
24890160,17.34,0,-7.35,1
24891486,0,0,-0.42,0
24901190,160.56,0,85.97,1
24903998,1965.35,180,1654.87,2
24919879,0,0,0,0
24928298,0,0,0,0
24941589,0,0,-5.37,0
24951692,0,0,0,0
24953100,0,0,0,0
24964306,0,0,-0.01,0
24980707,0,0,-0.01,0
24995294,0,0,0,0
24998296,0,0,0.61,0
24998983,0,0,0,0
25023483,0,0,-0.01,0
25130247,4.59,0,3.42,0
25132072,0,0,-0.04,0
25167405,23.57,0,0.86,0
25172528,240.4,0,201.24,1
25185733,0,0,0,0
25205132,0,0,0,0
25224385,0,0,0,0
25258444,0,0,0,0
25319612,0,0,0,0
25344234,0,0,0,0
25410237,0,0,0,0
25432991,0,0,0,0
25436727,0,0,0,0
25437780,0,0,0,0
25477922,0,0,0,0
25496093,0,0,0,0
25501409,0,0,0,0
25510899,0,0,0,0
25511988,0,0,-0.36,0
25539671,0,0,0,0
25580124,207.7,60,20.81,2
25607234,5.2,0,-62.67,0
25649638,0,0,0,0
25675726,0,0,0,0
25721146,10.01,0,10.41,0
25740618,0,0,-0.24,0
25771946,0,0,0,0
25808546,0,0,0,0
25835968,0,0,0,0
25855830,0,0,0,0
25863076,0,0,-3.31,0
25874986,43.15,0,18.69,1
25884438,90.31,0,84.63,0
26004252,0,0,0,0
26008262,0,0,0,0
26017053,0,0,0,0
26024877,0,0,-0.04,0
26061914,0,0,0,0
26122824,0,0,0,0
26123607,0,0,0,0
26139424,0,0,-0.05,0
26163281,0,0,0,0
26171658,0,0,0,0
26175939,0,120,115.52,0
26203997,0,0,0,0
26213736,0,0,0,0
26321572,0,0,0,0
26337888,0,0,-0.01,0
26356283,0,0,0,0
26372243,0,0,-7.18,0
26394864,0,0,0,0
26395443,5561.08,1570,4475.07,3
26435852,0,0,0,0
26447573,0,0,0,0
26450720,0,0,0,0
26462449,0,0,-1.93,1
26462584,0,0,0,0
26482690,0,0,0,0
