seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
4000,1,0,0,0,0
6180,,0,0,0,0
24298,0,1.75,0,4.78,0
27741668,6,4382.39,3,3408.21,1200
194970,,0,0,0,0
248539,,-4.35,0,0,0
327729,4,0,2,0,0
376603,,-17.24,0,0,0
34115185,6,3093.02,2,3813.87,0
477081,,0,0,0,0
505772,,-0.01,0,0,0
648563,4,-27.49,0,0,0
679393,,39.98,0,0,40
688184,,-13.87,0,0,0
734952,,-0.24,0,0,0
835127,0,0,0,0,0
949273,0,-1.65,0,0,0
1013925,16,-0.69,0,0,0
33166053,6,2581.56,2,909.44,1995
1189909,,2.91,0,6.41,0
1212987,,-0.91,0,0,0
1326832,,40,0,0,40
1497144,0,0,0,0,0
32551162,6,2219.37,2,1665.78,1494
1602387,4,-0.01,0,0,0
1602422,0,-38.34,3,71.55,0
2223161,,-0.38,0,0,0
2238951,4,-0.04,0,0,0
2696661,,0,0,0,0
33448354,6,2073.72,0,98.79,1995
3528351,3,0,0,0,0
3898959,0,0,0,0,0
3906789,,0,0,0,0
4092663,16,-1.38,0,0,0
4108197,4,0,0,0,0
4120291,,-0.08,0,0,0
30830771,6,1802.38,2,921.41,1350
33062996,6,1590.61,2,1898.34,290
4216095,,-0.64,0,0,0
4222411,-1,0,0,0,0
4334623,4,10.74,0,15.32,0
4358295,,0,0,0,0
4538447,,0,0,0,0
4752009,,-0.03,0,0,0
4786903,0,0,0,0,0
5090475,,0,0,0,0
5162385,17,0,2,0,0
5211741,,-0.07,0,0,0
5462319,,3.92,0,3.92,0
5470045,,-0.11,0,0,0
5470843,,17.25,1,15,0
5648749,4,0,0,0,0
5711077,,0,0,0,0
5788107,,0,0,0,0
5898049,,0,0,0,0
5969095,3,-1.82,0,0,0
5977745,0,1.31,2,0,0
5987871,,0,0,0,0
6155205,4,0,0,0,0
6165415,,100.44,0,120.6,0
6290505,,0,0,0,0
6386891,,-0.3,0,0,0
6417111,,3.85,0,3.85,0
6455675,,-2.22,0,0,0
6753301,3,0,0,0,0
6905257,8,0,0,0,0
32527088,6,1394.71,3,3762.85,492
7008099,16,0,0,0,0
7124707,8,-0.34,0,0,0
34176780,6,1227.44,2,263.17,1000
7154643,,-12.78,2,0,0
7339311,16,0,0,0,0
7403149,,0,0,0,0
7420445,4,14.11,1,14.11,0
34247719,6,1208.88,2,1018.53,290
7774225,,-1.31,0,0,0
8212763,,-0.54,0,0,0
33270492,6,1204.6,2,646.73,650
8817853,22,-25.1,0,17.01,0
8942661,,0,0,0,0
8986931,,6.68,0,5.22,0
9012581,,0,0,0,0
9173453,,0,0,0,0
33272498,6,1170.12,2,1402.12,0
33378625,6,1159.03,2,1738.58,540
9623939,,5.43,0,4.47,0
9780667,0,0,0,0,0
9822235,0,0,0,0,0
33828439,6,1094.57,2,515.54,670
9853569,,0,0,0,0
9875432,0,0,0,0,0
9922492,,40.28,2,55.51,0
10063793,,0,0,0,0
10203067,,0,0,0,0
10261320,3,0,0,0,0
10279776,4,0,0,0,0
10296240,,-9.86,0,0,0
10429712,,-0.07,0,0,0
10440041,8,0,0,0,0
10513495,4,11.96,0,22.38,0
10624712,7,0,0,0,0
10728576,,-0.23,0,0,0
10788612,,0,0,0,0
10813878,,0,0,0,0
10825314,,-1.81,0,0,0
10914820,22,0,0,0,0
11084161,,-0.61,0,0,0
11165619,,0,0,0,0
11333912,4,0,0,0,0
