id,user_id,poll_question_id,poll_question_answer_id,freeform_response
170784,19422475,279,1182,
170787,19422475,282,1150,
170788,19422475,275,1111,
170789,19422475,275,1114,
170790,19422475,275,,
170791,19422475,285,1169,
170792,19422475,285,,We are distributors in Portugal - we sell for shops
170793,19422475,272,1104,
170866,19433507,279,1141,
170869,19433507,282,1149,
170870,19433507,275,1110,
170871,19433507,275,,
170874,19433507,285,1171,
170875,19433507,285,,
170876,19433507,272,1104,
171609,19490341,279,1182,
171612,19490341,282,1153,
171613,19490341,275,1110,
171614,19490341,275,,
171615,19490341,285,1164,
171616,19490341,285,1170,
171617,19490341,285,,
171618,19490341,272,1125,
171809,16355828,279,1140,
171812,16355828,282,1184,
171813,16355828,275,,
171814,16355828,285,,
171815,16355828,272,,
172178,19533632,279,1183,
172181,19533632,282,1153,
172182,19533632,275,1110,
172183,19533632,275,,
172187,19533632,285,1169,
172188,19533632,285,1170,
172189,19533632,285,,
172190,19533632,272,1126,
172324,19495310,279,1183,
172327,19495310,282,1184,
172328,19495310,275,1110,
172329,19495310,275,,
172330,19495310,285,1164,
172331,19495310,285,,
172332,19495310,272,1099,
172440,19574921,279,1182,
172443,19574921,282,1149,
172444,19574921,275,1114,
172445,19574921,275,,
172446,19574921,285,1168,
172447,19574921,285,1169,
172448,19574921,285,,
172449,19574921,272,1125,
172641,82087,279,1182,
172644,82087,282,1153,
172645,82087,275,1110,
172646,82087,275,1111,
172647,82087,275,1114,
172648,82087,275,,
172649,82087,285,1168,
172650,82087,285,1169,
172651,82087,285,,
172652,82087,272,1124,
172839,19589195,279,1183,
172842,19589195,282,1194,
172843,19589195,275,1110,
172844,19589195,275,,
172845,19589195,285,1169,
172846,19589195,285,1170,
172847,19589195,285,,
172848,19589195,272,1104,
172894,19596377,279,1141,
172901,19596377,282,1184,
172902,19596377,275,1110,
172903,19596377,275,,
172904,19596377,285,,
172905,19596377,272,1125,
173775,19624560,279,1141,
173778,19624560,282,1194,
173779,19624560,275,,
173780,19624560,285,1169,
173781,19624560,285,1170,
173782,19624560,285,,
173783,19624560,272,1124,
173841,19598079,279,1183,
173844,19598079,282,1153,
173845,19598079,275,1111,
173846,19598079,275,,
173847,19598079,285,,
173848,19598079,272,1126,
173851,19422071,279,1141,
173854,19422071,282,1194,
173856,19422071,275,1115,
173857,19422071,275,,
173861,19422071,285,1169,
173862,19422071,285,,
173865,19422071,272,1103,
174150,19668765,279,1183,
174153,19668765,282,1194,
174154,19668765,275,1110,
174155,19668765,275,1115,
174156,19668765,275,,
174157,19668765,285,1168,
174158,19668765,285,1170,
174159,19668765,285,,
174160,19668765,272,1125,
174364,3486321,279,1183,
174367,3486321,282,1152,
174368,3486321,275,1115,
174369,3486321,275,,
174370,3486321,285,1168,
174371,3486321,285,1169,
174372,3486321,285,,
174373,3486321,272,1104,
174592,19722805,279,1182,
174595,19722805,282,1184,
174596,19722805,275,1110,
174597,19722805,275,,
174598,19722805,285,1169,
174599,19722805,285,,
174600,19722805,272,1126,
174850,19774208,279,1182,
174854,19774208,282,1194,
174855,19774208,275,1114,
174856,19774208,275,,
174857,19774208,285,1169,
174858,19774208,285,1170,
174859,19774208,285,,
174860,19774208,272,1103,
175133,19820324,279,1141,
175136,19820324,282,1184,
175137,19820324,275,,
175138,19820324,285,1164,
175139,19820324,285,,
175140,19820324,272,1124,
175189,19820205,279,1182,
175192,19820205,282,1194,
175193,19820205,275,1110,
175194,19820205,275,,
175195,19820205,285,1170,
175196,19820205,285,,
175197,19820205,272,1125,
175248,19793031,279,1182,
175251,19793031,282,1153,
175252,19793031,275,1110,
175253,19793031,275,,
175254,19793031,285,1169,
175255,19793031,285,1170,
175256,19793031,285,,
175257,19793031,272,1125,
175292,19780675,279,1183,
175295,19780675,282,1152,
175296,19780675,275,1110,
175297,19780675,275,1114,
175298,19780675,275,,
175299,19780675,285,,
175301,19780675,272,1104,
175676,19854960,279,1183,
175679,19854960,282,1153,
175680,19854960,275,1110,
175681,19854960,275,,
175682,19854960,285,1169,
175683,19854960,285,,
175684,19854960,272,1125,
176287,19871203,279,1183,
176290,19871203,282,1152,
176291,19871203,275,1112,
176292,19871203,275,,
176293,19871203,285,1169,
176294,19871203,285,1170,
176295,19871203,285,,
176296,19871203,272,1104,
177813,19998776,279,1183,
177816,19998776,282,1150,
177817,19998776,275,1110,
177818,19998776,275,,
177819,19998776,285,1168,
177820,19998776,285,1170,
177821,19998776,285,,
177822,19998776,272,1104,
178060,20103713,279,1183,
178063,20103713,282,1149,
178064,20103713,275,1110,
178065,20103713,275,,
178066,20103713,285,1164,
178067,20103713,285,1169,
178068,20103713,285,,
178069,20103713,272,1125,
178761,20175662,279,1183,
178764,20175662,282,1153,
178765,20175662,275,1112,
178766,20175662,275,,
178767,20175662,285,1168,
178768,20175662,285,,
178769,20175662,272,1126,
178972,20165645,279,1141,
178975,20165645,282,1194,
178976,20165645,275,1111,
