id,amount,sold_on,fvf,source_em
52846818,181.47,4/2/18 5:34,12.09,8
53045341,103.5,4/7/18 14:14,5.68,8
53062574,66.5,4/4/18 7:20,3.89,8
53075518,37.75,4/5/18 5:42,2.17,8
53086571,37.5,4/9/18 17:36,2.36,8
53094362,33.95,5/27/18 5:38,2.02,8
53100401,75.98,4/1/18 18:30,4.17,8
53100683,33,4/10/18 9:22,1.78,8
53103181,188.5,4/5/18 13:58,6.6,0
53123318,71.49,4/2/18 15:02,4.05,8
53123801,67,4/1/18 5:27,4.58,8
53124291,33,4/15/18 5:07,2.14,8
53125365,104.99,4/1/18 7:55,7.18,8
53125886,37.99,4/1/18 8:21,2.19,8
53125901,75.98,4/1/18 8:48,4.38,8
53125970,37.99,4/1/18 8:32,2.5,8
53126360,569.85,4/1/18 9:13,29.4,8
53126562,219.46,4/1/18 9:17,14.81,8
53127638,211.5,4/4/18 12:01,13.32,8
53127888,37.99,4/1/18 10:46,2.46,8
53128266,75.98,4/1/18 11:10,4.92,8
53129006,37.99,4/2/18 16:12,2.56,8
53129951,100.5,4/1/18 13:06,5.88,8
53129957,34.57,4/1/18 13:10,3.42,4
53133864,142.98,4/1/18 17:07,7.72,8
53134099,33.5,4/1/18 17:23,2.38,8
53134294,33.5,4/1/18 17:27,2.2,8
53134619,75,4/4/18 18:46,5.2,8
53135691,75.98,4/1/18 18:51,5.4,8
53135692,109.48,4/1/18 19:11,7.78,8
53135875,71.49,4/1/18 19:01,4.83,8
53137127,37.99,4/2/18 6:50,2.43,8
53137820,60.51,4/1/18 20:52,5.99,4
53137880,101.25,4/1/18 21:04,6.01,8
53137958,66,4/5/18 8:13,3.86,8
53143563,99.75,4/2/18 4:02,6.91,8
53144758,37.99,4/2/18 6:00,2.63,8
53144830,100.5,4/2/18 6:11,6.33,8
53145524,109.48,4/2/18 7:20,6.6,8
53145707,33.5,4/2/18 7:11,1.96,8
53146100,100.5,4/2/18 7:30,5.61,3
53146420,113.97,4/2/18 7:54,6.15,8
53146493,71.49,4/2/18 8:07,5.08,8
53146743,33.5,4/2/18 8:17,2.08,8
53146842,75.98,4/2/18 8:22,4.58,8
53146845,37.99,4/2/18 8:21,2.19,8
53147381,113.97,4/2/18 17:30,6.87,8
53147491,67,4/2/18 9:02,3.74,8
53147510,33.75,4/2/18 9:16,2.25,8
53147733,37.99,4/2/18 9:19,2.53,8
53147940,209.98,4/2/18 9:32,14.55,8
53148014,33.5,4/2/18 9:33,2.08,8
53148184,142.48,4/2/18 9:53,8.21,8
53148810,71.49,4/2/18 10:23,4.95,8
53148998,33.5,4/2/18 10:34,1.9,8
53149374,108,4/9/18 11:20,6.51,8
53150969,142.5,4/2/18 12:42,9.23,8
53151456,33.5,4/2/18 12:58,2.38,8
53151577,100.5,4/2/18 13:02,7.06,16
53151624,33.5,4/2/18 13:06,2.08,8
53151638,37.99,4/2/18 13:04,2.15,8
53151740,75.98,4/2/18 13:19,4.99,8
53151792,33.5,4/2/18 13:23,2.29,8
53152130,104.99,4/2/18 14:30,6.33,8
53152152,71.74,4/2/18 13:53,3.94,8
53152248,37.99,4/6/18 6:24,2.39,8
53152622,37.99,4/2/18 14:01,2.39,8
53153874,99.75,4/2/18 14:31,5.57,8
53154816,33.5,4/2/18 14:44,2.38,8
53155910,75.98,4/2/18 15:10,4.38,8
53156088,75.98,4/2/18 15:13,4.79,8
53156311,37.99,4/2/18 15:26,2.5,8
53156482,134,4/2/18 15:40,8.68,8
53156509,37.99,4/2/18 15:33,2.19,8
53158091,100.5,4/2/18 16:35,7.06,8
53158133,33.5,4/2/18 16:34,2.11,8
53159082,113,4/3/18 7:48,6.1,4
53159820,71.49,4/2/18 18:02,5.08,8
53160038,109.48,4/2/18 18:16,7.69,8
53160806,30.45,4/2/18 19:01,1.89,8
53160834,67.5,4/2/18 19:01,4.13,8
53161196,70.4,4/13/18 8:50,4.37,8
53162695,218.96,4/3/18 4:28,15.17,8
53163669,33.5,4/2/18 21:43,1.96,3
53164600,60.51,4/2/18 23:09,5.99,4
53165469,104.99,4/3/18 0:58,6.8,8
53166241,33.5,4/3/18 2:45,2.05,8
53167217,109.48,4/3/18 4:45,7.49,8
53167605,134,4/3/18 5:28,7.48,3
53167835,67,4/3/18 5:48,3.86,8
53168007,67,4/3/18 6:03,4.7,8
53168135,255,4/3/18 6:27,13.77,8
53169030,33.5,4/9/18 6:14,1.9,8
53169299,98.4,4/3/18 7:42,5.31,8
53170033,33.5,4/3/18 8:29,1.17,0
53170637,113.97,4/3/18 9:15,7.69,8
53170753,32.8,4/3/18 9:15,2.33,8
53170816,37.5,4/10/18 13:45,2.23,8
53171113,147.47,4/3/18 9:44,8.23,8
53171117,33.75,4/3/18 9:42,2,8
53173738,138.49,4/3/18 12:20,9.85,8
53174226,75.98,4/3/18 12:43,4.38,8
53174336,37.99,4/3/18 12:49,2.32,8
53174694,68.5,4/27/18 14:22,6.17,22
53174902,37.99,4/3/18 13:24,2.32,4
53175747,70.3,4/3/18 13:27,4.56,8
53175962,31.8,4/3/18 13:43,2.18,8
53176054,67,4/3/18 13:45,3.98,8
53176246,75,4/7/18 19:05,4.12,8
53176260,75,4/7/18 6:59,4.79,8
53176322,37.99,4/3/18 14:20,2.15,8
53176664,33.5,4/3/18 14:19,2.14,8
53178182,87.8,4/3/18 16:06,3.07,2
53178234,276.05,4/3/18 15:54,18.63,8
53178776,71.49,4/3/18 16:23,4.76,8
53179483,67,4/3/18 17:06,4.34,8
53179612,37.99,4/3/18 17:15,2.67,8
53179713,37.99,4/3/18 17:15,2.5,8
53180339,37.99,4/3/18 17:53,2.15,8
53180412,67,4/3/18 18:10,3.92,8
53180846,65.6,4/3/18 18:19,4.13,8
53181114,171.24,4/3/18 18:56,9.86,8
53181174,104.99,4/3/18 18:33,6.33,8
53182272,100.5,4/3/18 19:33,5.7,8
53183317,223.45,4/3/18 20:46,14.88,8
53184590,37.99,4/3/18 21:10,2.56,8
53190696,37.5,4/4/18 6:21,2.33,8
53190822,15,4/4/18 6:36,1.46,8
53191167,66,4/4/18 6:59,3.98,8
53191768,235.5,4/4/18 8:46,16.32,8
53191893,37.5,4/4/18 7:47,2.26,8
53192036,33,4/4/18 8:06,1.78,8
53192053,75,4/4/18 8:44,4.12,8
53193028,66,4/4/18 9:03,4.16,8
53193369,178.5,4/4/18 9:26,10.12,8
53193469,33,4/4/18 9:30,2.23,8
53193477,65.6,4/4/18 9:31,4.43,8
53193856,103.5,4/4/18 10:04,7.27,8
53194193,108.5,4/4/18 10:29,6.93,8
53194273,37.5,4/4/18 10:21,2.19,8
53194285,32.8,4/4/18 10:20,2.13,8
53194522,297.75,4/4/18 10:38,26.8,22
53194967,75,4/4/18 11:08,4.25,8
53195176,70.5,4/4/18 11:16,4.63,8
53195243,33,4/4/18 11:24,2.08,8
53195269,246,4/4/18 11:22,16.83,16
53195430,145.5,4/4/18 11:39,8.12,8
53195576,75,4/4/18 11:43,4.59,8
53195578,174.5,4/4/18 12:13,10.99,8
53196103,98.4,4/4/18 12:09,7,8
53196898,113,4/4/18 13:36,6.41,8
53197055,37.5,4/4/18 19:07,2.67,8
53197391,203,4/4/18 13:32,7.11,2
53197454,37.5,4/4/18 13:44,2.03,8
53197499,169.5,4/4/18 19:08,11.59,8
53197838,37.5,4/4/18 13:50,2.46,4
53197964,66,4/4/18 14:38,3.86,8
53198121,66,4/4/18 14:12,4.04,8
53198150,37.5,4/4/18 14:05,2.67,8
53198154,135.75,4/4/18 14:08,8.67,4
53198657,37.5,4/4/18 14:34,2.16,8
53198680,112.5,4/4/18 14:41,7.29,8
53198953,75,4/4/18 15:02,4.52,8
53199517,100,4/4/18 15:35,6.48,8
53200429,141,4/4/18 16:32,12.69,22
53200547,70.5,4/4/18 16:46,3.81,8
53200790,37.5,4/4/18 16:46,2.46,8
53201034,37.5,4/4/18 16:59,2.43,8
53201786,103.1,4/4/18 18:03,5.66,8
53201807,75,4/4/18 17:46,4.52,8
53202059,37.5,4/4/18 17:59,2.3,8
53202097,98.4,4/4/18 18:10,6.11,8
53202129,99.75,4/4/18 18:02,6.91,8
53202835,75,4/4/18 18:37,4.19,8
53203181,37.5,4/4/18 18:59,2.03,8
53204292,70.5,4/4/18 19:59,4.7,8
53204704,75,4/4/18 21:02,5.13,8
53207005,99,4/4/18 22:22,5.7,8
53208329,169.5,4/4/18 23:28,11.29,8
53210529,113,4/5/18 3:13,6.2,8
53210715,37.5,4/5/18 3:43,2.46,8
53211097,104,4/5/18 4:25,5.8,8
53211187,37.5,4/5/18 4:29,2.06,8
53211252,70.5,4/5/18 4:40,4.38,8
53211371,33,4/5/18 4:52,1.84,8
53211442,33,4/5/18 6:06,2.14,8
53211473,66,4/5/18 5:29,4.22,8
53211572,103.5,4/5/18 5:23,7.17,8
53212015,103.1,4/5/18 6:08,6.31,8
53212043,395.6,4/5/18 6:27,23.5,8
53212248,140.6,4/5/18 6:21,9.11,8
53212453,137.25,4/5/18 7:50,8.65,8
53212464,99,4/5/18 8:35,6.77,8
53212679,75,4/5/18 6:49,4.73,8
53213753,132,4/5/18 8:08,8.67,8
53213796,103.5,4/5/18 8:15,7.27,8
53213802,141,4/5/18 8:13,8.76,8
53213968,33,4/5/18 8:32,2.23,8
53214298,102.95,4/5/18 9:13,6.3,8
53214404,108,4/5/18 8:46,6.12,8
53214527,33,4/5/18 8:56,1.9,8
53214650,178.6,4/6/18 7:31,11.89,8
53214839,140.3,4/5/18 18:13,7.96,8
53214858,33,4/5/18 9:17,1.93,8
53215058,66,4/5/18 9:32,4.57,8
53215205,103.5,4/5/18 9:47,6.8,8
53215416,170.25,4/5/18 9:59,11.19,8
53215485,75,4/5/18 10:05,4.59,8
53215534,37.5,4/5/18 10:03,2.19,8
53215726,150,4/5/18 10:18,8.91,8
53215792,174.5,4/5/18 10:28,9.74,8
53215930,37.5,4/5/18 10:40,2.63,8
53216141,75,4/5/18 10:52,5.13,8
53216281,31,4/6/18 15:55,,
53216495,150,4/5/18 11:19,9.86,8
53216584,70.5,4/5/18 11:12,4,8
53216592,33,4/5/18 11:11,2.32,8
53217138,75,4/5/18 11:55,4.73,8
53217191,75,4/5/18 11:53,4.79,8
53217660,66,4/5/18 12:24,4.46,8
53217681,70.5,4/5/18 12:28,4.76,8
53217914,33,4/5/18 12:45,2.35,8
53218064,60.06,4/7/18 11:45,5.94,8
53218098,33,4/5/18 12:57,1.78,8
53218192,75,4/5/18 12:59,5,8
53218324,103.5,4/7/18 8:38,7.27,8
53218483,37.5,4/9/18 16:23,2.36,8
53218522,33,4/5/18 13:27,2.35,8
53218766,220.5,4/5/18 13:37,13.1,4
53219024,37.5,4/5/18 13:55,2.13,8
53219140,37.5,4/5/18 14:05,2.03,8
53219786,66,4/5/18 14:53,3.8,8
53219962,33,4/5/18 15:07,1.96,8
53219996,33,4/6/18 5:50,2.32,8
53220254,103.5,4/5/18 15:22,7.36,8
53220687,112.5,4/5/18 15:53,7.49,8
53220834,149.24,4/7/18 9:56,14.76,8
53221249,37.5,4/5/18 16:31,2.43,8
53221394,66,4/5/18 16:38,4.51,8
53221763,30.03,4/5/18 16:57,2.97,
53221964,264,4/5/18 17:11,18.77,8
53222020,66,4/5/18 17:18,3.98,8
53222351,70.5,4/5/18 17:39,6.35,22
53222705,99,4/5/18 17:52,6.06,8
53222791,33,4/5/18 17:58,2.32,8
53222907,278.75,4/6/18 17:43,15.3,8
53223124,75,4/12/18 11:00,4.25,8
53223332,33,4/5/18 18:28,1.99,8
53223564,65.6,4/5/18 18:38,4.43,8
53224017,75,4/5/18 19:08,5.06,8
53224614,103.5,4/5/18 20:10,5.87,8
53225033,103.5,4/5/18 20:40,6.99,8
53225393,37.5,4/5/18 20:36,2.03,8
53225455,37.5,4/5/18 20:59,3.38,22
53229244,102.95,4/6/18 3:08,6.12,8
53230282,33,4/6/18 4:21,2.05,8
53231266,99,4/6/18 5:21,5.44,8
53231688,37.5,4/6/18 5:58,2.09,8
53231735,75,4/6/18 6:01,5.27,8
53231915,37.5,4/6/18 6:18,2.09,8
53231986,37.5,4/6/18 6:24,2.06,8
53232165,33,4/6/18 6:38,2.32,8
53233006,37.5,4/6/18 7:46,2.19,3
53233157,70.5,4/6/18 7:52,3.81,8
53233252,66,4/6/18 9:02,4.1,8
53233470,145.5,4/6/18 8:17,9.82,8
53233518,37.5,4/6/18 8:18,2.43,8
53233621,137.25,4/16/18 3:48,12.35,22
53233818,29.85,4/7/18 9:56,2.95,3
53233902,174.5,4/6/18 9:07,9.42,8
53234023,99,4/6/18 9:00,6.86,4
53234057,99,4/6/18 9:00,6.15,8
53234113,37.5,4/6/18 9:26,2.5,8
53234306,33,4/6/18 9:18,2.32,8
53234710,37.5,4/6/18 9:44,2.13,8
53235701,16.85,4/6/18 9:54,0.92,3
53236788,32.8,4/6/18 10:43,1.83,8
53238301,37.5,4/6/18 13:36,1.31,2
53238456,75,4/6/18 12:49,4.52,8
53239041,75.5,4/6/18 13:35,5.23,4
53239093,75,4/6/18 13:35,5.13,8
53239273,66,4/6/18 13:45,4.16,8
53239411,37.5,4/6/18 13:57,2.6,8
53239423,33,4/6/18 13:59,2.02,8
53239979,33,4/6/18 14:39,2.05,8
53240430,170.5,4/6/18 15:19,9.36,8
53240469,169.5,4/6/18 15:26,11.59,8
53240828,141,4/6/18 15:49,8.76,8
53241034,169.5,4/6/18 16:16,10.53,8
