offer_id,rating_em,date(user_feedbacks.created_at),item_id,category_id,price,highest_parent_id
58476200,1,2019-03-27,692079134,177664,3.96,Health & Beauty
58832248,1,2019-04-05,695182203,31530,22.25,Computers/Tablets & Networking
58978434,1,2019-03-19,681232051,63867,89.99,Fashion
59027148,1,2019-02-27,681321562,169291,240,Fashion
59058323,1,2019-02-18,626699470,86922,24.99,Collectibles
59094859,1,2019-02-08,680360819,175745,34.99,Consumer Electronics
59218001,1,2019-02-25,680177099,156801,30,Fashion
59290706,1,2019-03-07,679325449,168058,95.99,Consumer Electronics
59315710,1,2019-03-02,682806115,79631,11.96,Home & Garden
59341389,1,2019-02-20,679382760,183174,89.95,Crafts
59342334,1,2019-03-03,666878710,19006,90.7,Toys & Hobbies
59344711,1,2019-02-14,611978773,92,44.54,Pottery & Glass
59344741,1,2019-03-19,679251306,360,39.55,Art
59344904,1,2019-02-11,679255366,38173,13.92,Home & Garden
59346174,1,2019-02-01,679284432,166672,99.25,Business & Industrial
59346700,1,2019-02-21,597027885,31804,28.85,Health & Beauty
59347981,1,2019-01-29,679309752,20349,9.95,Cell Phones & Accessories
59348176,1,2019-02-26,679312734,43412,6.5,Home & Garden
59349847,1,2019-01-31,678555315,348,12.99,Toys & Hobbies
59350027,1,2019-02-03,679345162,177771,34.36,Parts & Accessories
59350262,1,2019-02-19,679351467,38017,5.99,Collectibles
59351268,1,2019-02-23,679362622,45501,56.01,Home & Garden
59351454,1,2019-02-12,679372413,96991,17.89,Cell Phones & Accessories
59351573,1,2019-02-20,679378438,33741,88,Parts & Accessories
59355908,1,2019-02-04,679447430,119688,15.99,Home & Garden
59356243,1,2019-02-20,679459297,19015,3.49,Toys & Hobbies
59357359,1,2019-02-21,679505039,20487,63.95,Home & Garden
59357570,1,2019-01-31,679515226,117042,42.56,Video Games & Consoles
59358238,1,2019-02-21,679535201,11226,5.99,Computers/Tablets & Networking
59358599,1,2019-02-21,679544079,28009,19,Art
59360487,1,2019-03-27,439063394,63861,240,Fashion
59361266,1,2019-02-22,679583348,2996,17.99,Fashion
59361526,1,2019-03-25,679592077,15629,24.5,Fashion
59361640,1,2019-02-22,679596938,20531,5.98,Home & Garden
59362045,1,2019-02-21,680143121,43412,6.5,Home & Garden
59362387,1,2019-02-21,679614401,46782,24.69,Home & Garden
59363018,1,2019-02-21,679624563,16102,20.2,Home & Garden
59363169,1,2019-02-10,679628434,63861,25.99,Fashion
59363218,1,2019-01-29,679631482,180959,29.99,Health & Beauty
59363435,1,2019-02-26,679633052,11776,16.93,Health & Beauty
59363563,1,2019-01-30,671092281,156775,74.99,Home & Garden
59363564,1,2019-02-21,679635164,98863,7,Jewelry & Watches
59364165,1,2019-03-19,679123523,11776,25.23,Health & Beauty
59364517,1,2019-02-05,679656443,45206,4.49,Health & Beauty
59364827,1,2019-02-22,614102782,38172,10.93,Home & Garden
59364973,1,2019-02-21,679669344,96969,120.21,Consumer Electronics
59365343,1,2019-02-07,679677977,24510,59.47,"Sports Mem, Cards & Fan Shop"
59365590,1,2019-02-21,679681616,159892,22.76,Home & Garden
59365961,1,2019-02-21,679691000,11869,14.01,Health & Beauty
59366256,1,2019-02-21,679696567,159731,21.95,Health & Beauty
59366395,1,2019-02-02,679124148,48626,65.64,Consumer Electronics
59366458,1,2019-02-09,679702475,45462,139.99,Home & Garden
59366850,1,2019-02-21,532999431,42211,3.99,Home & Garden
59366962,1,2019-02-13,680154153,64506,2.93,Jewelry & Watches
59367105,1,2019-02-21,679574809,112529,29.99,Consumer Electronics
59367540,1,2019-02-22,679744196,2749,27.99,Collectibles
59367787,1,2019-02-21,679751692,11450,22.99,Fashion
59368602,1,2019-02-09,662310264,52365,9.99,Fashion
59369628,1,2019-02-22,679779459,53120,139.99,Fashion
59370686,1,2019-02-01,647184472,177885,15.38,Sporting Goods
59371857,1,2019-02-22,679790918,45206,11,Health & Beauty
59372672,1,2019-02-23,680141755,95227,18.77,Dolls & Bears
59373221,1,2019-02-25,679812225,1438,6.03,Collectibles
59373313,1,2019-02-26,526836034,29223,55.92,Books
59374137,1,2019-02-16,679838135,176998,29.44,Health & Beauty
59374337,1,2019-01-30,679857324,155251,36,Fashion
59374459,1,2019-03-08,679848227,38173,34.17,Home & Garden
59374512,1,2019-02-22,679857768,63864,22.74,Fashion
59374795,1,2019-03-02,148884749,360,14,Art
59374834,1,2019-02-22,679856527,86207,27.54,Fashion
59375211,1,2019-02-06,679857988,25369,34.53,Business & Industrial
59375228,1,2019-02-23,679966633,551,55,Art
59375668,1,2019-03-05,681190425,45206,11,Health & Beauty
59375850,1,2019-02-22,679866000,51071,18.95,Computers/Tablets & Networking
59376675,1,2019-02-09,679871956,168058,37.99,Consumer Electronics
59377815,1,2019-02-22,407982064,14324,298.98,Jewelry & Watches
59378014,1,2019-02-10,679889547,31569,93.15,Computers/Tablets & Networking
59378020,1,2019-02-14,675717047,162969,54.5,Antiques
59378146,1,2019-02-22,679889378,48296,4.59,Crafts
59378240,1,2019-02-25,679947414,24510,49.99,"Sports Mem, Cards & Fan Shop"
59378245,1,2019-02-22,679889706,102521,26.13,Everything Else
59378267,1,2019-02-06,372011700,20561,216.81,Home & Garden
59378281,1,2019-02-23,680062590,3768,24.99,Computers/Tablets & Networking
