id,user_id,silver,gold,platinum,titan,titan_ad
,1,1,0,0,0,0
,1630,0,0,1,0,0
,3392,0,1,0,0,0
,5127,0,0,1,0,0
,6476,0,1,0,0,0
,9321,0,1,0,0,0
,9605,1,0,0,0,0
,10383,0,1,0,0,0
,11364,1,0,0,0,0
,11910,0,0,0,1,0
,18261,0,0,1,0,0
,25978,1,0,0,0,0
,27770,0,0,1,0,0
,28384,1,0,0,0,0
,32222,0,0,0,1,0
,33490,0,0,1,0,0
,34051,1,0,0,0,0
,34327,0,1,0,0,0
,34620,0,0,0,1,0
,36939,1,0,0,0,0
,37332,1,0,0,0,0
,38390,0,0,1,0,0
,45919,0,1,0,0,0
,47781,0,0,1,0,0
,48689,0,1,0,0,0
,50122,0,0,1,0,0
,50619,0,0,1,0,0
,51493,0,1,0,0,0
,52071,0,0,1,0,0
,52226,1,0,0,0,0
,57458,0,0,1,0,0
,60752,0,0,1,0,0
,61442,0,1,0,0,0
,62313,1,0,0,0,0
,63207,1,0,0,0,0
,64922,1,0,0,0,0
,70213,1,0,0,0,0
,75075,1,0,0,0,0
,85735,0,1,0,0,0
,88199,1,0,0,0,0
,91051,1,0,0,0,0
,95096,0,0,1,0,0
,105327,0,1,0,0,0
,111972,0,1,0,0,0
,112363,0,1,0,0,0
,113076,1,0,0,0,0
,114639,1,0,0,0,0
,114944,0,0,1,0,0
,116623,0,1,0,0,0
,132127,0,1,0,0,0
,142832,0,0,1,0,0
,145435,1,0,0,0,0
,164037,1,0,0,0,0
,171526,0,0,0,0,0
,185847,1,0,0,0,0
,186512,0,1,0,0,0
,196300,0,1,0,0,0
,228526,0,1,0,0,0
,246154,0,1,0,0,0
,305158,0,1,0,0,0
,318622,0,0,1,0,0
,318833,0,0,0,1,0
,336970,0,1,0,0,0
,343097,0,0,1,0,0
,364661,0,1,0,0,0
,392954,0,1,0,0,0
,403525,0,0,1,0,0
,415237,0,1,0,0,0
,416837,1,0,0,0,0
,418380,0,1,0,0,0
,423708,0,1,0,0,0
,431647,1,0,0,0,0
,458966,1,0,0,0,0
,464403,0,1,0,0,0
,465384,0,0,0,1,0
,473858,0,0,1,0,0
,478202,0,0,1,0,0
,489036,0,1,0,0,0
,500863,0,1,0,0,0
,509758,1,0,0,0,0
,511733,0,0,1,0,0
,513213,1,0,0,0,0
,594719,0,0,0,0,1
,623199,1,0,0,0,0
,645026,1,0,0,0,0
,679393,0,1,0,0,0
,683899,0,1,0,0,0
,687858,0,0,1,0,0
,743953,0,0,1,0,0
,782919,0,1,0,0,0
,805516,0,0,1,0,0
,832594,0,1,0,0,0
,858548,0,0,0,1,0
,885657,0,1,0,0,0
,919049,0,1,0,0,0
,951337,0,0,1,0,0
,970311,0,1,0,0,0
,971661,1,0,0,0,0
,974648,0,0,1,0,0
,990246,0,0,1,0,0
,1059459,1,0,0,0,0
,1112303,0,1,0,0,0
,1147896,0,0,1,0,0
,1158182,0,0,1,0,0
,1172907,1,0,0,0,0
,1201868,0,1,0,0,0
,1208418,0,1,0,0,0
,1209266,0,0,1,0,0
,1210375,0,0,1,0,0
,1246949,0,0,1,0,0
,1249284,0,1,0,0,0
,1257757,0,0,1,0,0
,1278932,0,0,0,0,1
,1305156,1,0,0,0,0
,1306601,1,0,0,0,0
,1317825,0,1,0,0,0
,1381988,0,1,0,0,0
,1420890,0,1,0,0,0
,1434077,0,1,0,0,0
,1468547,1,0,0,0,0
,1512448,0,0,1,0,0
,1544189,1,0,0,0,0
,1556441,1,0,0,0,0
,1590875,0,1,0,0,0
,1608747,0,1,0,0,0
,1610337,0,0,0,1,0
,1635491,0,1,0,0,0
,1849331,1,0,0,0,0
,1871411,0,1,0,0,0
,1950011,0,1,0,0,0
,2184381,0,1,0,0,0
,2285941,0,1,0,0,0
,2322801,1,0,0,0,0
,2751051,1,0,0,0,0
,3080421,0,1,0,0,0
,3270001,0,1,0,0,0
,3325991,0,1,0,0,0
,3486321,0,1,0,0,0
,3585991,0,1,0,0,0
,3677531,0,0,1,0,0
,3901965,0,1,0,0,0
,3934101,0,1,0,0,0
,3984901,0,0,1,0,0
,4028651,0,1,0,0,0
,4113047,0,1,0,0,0
,4129149,1,0,0,0,0
,4130067,0,1,0,0,0
,4137395,0,1,0,0,0
,4149425,1,0,0,0,0
,4159511,0,0,0,0,1
,4164625,0,1,0,0,0
,4180833,0,1,0,0,0
,4210005,0,0,0,0,0
,4221109,1,0,0,0,0
,4233447,0,0,1,0,0
,4310287,0,1,0,0,0
,4317147,0,1,0,0,0
,4318923,0,0,1,0,0
,4327531,0,0,1,0,0
,4352897,0,1,0,0,0
,4365363,0,1,0,0,0
