seller_id,max_fvf
951,19
1698,13
2078,3.5
3218,9
3464,13
4725,19
5127,19
6476,9
6630,9
6726,9
6982,9
7424,6
8545,13
9544,19
10162,13
10563,13
11828,13
14616,3.5
14839,9
19409,9
20776,9
21587,13
24041,19
25978,9
28361,13
28951,9
32222,13
34474,19
34832,3.5
35072,16
35919,9
36431,9
37332,13
38096,13
38390,9
38985,9
39384,13
41515,17
41915,9
46468,9
46522,13
48296,13
48513,16
48552,9
48689,19
49989,9
50619,9
52226,19
54052,19
54628,6
60752,3.5
61094,13
61938,9
68647,9
71305,9
71439,6
72181,9
76132,9
80410,19
82945,9
84480,13
88199,9
88648,9
89970,9
95307,19
103970,9
113076,19
114944,9
115057,13
116623,9
120467,9
123801,19
126044,3.5
138991,9
142832,6
145362,9
146073,9
161804,13
164037,13
168856,9
177720,13
186512,9
189435,3.5
198023,19
206208,9
225122,9
229114,6
236667,16
241293,9
246154,30
250825,13
255976,3.5
270265,13
291755,16
302226,3.5
305158,9
306100,9
308297,19
310458,19
312094,9
315619,16
318622,9
318833,13
320868,13
322453,13
323625,13
324748,13
338980,9
341698,3.5
342195,13
343097,9
344669,13
348922,9
350410,9
352235,13
360857,3.5
367222,9
367485,9
367877,13
368127,9
377073,30
391510,9
403525,9
404249,13
410087,9
412921,9
415237,6
415399,19
415555,13
417295,13
421183,9
427031,13
430366,16
438044,9
444274,9
451670,9
457248,3.5
465384,16
492716,30
493460,13
497833,9
501382,13
509758,9
519473,3.5
523135,9
526363,9
539401,9
541975,6
541992,13
556710,9
565445,13
574141,16
575725,3.5
585827,9
587188,6
587992,19
590866,9
601556,19
609551,13
624965,9
643290,9
645026,13
658564,9
661803,16
668929,9
675308,9
690403,9
692909,9
718663,9
719818,9
725429,9
748963,13
756585,13
776896,30
777945,13
788127,13
794618,13
795042,9
796044,13
811152,19
812661,13
822757,9
832083,9
839323,9
851199,9
851650,13
857043,9
862365,13
867589,13
872760,19
882896,3.5
894021,6
900775,13
905613,19
919049,16
922667,3.5
923995,9
932229,19
935138,6
951337,9
970496,9
978231,13
1005491,19
1039229,13
1041098,13
1041755,3.5
1043076,9
1043222,19
1059459,13
1064747,3.5
1075680,19
1076279,13
1077754,9
1088076,19
1109366,9
1147896,13
1153028,13
1182232,9
1187995,9
1201868,9
1206314,6
1232746,9
1243682,9
1267913,9
1306601,19
1333796,9
1347269,9
1353517,9
1360321,9
1381988,6
1412649,13
1420890,9
1454689,9
1465144,30
1466825,9
1481832,13
1483763,9
1512448,17
1549818,30
1556441,13
1567688,9
1569065,6
1600984,9
1602422,9
1608747,19
1615383,13
1636211,19
1648066,9
1648240,19
1716111,9
1950011,9
2019971,9
2075931,13
2128821,9
2179001,9
2447351,9
2482111,6
2559371,13
2608101,13
2636891,16
2673191,9
2781591,19
3058011,9
3068971,3.5
3080421,19
3107851,13
3196461,30
3218391,9
3325991,9
3553031,9
3585991,9
3831611,13
3848741,9
3904921,9
3914095,19
3984983,6
4000601,9
4028651,19
4053569,13
4082583,30
4089205,3.5
4112355,13
4123559,13
4129149,13
4129257,3.5
4130067,9
4165335,9
4167947,9
4170919,9
4179715,19
4180623,9
4222337,9
4231581,19
4233447,9
4249241,9
4252807,9
4261407,9
4280751,9
4286295,13
4288533,9
4291937,13
4296921,9
4328907,3.5
4335175,13
4342691,9
4345549,9
4366095,13
4369027,9
4376021,13
4376391,6
4376467,6
4387863,9
4390949,9
4399323,13
4408073,9
4420181,9
4435375,13
4443159,13
4455173,13
4462339,9
4512193,9
4522105,9
4564899,13
4595697,16
4616045,13
4625185,19
4634873,9
4647375,13
4654267,3.5
4655395,13
4656979,9
4658083,9
4664219,13
4751295,13
4768305,9
4784567,9
4802851,6
4871009,13
4913647,9
4992651,16
4998007,13
5007763,13
5020533,13
5078877,9
5080475,9
5084709,3.5
5092959,19
5110835,9
5119279,9
5137055,19
5139043,13
5166277,13
5173197,30
5180461,9
5218305,19
5243799,19
5252897,30
5261813,16
5315931,9
5321237,13
5322731,9
5327749,13
5377295,9
5380249,19
5380343,13
5409507,3.5
5433265,13
5434429,19
5438099,13
5442831,9
5453399,13
5483313,13
5494759,30
5497627,13
5505645,9
5521395,9
5521841,9
5525471,19
5539667,19
5541077,13
5542525,13
5551223,9
5558305,19
5581973,3.5
5606685,9
5611377,9
5614171,3.5
5650831,9
5655773,13
5693599,9
5753779,16
5758835,30
5763845,16
5789355,13
5792029,9
5797421,9
5816743,13
5819035,30
5823865,13
5868547,13
5881189,9
5903325,9
5950659,9
5951037,13
5953129,13
5970551,9
5971313,9
5995685,9
5999803,9
6003331,13
6010239,9
6011257,16
6035451,9
6035965,30
6037495,9
6054879,9
6068025,9
6080829,13
6083043,13
6084285,19
6106023,13
6140001,30
6154661,19
6158977,13
6168639,9
6177189,3.5
6192609,19
6196837,9
6201935,9
6216227,30
6220827,3.5
6225243,13
6236651,30
6247237,13
6255949,19
6256083,3.5
6308287,9
6320339,13
6327225,9
6340541,13
6344299,9
6430185,9
6458897,13
6489221,13
6557189,13
6586611,19
6638063,30
6671053,16
6681329,13
6681995,6
6726963,16
6818271,16
6825433,6
6833369,9
6850281,13
6857931,13
6860355,6
6869629,9
6871459,9
6871489,3.5
6873511,13
6878037,13
6902255,3.5
6924935,13
6928251,16
6971179,9
6992439,13
7003695,13
7012889,3.5
7025989,6
7028327,13
7030721,9
7032991,13
7049725,9
7055705,3.5
7063897,13
7078461,9
7080279,19
7084925,30
7086559,9
7101757,19
7102243,13
7103361,9
7185675,13
7191525,16
7213419,9
7221897,9
7235423,30
7237643,19
7247445,9
7254087,9
7270225,9
7276407,9
7280049,16
7288221,9
7291369,13
7307061,16
7332067,16
7332379,19
7344623,9
7345015,13
7380133,19
7387709,9
7406549,19
7429815,13
7523769,13
7539369,3.5
7560441,30
7613413,9
7647921,9
7649157,16
7658337,13
7658837,30
7671801,9
7672571,19
7690041,9
7696563,9
7704409,13
7705285,30
7720383,13
7735349,19
7757223,9
7761705,16
7762483,9
7765391,19
7778993,13
7811167,9
7843863,13
7905369,13
7978213,13
7980265,9
7980923,13
7992881,9
8015241,9
8025007,19
8063001,9
8088697,9
8100459,30
8103259,13
8104993,13
8112083,16
8127821,9
8138343,9
8143667,13
8165629,9
8181911,9
8188797,13
8206813,9
8218869,16
8237697,9
8245953,13
8251661,9
8310643,9
8323917,9
8326989,16
8345861,30
8354753,13
8366293,9
8369555,9
8395253,9
8399629,9
8415295,9
8430095,9
8446995,9
8477249,19
8499201,9
8516003,13
8527545,19
8551043,9
8569883,13
8590223,9
8598559,19
8620019,19
8630031,30
8631671,9
8631771,13
8639337,9
8649091,16
8658007,9
8678633,13
8685039,9
8708221,30
8733609,13
8742113,13
8746775,9
8750359,13
8764947,9
8768347,9
8787245,3.5
8802849,30
8825925,9
8849799,30
8856521,9
8857141,16
8865363,9
8872859,9
8889671,9
8897697,9
8923135,13
8929043,9
8937685,16
8959283,19
8962849,9
8970623,9
8974937,19
8976055,13
9030705,3.5
9032809,9
9050283,9
9099361,13
9104653,13
9131417,30
9140349,9
9156969,13
9159309,9
9187573,19
9193455,13
9224471,19
9235503,6
9257799,30
9286741,13
9297967,9
9301413,9
9333601,19
9364239,9
9418417,13
9435705,19
9458381,16
9502409,9
9533173,6
9554377,9
9560413,3.5
9561083,19
9573677,9
9589153,6
9609673,9
9643285,9
9646415,9
9679915,13
9700235,9
9714205,9
9714597,13
9716597,13
9722307,9
9733067,13
9744601,30
9744983,9
9747061,16
9755335,9
9769010,9
9777126,9
9778727,16
9783620,13
9790193,9
9809905,9
9812387,9
9813819,9
9829199,13
9830665,13
9845925,6
9848541,16
9852073,13
9856674,19
9857768,9
9865581,30
9873450,16
9921691,13
9925282,9
9925726,13
9930668,9
9934152,13
9942230,13
9955223,9
9958935,9
9965671,9
9971642,13
9981811,13
10004846,9
10012188,9
10015366,9
10016182,6
10019460,9
10023066,9
10034321,13
10035007,13
10062148,13
10065530,13
10103603,19
10105002,19
10122666,19
10127627,30
10128140,16
10146218,9
10185208,9
10189411,13
10189684,9
10206406,13
10209171,19
10222534,30
10248350,13
10262991,9
10264937,19
10304967,13
10316092,19
10369625,9
10372303,9
10373682,3.5
10379187,16
10384784,9
10400474,30
10403553,13
10417307,13
10430328,13
10435554,16
10441285,13
10444272,9
10446595,9
10448725,3.5
10457754,9
10481536,6
10485663,9
10492828,13
10502072,19
10522484,13
10532579,9
10541237,13
10548316,9
10550534,9
10551327,13
10557563,9
10579778,13
10599253,30
10599487,9
10609329,13
10612064,9
10619412,9
10656698,9
10660150,9
10665096,13
10674733,9
10680009,13
10706524,6
10717081,9
10720540,13
10737556,3.5
10737648,3.5
10743891,9
10745516,13
10760342,19
10786587,13
10797239,13
10810595,9
10848552,16
10862473,9
10863024,16
10870906,3.5
10871142,13
10872890,9
10879101,9
10889055,13
10896376,9
10899723,13
10913576,19
10922438,9
10932015,13
10945978,19
10957335,13
11005801,9
11015819,9
11021292,6
11024522,19
11036391,9
11043181,6
11043187,30
11046885,13
11069301,9
11080636,9
11093553,13
11096179,9
11109252,9
11111050,13
11127952,9
11137253,6
11156134,9
11165961,9
11167812,9
11180649,19
11182428,9
11182769,13
11193369,9
11194399,9
11196701,16
11203447,19
11205293,13
11210549,9
11225895,13
11231665,9
11245143,16
11264670,9
11282090,30
11286268,9
11320592,19
11361805,13
11364308,9
11366269,9
11378440,9
11379581,16
11395986,9
11409175,13
11411048,6
11415468,9
11420114,9
11421651,16
11433867,13
11436622,9
11439135,19
11439305,9
11447347,9
11449472,13
11454978,13
11457273,9
11457569,13
11463286,9
11464349,30
11465016,9
11481036,16
11502030,9
11528203,3.5
11540843,9
11550878,9
11554944,19
11578716,13
11584264,13
11586609,9
11592259,19
11596800,13
11597096,13
11618570,13
11628816,13
11636612,9
11667831,30
11672993,13
11673137,9
11673275,19
11682395,13
11698739,9
11700590,9
11707893,9
11719854,16
11725573,9
11745772,9
11751871,3.5
11757289,9
11764450,9
11772809,9
11776740,19
11785507,19
11798766,13
11813531,9
11825009,9
11841836,9
11846104,6
11847186,6
11874176,9
11877854,9
11878154,9
11892992,9
11895321,19
11910105,13
11913912,19
11915006,13
11916154,9
11924029,30
11929754,19
11936592,9
11944186,9
11963231,9
11977081,9
11988534,9
11994114,9
11996769,9
12028941,13
12029663,9
12040970,13
12056344,9
12065920,19
12068525,9
12072697,13
12088172,13
12089993,9
12100274,13
12102667,13
12121057,9
12122806,9
12123305,9
12132121,13
12136296,9
12146156,9
12161669,9
12162545,9
12169649,9
12175727,13
12209084,3.5
12226779,19
12259535,3.5
12260532,13
12286286,9
12308641,9
12309480,30
12310570,13
12312570,9
12324714,9
12331941,13
12335978,9
12348799,9
12355685,9
12358138,13
12371118,13
12416057,9
12416986,9
12422287,13
12485938,9
12490503,9
12496636,9
12498592,9
12502768,9
12509404,13
12515970,3.5
12549138,9
12561774,9
12563402,9
12579065,9
12586927,19
12588761,9
12603851,19
12608579,9
12617158,9
12621323,9
12625190,6
12638631,3.5
12675478,13
12678593,9
12702413,9
12712329,13
12714182,9
12717213,13
12719083,9
12725345,9
12761158,9
12776202,9
12781713,6
12792431,13
12799542,30
12812360,9
12826010,13
12845260,9
12852648,9
12867766,9
12875978,9
12885703,9
12949910,9
12957807,13
12960318,19
12964249,9
12966499,9
12977511,19
12982057,3.5
12988500,30
12992660,19
13024381,13
13036269,19
13050924,19
13062658,19
13068991,13
13092495,19
13094654,19
13098696,9
13098991,13
13119077,9
13123669,9
13125038,19
13128372,9
13132659,9
13134112,9
13143157,19
13192831,13
13201758,30
13217828,9
13220845,9
13230949,13
13241374,9
13242738,9
13243745,9
13244587,3.5
13245704,13
13253634,9
13254537,9
13265546,13
13271458,9
13271668,9
13301200,9
13312442,19
13313749,9
13316459,19
13330295,13
13356624,13
13358309,13
13358420,13
13367747,9
13368396,9
13369024,19
13416590,9
13420139,13
13481324,13
13485420,30
13487260,16
13502398,9
13539469,16
13551384,30
13556433,30
13602798,9
13625756,9
13649871,9
13658104,3.5
13674931,9
13689607,9
13694690,9
13709869,6
13730747,19
13744495,9
13754913,19
13764155,9
13775291,13
13778802,13
13780624,19
13796348,13
13806689,19
13809476,16
13834675,30
13835578,9
13842342,9
13854050,19
13862559,9
13864945,9
13872568,9
13876994,9
13880866,13
13890527,16
13902989,9
13919130,30
13943867,13
13948881,3.5
13966536,9
13985188,16
13993844,9
13997451,9
14002232,9
14033942,13
14035302,9
14035703,16
14049997,9
14052845,9
14058088,9
14072361,13
14088729,13
14098093,9
14127878,9
14133879,13
14139497,9
14149733,19
14150481,19
14150509,19
14166488,9
14181507,9
14202350,9
14207037,19
14217912,13
14223644,13
14227991,13
14243564,13
14245992,9
14256127,13
14277017,9
14287028,13
14329303,13
14331507,13
14333542,9
14352604,13
14353374,19
14359428,13
14366760,9
14373964,6
14379668,13
14389595,9
14391976,13
14392722,6
14396309,9
14405334,9
14424774,9
14432060,13
14441156,9
14442872,13
14449359,30
14451463,9
14457931,19
14460500,9
14464486,13
14470688,19
14510985,9
14519990,9
14533899,13
14536541,9
14542784,9
14545185,9
14560094,13
14567293,9
14569926,13
14577925,9
14615981,19
14643859,9
14644177,13
14647203,9
14647694,19
14656240,9
14667585,9
14668278,13
14694015,13
14700502,9
14717039,13
14722184,19
14739749,9
14744010,19
14755555,9
14783837,13
14792974,9
14812375,13
14819922,9
14822580,19
14849109,9
14859965,13
14885738,9
14892309,9
14893129,9
14906616,13
14918263,9
14943394,9
14959412,9
14984445,9
14984946,13
15004833,13
15007280,13
15016645,9
15028093,13
15032817,13
15034258,13
15045937,9
15047345,13
15050787,19
15053223,9
15061681,9
15070742,9
15076258,30
15076464,9
15081311,9
15081550,9
15109446,3.5
15130037,9
15134182,13
15143870,9
15143885,13
15148243,13
15151481,9
15170021,3.5
15240526,30
15241609,9
15287018,13
15309185,9
15321112,13
15322631,3.5
15335489,19
15356880,19
15375565,9
15377068,3.5
15378480,13
15394560,13
15397014,9
15419485,9
15429321,13
15448161,9
15468361,13
15475160,30
15475766,13
15527108,9
15531031,9
15531843,19
15550582,9
15552493,9
15566035,9
15574227,9
15583570,30
15629487,9
15642506,13
15648858,9
15684662,13
15694142,13
15725723,9
15742503,9
15799494,9
15807881,13
15818665,13
15821434,9
15827753,9
15885731,9
15939777,9
15945454,9
15948148,13
15959530,9
15960927,19
15964441,9
15988435,13
15998713,9
16003384,9
16012556,13
16017174,3.5
16017518,13
16020668,9
16046309,13
16046990,30
16047156,13
16051495,9
16094276,9
16097507,9
16116108,13
16121855,19
16134733,9
16134945,19
16143690,9
16151912,13
16155100,9
16158892,9
16163637,13
16164206,13
16165030,13
16165514,9
16173212,13
16176317,19
16180692,19
16182939,9
16186031,9
16190641,9
16224878,9
16260927,19
16271466,9
16277116,9
16292204,9
16292563,30
16304945,19
16316916,19
16319419,3.5
16328858,3.5
16333354,9
16345826,9
16395192,9
16397246,9
16404360,9
16410464,9
16415014,9
16420713,9
16454649,9
16456968,13
16458678,19
16463114,9
16467606,9
16475392,3.5
16478722,9
16485408,9
16505893,9
16506517,13
16520612,9
16523875,9
16524284,9
16532495,13
16539849,13
16542146,9
16551724,19
16553313,19
16557591,13
16575060,13
16575852,9
16576713,19
16596427,13
16606600,9
16607582,9
16624867,19
16633481,9
16643903,13
16703699,19
16720536,9
16734902,9
16746237,13
16751560,13
16754571,9
16770014,9
16787202,9
16794001,19
16818960,9
16818983,9
16841458,9
16854607,9
16881889,9
16886118,9
16888728,9
16909441,9
16926852,19
16946027,13
16984438,13
16991409,9
16997445,13
17008574,19
17011028,13
17012419,30
17023286,19
17033276,9
17035165,9
17046467,13
17056094,13
17057569,3.5
17058432,13
17067506,13
17067981,9
17069585,9
17091161,30
17107651,13
17109719,9
17124186,9
17125407,9
17126550,9
17132626,19
17145065,9
17168729,13
17178894,19
17198097,19
17198442,9
17221881,9
17227225,9
17254996,9
17305000,19
17321256,9
17322162,9
17339890,9
17347769,19
17357091,19
17386307,9
17393824,9
17402573,9
17406534,13
17409259,9
17469760,9
17483566,3.5
17540062,9
17590364,3.5
17595643,9
17653981,13
17670125,9
17715036,9
17747088,9
17776686,13
17888661,9
18057318,19
18062010,9
18067829,9
18088214,13
18147970,9
18156319,30
18170803,9
18170863,13
18176795,9
18214924,9
18235216,9
18244589,13
18283810,9
18297661,9
18300656,9
18307841,9
18349832,19
18350836,13
18366222,9
18382494,9
18384308,3.5
18386134,19
18400795,9
18412048,3.5
18425266,9
18427460,19
18438027,9
18470592,9
18471204,9
18478582,19
18503880,9
18507581,30
18519145,9
18527067,9
18529009,13
18532312,9
18559201,13
18561751,19
18577369,13
18580059,9
18581651,13
18601819,9
18604669,9
18635522,9
18655763,30
18658631,9
18667562,9
18683183,13
18687300,13
18698986,19
18701546,19
18705202,13
18705330,9
18708711,19
18709049,13
18717997,30
18731271,9
18740377,13
18760142,9
18772333,9
18777458,9
18780408,13
18786545,13
18789511,9
18800622,9
18817798,3.5
18826379,13
18830441,9
18830871,9
18832424,30
18845083,13
18849279,19
18876944,9
18881003,9
18888512,9
18899314,19
18918111,9
18920876,9
18937077,13
18941947,19
18955019,9
18960642,13
18971304,9
18973907,13
18975842,19
18980378,3.5
18985642,9
18991621,9
18998842,30
19034107,30
19038933,9
19051047,9
19052340,9
19058231,9
19075166,13
19077213,13
19078078,9
19083251,9
19098428,13
19104335,13
19115149,3.5
19123601,19
19143347,9
19148096,9
19158196,9
19159878,30
19177353,13
19186514,9
19186831,9
19200878,19
19208365,9
19217870,9
19222147,9
19228269,13
19252031,9
19253830,13
19279334,13
19285203,9
19306478,13
19310190,9
19316073,19
19325224,9
19326040,9
19326588,19
19326977,13
19328626,19
19332390,9
19338706,9
19340437,13
19344877,19
19348103,9
19375731,30
19397188,19
19410796,30
19412634,9
19414875,13
19416982,9
19421498,9
19422475,13
19423611,13
19434083,9
19440769,3.5
19440813,9
19444199,13
19446333,30
19446649,13
19479112,19
19480362,13
19482173,19
19494168,13
19508457,9
19518199,9
19541029,13
19546356,9
19546484,13
19546607,9
19558753,9
19589185,13
19589195,13
19590082,13
19597424,19
19600878,30
19618127,30
19625937,30
19643271,9
19644000,13
19668765,30
19671233,30
19683927,9
19692875,9
19693057,13
19698435,9
19707238,9
19720477,9
19729262,9
19767475,9
19774208,19
19782839,9
19786663,3.5
19791131,30
19795737,13
19820848,9
19821076,19
19857576,19
19864008,13
19898063,13
19903562,19
19944370,9
20001555,13
20009052,19
20018210,9
20028333,9
20048790,13
20059452,13
20071203,13
20077838,3.5
20124684,9
20126583,9
20128031,13
20128446,9
20131265,9
20150848,13
20150983,9
20165645,9
20182598,19
20191610,13
20214761,9
20215385,13
20222118,9
20254784,13
20280010,19
20284281,3.5
20289250,19
20295151,30
20306016,9
20333364,13
20335485,13
20379575,9
20380754,19
20392883,13
20437879,9
20438242,9
20444586,9
20463214,9
20474041,9
20480357,9
20483307,19
20512023,19
20515857,19
20547926,19
20550736,19
20561081,13
20567648,9
20569637,9
20594989,9
20603629,19
20612997,9
20640364,13
20643797,9
20645411,13
20656764,13
20659459,9
20665530,30
20669346,9
20676694,9
20681322,19
20687515,30
20700260,9
20705449,9
20706959,13
20722740,13
20737645,30
20752012,9
20754453,19
20756520,19
20767078,19
20790184,9
20793897,13
20796071,9
20797346,9
20814497,9
20824012,19
20831547,9
20853195,13
20861774,9
20872279,9
20875857,9
20881684,19
20884494,9
20884930,9
20886001,30
