id,user_id,paid_date,amount,type,record_id,notes,gco_order_number,paypal_order_number,status,created_at,updated_at,subscription_term_length,state,parent_id,is_first_payment,is_last_payment,credits_remaining,credits_pregrant,burn_user_id,free_trial,membership_level,refund_date,processor_em,admin_granted,turbo_traffic_optimize_em,pricing_table_em
1425453,9170015,9/6/18 4:33,10,MembershipPayment,,I-T90BF116N8TC,,2HG82327G39831350,,8/6/14 11:56,9/6/18 4:33,1,complete,,TRUE,,0,,,FALSE,,,2,FALSE,,
1640832,13886563,8/27/18 4:03,140,MembershipPayment,93760,I-WYG4W58DEYP6,,2N254803ND4852357,,8/22/15 14:12,8/27/18 4:03,12,complete,,TRUE,,0,,,FALSE,1,,2,FALSE,,
1750298,16141636,1/23/18 7:16,140,MembershipPayment,89192,I-VGNMHJD38U2J,,5GT240731K0549434,,1/17/16 19:21,1/23/18 7:16,12,complete,,TRUE,,0,,,FALSE,1,,2,FALSE,,
1838143,18751728,5/21/18 3:26,20,MembershipPayment,91774,I-X9C8TPP3VF12,,2S9469671G913183G,,5/16/16 13:50,5/21/18 3:26,1,complete,,TRUE,,0,,,FALSE,1,,2,FALSE,,
1933375,20874383,7/2/18 7:18,40,MembershipPayment,92677,I-SMV5CSJMUNV8,,65R7713780563584G,,9/22/16 12:38,8/8/18 1:15,1,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
2008455,21204574,12/26/18 4:52,290,MembershipPayment,96684,I-RG19YTTJ51XC,,5K842354XL7560521,,12/25/16 20:33,12/26/18 4:52,12,complete,,TRUE,,0,,,FALSE,2,,2,FALSE,,
2029578,22914958,1/14/18 2:31,140,MembershipPayment,88993,I-H284A99Y485D,,30E86535YK638692L,,1/14/17 10:36,1/20/19 1:15,12,complete,,TRUE,TRUE,0,,,FALSE,1,,2,FALSE,,
2054953,23563622,8/20/18 4:17,40,MembershipPayment,93609,I-WNJJBGM46NDF,,3C939054SV282761X,,2/15/17 9:19,8/20/18 13:37,1,refunded,,TRUE,TRUE,0,,,FALSE,2,8/20/18 13:37,2,FALSE,,
2062000,23608753,2/28/18 11:36,140,MembershipPayment,90019,I-VM63EU34SDCC,,7BA07930RP4327311,,2/28/17 13:08,3/1/18 15:43,12,refunded,,TRUE,TRUE,0,,,FALSE,1,3/1/18 15:41,2,FALSE,,
2062046,23835308,2/28/18 6:19,660,MembershipPayment,90006,I-D75R9CV48CYM,,5FC953735B9431528,,2/28/17 14:16,2/28/18 6:19,12,complete,,TRUE,,0,,,FALSE,3,,2,FALSE,,
2078110,18575491,3/23/18 7:16,290,MembershipPayment,90575,I-D4SSU08T9EL7,,26G731198J687202V,,3/13/17 6:51,3/23/18 7:16,12,complete,,TRUE,,0,,,FALSE,2,,2,FALSE,,
2112057,24215294,4/25/18 6:13,290,MembershipPayment,91269,I-GDDVWTPEHU4R,,94625273KA713052T,,4/25/17 13:04,4/25/18 8:24,12,refunded,,TRUE,TRUE,0,,,FALSE,2,4/25/18 8:24,2,FALSE,,
2169018,26270223,7/2/18 7:18,660,MembershipPayment,92678,I-H1E4G1PDXC9B,,6WC48540C82879723,,7/1/17 23:21,7/2/18 7:18,12,complete,,TRUE,,0,,,FALSE,3,,2,FALSE,,5
2169395,26281867,7/3/18 7:18,290,MembershipPayment,92701,I-USVCRNEKEB1V,,7JN69245XF907811B,,7/2/17 16:58,7/16/18 9:57,12,refunded,,TRUE,TRUE,0,,,FALSE,2,7/16/18 9:57,2,FALSE,,5
2172178,26352479,7/6/18 7:23,290,MembershipPayment,92750,I-1DJ2PUG63X41,,99K00469XN559671S,,7/6/17 15:35,7/7/18 9:57,12,refunded,,TRUE,TRUE,0,,,FALSE,2,7/7/18 9:57,2,FALSE,,5
2215251,22777574,1/31/18 6:32,40,MembershipPayment,89381,I-7MCTJBKYGYXJ,,9HJ25765391807357,,8/21/17 6:54,3/6/18 1:24,1,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,5
2292140,28966804,11/25/18 6:40,290,MembershipPayment,95897,I-3SYV05TFGSTE,,523565399S144940P,,11/19/17 20:03,11/25/18 6:40,12,complete,,TRUE,,0,,,FALSE,2,,2,FALSE,,5
2295547,673622,1/25/18 5:55,20,MembershipPayment,89245,I-FAW37DCNMN9X,,4JC7415203278721P,,11/24/17 18:23,3/3/18 1:23,1,complete,,FALSE,TRUE,0,,,FALSE,1,,2,FALSE,,5
2297405,29132565,12/7/18 4:13,140,MembershipPayment,96255,I-9AHEP9XNASTY,,54K25121S2072413R,,11/27/17 10:02,12/7/18 4:13,12,complete,,TRUE,,0,,,FALSE,1,,2,FALSE,,5
2328285,16060953,1/23/18 6:16,20,MembershipPayment,89191,I-TWC2EY9W3LSF,,5H577568R9822522H,,12/23/17 4:24,1/23/18 6:16,1,complete,,FALSE,,0,,,FALSE,1,,2,FALSE,,5
2330883,29840462,1/2/18 6:19,40,MembershipPayment,88700,I-YPNYVB575Y5E,,6VH14753B0106972V,,12/28/17 10:14,1/2/18 6:19,1,complete,,TRUE,,0,,,FALSE,2,,2,FALSE,,5
2331479,29856798,1/3/18 5:35,290,MembershipPayment,88721,I-20GNUFPTHHVM,,1FM88835TD191144H,,12/29/17 7:02,1/3/18 16:46,12,refunded,,TRUE,TRUE,0,,,FALSE,2,1/3/18 16:46,2,FALSE,,5
2332654,623073,1/1/18 0:22,20,MembershipPayment,77279,,,,,1/1/18 0:22,1/1/18 0:22,1,complete,,FALSE,,0,,,FALSE,1,,1,FALSE,,
2332738,19238571,1/1/18 0:31,200,MembershipPayment,88673,,,,,1/1/18 0:31,1/4/18 12:47,1,refunded,,FALSE,TRUE,0,,,FALSE,4,1/4/18 12:45,1,FALSE,,5
2332772,20642673,1/1/18 1:34,140,MembershipPayment,88674,,,,,1/1/18 1:34,1/7/19 1:15,12,complete,,FALSE,TRUE,0,,,FALSE,1,,1,FALSE,,5
2332795,990246,1/1/18 2:25,50,MembershipPayment,82143,Courtesy of Bonanza,,24334840MB671300W,,1/1/18 2:25,1/1/18 2:25,1,complete,,FALSE,,0,,,FALSE,3,,2,FALSE,,
2332810,48689,1/1/18 2:50,24,MembershipPayment,82902,Courtesy of Bonanza,,26D03001BY694133B,,1/1/18 2:50,1/1/18 2:50,1,complete,,FALSE,,0,,,FALSE,2,,2,FALSE,,
2332811,1383516,1/1/18 2:54,10,MembershipPayment,,S-1T911195PA753081M,,1SX039677Y626072R,,1/1/18 2:54,1/1/18 2:54,1,complete,,FALSE,,0,,,FALSE,,,2,FALSE,,
2332840,24680828,1/1/18 4:03,40,MembershipPayment,88675,,,,,1/1/18 4:03,2/7/18 1:23,1,complete,,FALSE,TRUE,0,,,FALSE,2,,1,FALSE,,5
2332859,29242395,1/1/18 4:34,20,MembershipPayment,88094,I-1NDKWX8BY8Y1,,8GE64002S8449231H,,1/1/18 4:34,1/1/18 4:34,1,complete,,FALSE,,0,,,FALSE,1,,2,FALSE,,
2332864,4375367,1/1/18 4:35,24,MembershipPayment,82891,Courtesy of Bonanza,,16P86481G5052905W,,1/1/18 4:35,1/1/18 4:35,1,complete,,FALSE,,0,,,FALSE,2,,2,FALSE,,
2332869,489816,1/1/18 4:46,50,MembershipPayment,82892,Courtesy of Bonanza,,5CR40638C1463903X,,1/1/18 4:46,1/1/18 4:46,1,complete,,FALSE,,0,,,FALSE,3,,2,FALSE,,
2332876,15010310,1/1/18 6:15,70,MembershipPayment,88676,I-SCPTPGP8YA1W,,2TL64303Y91378628,,1/1/18 5:00,1/1/18 6:15,1,complete,,FALSE,,0,,,FALSE,3,,2,FALSE,,5
2332887,26807691,1/1/18 5:14,40,MembershipPayment,84785,I-04LFFYDPJEKM,,0W60663020071343R,,1/1/18 5:14,1/1/18 5:14,1,complete,,FALSE,,0,,,FALSE,2,,2,FALSE,,
2332930,28613605,1/1/18 6:15,20,MembershipPayment,87271,I-GXH5EXWUPK0Y,,92T83360VW270042H,,1/1/18 6:15,1/1/18 6:15,1,complete,,FALSE,,0,,,FALSE,1,,2,FALSE,,
2332940,29674128,1/1/18 6:21,40,MembershipPayment,88677,,,,,1/1/18 6:21,1/1/18 6:21,1,complete,,TRUE,,0,,,TRUE,2,,6,FALSE,,5
2332944,16180692,1/1/18 6:25,70,MembershipPayment,73290,I-UCGBXKS94GGD,,7W674905608073946,,1/1/18 6:25,1/1/18 6:25,1,complete,,FALSE,,0,,,FALSE,3,,2,FALSE,,
2332952,29400210,1/1/18 6:29,70,MembershipPayment,88678,,,,,1/1/18 6:29,1/1/18 6:29,1,complete,,TRUE,,0,,,FALSE,3,,1,FALSE,,5
