id,amount,fvf,seller_id
57438295,14.99,1.35,28390596
57458016,119,10.71,25728656
57555029,14.7,1.32,27754931
57564160,15.99,0.56,33701583
57581502,109.95,13.37,19479112
57607629,179.18,20.8,8598559
57620664,10.99,,28828717
57621519,75,1.13,7672571
57621989,24.99,3.25,22934668
57887461,161.95,5.67,26147700
57993009,276.54,24.17,30272003
57997353,64.98,12.35,5127
58010170,99,8.91,25728656
58071381,60,7.64,24452809
58083041,35.9,5.74,48513
58093943,77.75,18.24,26931076
58100877,145,12.15,34952323
58118122,38,4.55,33724589
58129806,90.09,8.91,25728656
58134094,10.99,0.99,31901151
58144457,204.99,37.05,14457931
58290892,28.95,2.46,19494168
58298446,59.58,5.36,34459076
58307452,55.98,2.73,31921410
58307634,71.55,5.4,30099083
58311511,79.19,10.29,15241609
58314817,48.03,11.99,31662800
58355509,20.98,3.83,17091161
58378893,41.38,1.45,31193318
58379505,150,42,22809536
58390735,139.98,11.7,18635522
58404719,26.99,3.51,34634011
58435595,59.49,2.08,25813788
58445159,99.95,20.69,27574280
58457734,106.68,13.87,24444522
58463208,99,3.47,25728656
58466206,13.99,1.26,17067981
58477267,41.49,6.27,29989669
58492218,7.18,0.65,32938753
58506709,354.88,60.79,13854050
58519047,13.17,0.93,7063897
58521733,6.49,0.58,27741668
58521821,8.99,0.5,30130286
58530020,39.98,7.6,21520925
58533335,144,5.04,29964390
58541552,33,1.16,16164206
58547255,11.4,0.57,32284887
58566797,37.5,2.04,32332375
58577795,6.38,0.74,13806689
58577797,10.98,2.1,31185149
58577798,12.58,1.98,20687515
58577804,8.99,1.13,30726401
58581836,43.5,4.38,10492828
58582765,64.98,5.4,23759053
58584586,70.6,,20437879
58596620,29.02,2.61,23844749
58599676,9.9,0.67,29964390
58603150,40.49,5.26,10609329
58609547,14.99,0.52,22934668
58609593,101.9,9.17,30292104
58610963,6.72,0.5,22475314
58611281,27,1.71,32444819
58615996,25,1.8,6476
58616808,73.45,5.89,32018395
58616984,33.74,1.05,34755461
58630778,11.99,3.6,33270492
58642935,38.4,1.34,12561774
58651699,8.87,1.15,24334053
58652425,111,3.89,31193318
58654644,38.27,,26714073
58656505,39.97,1.4,30388102
58661485,99,8.91,25728656
58661744,349.99,0,9971642
58662393,27.99,2.52,23844749
58663450,115.53,9.45,18635522
58663937,209.94,7,13854050
58665671,24.74,1.96,31311239
58666506,53.19,4.79,23844749
58667030,10.9,0.64,15419485
58667145,37.4,3.82,22443656
58673513,46.59,3.56,28390596
58677565,219.98,27.3,26576000
58679724,9.99,1.9,30003172
58679763,197.98,6.58,17145065
58682882,9,0.81,658564
58684215,14.99,2.85,26168032
58684341,8.12,0.85,24129234
58687871,36.94,3.32,11193369
58695079,26.94,4.18,30670999
58700649,207.98,6.93,17145065
58709134,24.99,0.87,34665629
58712937,9.95,1.29,31757756
58713274,11.99,2.28,26168032
