seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
69,1,4.00,4.00,0.50,0.50
593,2,249.50,124.75,14.26,7.13
951,2,59.98,29.99,11.40,5.70
1439,1,55.40,55.40,4.09,4.09
1494,1,32.24,32.24,2.68,2.68
1630,2,64.10,32.05,15.15,7.58
1648,1,36.69,36.69,3.86,3.86
1686,4,281.27,70.32,35.91,8.98
1698,2,78.98,39.49,5.81,2.91
1747,5,106.99,21.40,13.12,2.62
1785,1,130.00,130.00,16.90,16.90
2078,1,13.44,13.44,0.50,0.50
2197,4,56.00,14.00,5.64,1.41
2217,2,20.24,10.12,1.01,0.51
2339,1,28.29,28.29,3.61,3.61
2558,2,46.48,23.24,1.75,0.88
2584,1,41.08,41.08,1.09,1.09
2641,3,186.40,62.13,14.12,4.71
2762,1,12.00,12.00,0.50,0.50
2874,2,30.13,15.07,1.38,0.69
3099,2,34.20,17.10,1.80,0.90
3218,3,36.25,12.08,1.75,0.58
3344,1,89.97,89.97,3.15,3.15
3377,1,50.75,50.75,5.56,5.56
3392,1,169.00,169.00,0.00,0.00
3661,2,121.50,60.75,2.25,1.13
3910,2,70.98,35.49,1.50,0.75
4018,4,103.46,25.87,2.85,0.71
4283,2,166.39,83.20,13.18,6.59
4373,1,120.28,120.28,3.86,3.86
4534,1,110.00,110.00,0.00,0.00
4725,1,158.36,158.36,30.09,30.09
4845,4,130.73,32.68,7.19,1.80
5104,2,114.94,57.47,6.08,3.04
5127,28,1232.72,44.03,210.56,7.52
6461,1,54.44,54.44,5.85,5.85
6466,3,174.45,58.15,15.20,5.07
6476,214,3586.87,16.76,246.42,1.15
6548,2,49.41,24.71,3.55,1.78
6630,3,159.80,53.27,14.39,4.80
6726,1,31.59,31.59,1.94,1.94
7168,1,18.49,18.49,1.82,1.82
8545,5,217.51,43.50,7.47,1.49
9427,11,167.19,15.20,17.62,1.60
9521,1,42.29,42.29,6.14,6.14
9544,1,269.00,269.00,51.11,51.11
9718,1,24.69,24.69,1.91,1.91
9940,1,509.40,509.40,64.92,64.92
10086,1,15.23,15.23,1.32,1.32
