seller_id,user_name,profit_estimate,value_em,user_created,booth_created,days_as_user,first_sale,days_to_sale,country,state,city,committed,year_sales,year_amount,year_fvf,items_for_sale,sales,source_em,entry_source_em,inventory_source_em,entry_url,entry_query
1201,khnitz,656,minnow,8/21/08,8/26/08,10.44,10/2/08,37,US,MI,Howell,TRUE,22,987.84,45.19,128,361,,,,,
3186,valdazar,42,minnow,9/13/08,9/13/08,10.39,10/10/08,27,US,NY,Unadilla,TRUE,0,0,0,31,87,,,,,
11290,gravytrain190,276,minnow,10/22/08,10/22/08,10.28,11/25/08,34,US,NC,Liberty,TRUE,23,413.93,44.79,1697,338,,,ebay,,
15984,vintageautospares,110,minnow,11/11/08,11/11/08,10.22,12/8/08,27,IN,,New Delhi,TRUE,1,84.2,2.6,0,77,direct,,ebay,,
17467,bikesnpawn,1997,dolphin,11/17/08,11/17/08,10.21,3/24/09,127,US,FL,Cocoa,TRUE,15,829.72,58.42,1055,354,,,ebay,,
28199,OESaccessories,1744,dolphin,12/18/08,12/18/08,10.12,3/23/09,95,US,TN,Baxter,TRUE,25,2179.75,283.4,882,316,,,ebay,,
28361,diver4,23,minnow,12/19/08,12/19/08,10.12,2/18/10,426,US,VA,Virginia Beach,TRUE,23,242.7,24.99,961,26,organic,,ebay,,
40906,Speedoggy,25,minnow,1/18/09,1/18/09,10.04,2/15/09,28,US,IN,North Manchester,TRUE,2,52.67,1.84,3037,36,,,ebay,,
41078,DieselCare,241,whale,1/19/09,1/19/09,10.04,12/24/12,"1,435",US,TN,Millington,TRUE,4,414.6,14.23,0,43,,,,,
49654,GumpysAtv,577,minnow,2/1/09,2/1/09,10,3/17/10,409,US,WV,Davy,TRUE,35,1933.94,167.6,10250,117,direct,,,,
49808,motoring312,13,minnow,2/1/09,2/1/09,10,10/31/09,272,US,WI,pleasant prairie,TRUE,1,43.96,1.19,17189,15,email,,,,
51831,artandmotorcycles,357,minnow,2/3/09,2/3/09,9.99,5/16/09,102,US,NC,Waxhaw,TRUE,13,568.4,44.07,3916,181,,,ebay,,
52508,nwironhorse,41,minnow,2/4/09,2/4/09,9.99,5/16/09,101,US,SD,STURGIS,TRUE,0,0,0,11,29,direct,,,,
52534,devinism,223,minnow,2/4/09,2/4/09,9.99,9/23/09,231,US,OR,Grants Pass,TRUE,7,916.1,30.61,69,65,email,,ebay,,
73282,Bosha,0,minnow,3/8/09,3/8/09,9.9,11/11/11,978,CA,,CALEDON,TRUE,2,28.81,1,65,3,email,,ebay,,
88199,cmod,10601,dolphin,3/31/09,3/31/09,9.84,4/13/09,13,CA,,Coquitlam,TRUE,144,24133.43,2160.24,206,1869,email,,,,
97397,fasnr,186,minnow,4/15/09,4/15/09,9.8,4/29/10,379,US,CT,Milford,FALSE,0,0,0,0,120,,,,,
113421,trucknutsuperstore,167,minnow,5/10/09,5/10/09,9.73,12/1/09,205,US,NM,Tierra Amarilla,TRUE,5,2121.74,104.48,49,135,direct,,ebay,,
120467,XLevelOnline,-230,dolphin,5/19/09,5/19/09,9.71,5/20/10,366,US,IN,Indianapolis,TRUE,7,3959.84,259.73,1079,42,,,ebay,,
127122,d_black_designs,452,minnow,5/30/09,5/30/09,9.68,10/6/09,129,US,FL,Seminole,FALSE,29,428.39,33.62,0,193,direct,,ebay,,
142852,carparts,260,minnow,6/24/09,6/24/09,9.61,8/3/09,40,US,WA,Tacoma,TRUE,12,210.1,27.41,514,329,direct,,,,
145863,Motocross101,4478,whale,6/29/09,6/29/09,9.59,9/2/09,65,US,OK,MIDWEST CITY,TRUE,60,6937.53,715.96,16543,479,,,ebay,,
168856,eXtraCoolDeals,-1561,dolphin,8/7/09,8/7/09,9.49,9/4/09,28,US,NJ,Toms River,TRUE,6,690.56,62.14,896,59,,,ebay,,
170867,ltraci2,244,minnow,8/11/09,8/11/09,9.48,10/26/09,76,US,WA,Spanaway,TRUE,15,1314.41,70.9,219,241,,,,,
284267,anycarpart,319,minnow,12/11/09,12/11/09,9.14,1/26/10,46,US,CA,El Sobrante,TRUE,1,47,3.6,27,92,,,,,
292652,shop123laundry,359,dolphin,12/16/09,12/16/09,9.13,4/6/10,111,US,CA,La Habra,TRUE,66,6867.43,310.4,76633,426,,,ebay,,
301284,GREENow,1,minnow,12/22/09,12/22/09,9.11,1/2/10,11,US,NY,Woodside,TRUE,0,0,0,36,10,,,ebay,,
315619,MoProAuto,941,dolphin,1/5/10,1/5/10,9.07,11/28/10,327,US,IN,MEMPHIS,TRUE,31,3859.19,586.5,6560,142,,,ebay,,
386455,FCRC_Machine,1128,minnow,3/3/10,3/3/10,8.92,10/25/14,"1,697",US,CA,Stockton,TRUE,22,4054.89,210.54,1436,124,,,,,
409134,fairmarket,41,minnow,3/20/10,3/20/10,8.87,3/7/13,"1,083",CA,,Vaughan,TRUE,0,0,0,31,76,,,,,
438044,Turboparts,5095,dolphin,4/11/10,4/17/10,8.79,5/12/10,25,US,NJ,East Rutherford,TRUE,472,14722.85,1688.05,225,3311,organic,,,,
465384,autoecu1,12930,dolphin,5/1/10,5/1/10,8.76,7/14/10,74,US,FL,West Palm Beach,TRUE,91,10627.86,1449.37,223,685,direct,,ebay,,
484857,xcbob,3108,whale,5/15/10,5/15/10,8.72,5/19/10,4,US,PA,Winfield,TRUE,221,9823.19,653.34,5244,2174,,,,,
560910,ValairAutoACParts,13,minnow,7/10/10,10/21/17,1.28,6/4/18,226,US,TX,Allen,TRUE,2,509.74,30.2,75,2,direct,,,,
615335,FULLFLIGHTRACING,474,dolphin,8/18/10,5/6/17,1.74,5/10/17,4,US,KY,HICKMAN,FALSE,3,429.97,38.7,0,28,other_search,,,,
703586,sdm6572,33,minnow,10/15/10,5/26/16,2.68,6/23/16,28,US,SC,Bishopville,TRUE,3,77.7,5.18,591,19,,,ebay,,
777945,Interstate,17458,dolphin,11/27/10,11/27/10,8.18,3/14/11,107,US,NC,Stallings,TRUE,1002,54417.88,6903.36,6352,4987,,,ebay,,
797342,graystone909,1,minnow,12/5/10,12/5/10,8.16,6/22/11,199,US,OH,Mentor,TRUE,0,0,0,0,10,organic,,,,
839330,Maurodc,508,minnow,12/23/10,12/23/10,8.11,1/11/11,19,US,FL,Hollywood,TRUE,3,25.67,1.5,96,149,,,ebay,,
951337,importsource,343,whale,3/4/11,3/4/11,7.92,8/26/11,175,US,SC,Belton,TRUE,22,1550.81,105.12,19711,23,direct,,ebay,,
987225,somethingforevery1,629,dolphin,3/27/11,12/28/16,2.09,1/7/17,10,US,NY,New Hartford,FALSE,5,216.83,12.84,0,27,other_search,,,,
1176223,tjsa12,302,minnow,7/3/11,7/3/11,7.58,8/24/11,52,US,FL,Altha,TRUE,1,10.53,0.5,690,253,direct,,,,
1347269,coolblingz,39,minnow,9/23/11,9/23/11,7.36,3/13/16,"1,633",US,CA,Orangevale,TRUE,13,361.48,30.21,556,34,,,,,
1481832,DIscountHitchCentral,19234,whale,11/23/11,11/23/11,7.19,3/7/12,105,US,NV,Las Vegas,TRUE,222,32564.34,3788.29,8458,1517,email,,,,
1549818,OBD_Innovations,3747,sea_bass,12/14/11,12/14/11,7.13,2/29/12,77,US,CA,San Jose,TRUE,35,553.04,141.63,1005,1232,direct,,ebay,,
1579564,Hubcaps4Less,58,minnow,12/26/11,12/26/11,7.1,1/19/12,24,US,MI,Detroit,FALSE,2,54.93,4.94,0,65,,,,,
1644190,customedge,18,minnow,1/26/12,1/26/12,7.02,3/7/12,41,US,FL,Oak Hill,TRUE,1,6.7,0.6,2599,21,bing,,ebay,,
2223161,lavamtn,0,minnow,2/21/12,10/22/18,0.27,,NaN,US,AK,Kasilof,TRUE,0,0,0,230,0,direct,,ebay,,
2482111,LIGHTNTRIM,393,dolphin,3/2/12,3/3/12,6.92,3/17/12,14,US,IL,LOCKPORT,TRUE,14,1799.97,95.17,7334,220,direct,,ebay,,
3934101,CarSignShop,568,minnow,5/12/12,5/12/12,6.72,1/23/13,256,US,FL,Orlando,TRUE,19,199.8,12.6,1075,21,organic,,,,
4065915,BobsBikeStuff,23,minnow,6/11/12,6/11/12,6.64,11/10/12,152,GB,,Gainsborough,TRUE,1,34.98,3.15,270,13,direct,,,,
4119871,motoscience,693,minnow,6/23/12,11/8/13,5.23,6/26/14,230,US,CA,los angeles,TRUE,11,2284.85,322.93,305,63,,,,,
4130067,KudAutoParts,2730,dolphin,6/26/12,6/26/12,6.6,7/5/12,9,US,IL,Naperville,TRUE,68,4727.11,274.54,6643,817,direct,,ebay,,
4170689,infita_camelia,-136,minnow,7/7/12,7/7/12,6.57,11/5/12,121,ID,,Bekasi,TRUE,11,423.43,36.47,0,102,,,,,
4244271,mo_city,9,minnow,7/25/12,7/25/12,6.52,5/23/14,667,US,CA,Diamond Bar,TRUE,0,0,0,0,4,,,,,
4366095,itacostore,2557,dolphin,8/28/12,8/28/12,6.43,9/12/12,15,SG,,Singapore,TRUE,227,11817.94,1394.51,2515,938,direct,,ebay,,
4369027,tiresandwheels,15509,whale,8/28/12,8/28/12,6.43,10/10/12,43,US,OH,Edon,TRUE,381,66666.01,5492.55,2918,1516,direct,,ebay,,
4439381,mukuj,1892,dolphin,9/16/12,9/16/12,6.38,10/13/12,27,US,CA,North Hollywood,TRUE,15,2008.4,96.19,504,253,,,ebay,,
4479487,althafastener,1649,dolphin,9/26/12,9/26/12,6.35,11/5/12,40,US,FL,Altha,FALSE,14,307,27.63,0,642,direct,,,,
4500801,Delta_Graphics,9,minnow,10/1/12,9/22/17,1.36,11/24/17,63,US,AL,Delta,FALSE,4,69.96,13.3,0,5,google_text_ad,,,,
4504025,patchescosplay,112,sea_bass,10/2/12,10/2/12,6.33,10/8/12,6,US,FL,seminole,TRUE,42,545.21,31.99,62,330,direct,,ebay,,
4522105,all_euroautoparts,183,dolphin,10/7/12,10/7/12,6.32,11/4/12,28,US,CA,Lake Elsinore,TRUE,27,2129.98,103.27,19785,109,direct,,ebay,,
4625185,ddfh939bona,3597,dolphin,10/29/12,10/29/12,6.26,11/5/12,7,HK,,Tsuen Wan,TRUE,181,7651.09,925.37,2144,932,,,ebay,,
4655395,mikel17110,224,minnow,11/8/12,11/8/12,6.23,2/11/13,95,US,MA,Hudson,TRUE,38,1246.73,150.56,1948,100,,,ebay,,
4815033,vintagesledpaint,67,minnow,12/3/12,12/3/12,6.16,1/21/13,49,US,ND,Mooreton,TRUE,2,77.2,6.95,1074,23,direct,,ebay,,
4877481,quick-manual,18678,dolphin,12/11/12,12/11/12,6.14,2/5/13,56,CA,,Toronto,TRUE,2505,37946.28,10896.6,5948,8433,direct,,ebay,,
5124907,KENNEDY_RPM_FLAGS,1241,minnow,2/2/13,2/2/13,5.99,3/29/15,785,US,CA,Anaheim,FALSE,4,99.38,29.82,0,148,direct,,,,
5130711,themotorcyclestore,-74,minnow,2/3/13,2/3/13,5.99,11/4/14,639,US,IA,Ankeny,TRUE,0,0,0,171,9,,,,,
