seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
34676369,4,-0.04,0,0,0
36601578,4,-0.07,0,0,0
35463066,4,184.71,2,377.11,0
34722086,4,0,0,0,0
34931142,4,0,0,0,0
35767672,4,-9.1,0,0,0
35421129,4,-13.03,0,0,0
36905693,4,0,0,0,0
34858123,4,0,0,0,0
35187146,4,-1.81,0,3.55,0
34446215,4,0,0,0,0
35793582,4,0,0,0,0
35238447,4,-0.11,0,0,0
35251803,4,31.15,0,16.65,40
36859841,4,0,0,0,0
35283723,4,0,0,0,0
35632417,4,-0.41,0,0,0
36555287,4,0,0,0,0
35065080,4,-0.02,0,0,0
327729,4,0,2,0,0
35080425,4,-5.93,1,35.33,0
36032073,4,0,0,0,0
33980411,4,0,0,0,0
36005258,4,0,0,0,0
35689318,4,21.96,1,6.37,20
35994860,4,-0.37,0,0,0
35669145,4,0,0,0,0
36339106,4,-0.01,0,0,0
36700084,4,0,0,0,0
34771593,4,-0.72,0,0,0
35196247,4,290,0,0,290
36186596,4,0,0,0,0
34705586,4,0,0,0,0
36094694,4,-0.36,0,0,0
35621675,4,0,0,0,0
35986076,4,-0.06,0,0,0
36402367,4,0,0,0,0
36181309,4,0,0,0,0
36054275,4,-7.6,2,0,0
33581900,4,-88.82,0,0,0
35449966,4,0,0,0,0
36513936,4,-0.25,0,0,0
35119341,4,7.35,0,7.35,0
34833155,4,0,0,0,0
36360034,4,0,0,0,0
36546927,4,0,0,0,0
36830908,4,0,0,0,0
35139200,4,0,0,0,0
35352776,4,0,0,0,0
35922333,4,-0.2,1,0,0
36700611,4,0,0,0,0
4108197,4,0,0,0,0
35598651,4,-0.02,0,0,0
11333912,4,0,0,0,0
34749712,4,-0.03,0,0,0
36887180,4,0,0,0,0
35357514,4,-1.66,0,0,0
34736926,4,0,0,0,0
34659579,4,0,0,0,0
34620877,4,-0.06,0,0,0
36564325,4,0,0,0,0
34254780,4,-0.54,0,0,0
35479429,4,0,0,0,0
35443678,4,0,0,0,0
34711551,4,155.79,2,370.4,0
35477981,4,0,0,0,0
35400153,4,0,0,0,0
34721857,4,0,0,0,0
35821833,4,-0.07,0,0,0
35905434,4,0,0,0,0
35686621,4,0,0,0,0
34852370,4,0,0,0,0
34551959,4,0,0,0,0
34983074,4,-1.3,0,0,0
35101478,4,-0.03,0,0,0
34320271,4,0,0,0,0
35397126,4,39.63,0,0,40
35004674,4,0,0,0,0
35830643,4,139.93,0,0,140
35108990,4,0,0,0,0
35521706,4,0,0,0,0
36904934,4,0,0,0,0
35485785,4,-0.32,0,0,0
35207334,4,0,0,0,0
34568136,4,39.79,0,0,40
35842125,4,-0.3,0,0,0
35296049,4,0,0,0,0
36106561,4,-0.03,0,0,0
34786435,4,0,0,0,0
36933745,4,0,0,0,0
35768819,4,-1.1,0,0,0
34561765,4,0,0,0,0
35587384,4,0,0,0,0
34418124,4,0,0,0,0
36042057,4,0,0,0,0
36918036,4,0,0,0,0
