id,amount,sold_on,fvf,source_em
52039835,350,5/7/18 7:40,21.74,4
52666986,49.99,5/21/18 8:59,5.13,8
52827361,18.98,4/1/18 7:41,2.47,8
52956642,43.95,4/2/18 16:04,3.96,8
52962525,37.5,4/13/18 16:44,1.93,8
52973677,87.9,4/2/18 9:36,7.91,8
53000444,34.58,4/3/18 8:59,1.21,8
53033570,284,4/4/18 5:56,0,4
53046027,74.96,4/19/18 19:26,9.74,8
53064400,68.4,5/10/18 19:04,3.94,8
53087373,18.8,4/11/18 12:01,1.69,8
53087799,29.98,4/1/18 16:49,2.97,8
53089125,178.1,4/10/18 18:17,16.03,8
53090809,26.72,4/13/18 5:31,8.02,8
53106590,115.95,4/1/18 6:27,7.41,16
53120738,15,4/1/18 0:10,0.53,8
53120823,47.62,4/1/18 0:22,5.62,8
53121657,17.35,4/1/18 1:05,1.76,8
53121666,123.17,4/1/18 1:01,11.09,8
53122689,43.95,4/1/18 3:16,3.96,8
53122784,43.95,4/1/18 3:54,3.96,8
53123068,246.34,4/1/18 4:03,22.17,8
53123240,89.99,4/1/18 4:23,10.4,8
53123532,43.95,4/1/18 4:53,3.96,8
53123637,29.78,4/1/18 5:07,0.69,8
53124026,8.54,4/8/18 17:24,0.5,8
53124583,125,4/5/18 11:03,11.25,22
53124880,63.75,4/1/18 7:11,8.29,8
53124946,43.95,4/1/18 7:07,3.96,3
53124964,84.12,4/1/18 7:10,7.57,8
53125095,103.24,4/1/18 7:20,8.55,4
53125481,34.99,4/1/18 8:19,10.5,8
53125528,43.95,4/1/18 7:55,3.96,8
53125560,98.99,4/1/18 7:59,8.91,16
53125683,10.99,4/1/18 8:08,0.72,3
53126325,43.95,4/1/18 8:58,3.96,8
53126746,43.95,4/1/18 18:22,3.96,8
53126763,40,4/1/18 18:22,3.6,8
53127030,103,4/1/18 9:48,6.86,8
53127186,12.5,4/1/18 9:55,1.13,8
53127611,43.95,4/1/18 10:31,3.96,8
53128470,29.99,4/1/18 11:30,3.9,8
53128829,38.77,4/1/18 17:37,3.49,8
53128879,47,4/1/18 17:37,0,8
53129393,28.97,4/1/18 12:32,1.01,8
53129643,43.71,4/1/18 14:50,0,
53129875,85.15,4/1/18 13:23,11.07,22
53130191,13.92,4/1/18 13:22,1.81,22
53130677,48.46,4/1/18 13:56,3.27,8
53130768,20.52,4/1/18 13:58,1.27,8
53131655,33,4/1/18 14:57,1.16,8
53132116,85.14,4/1/18 15:23,0,8
53132461,45.6,4/1/18 15:39,4.1,8
53132527,95,4/1/18 19:13,12.35,8
53132707,87.9,4/1/18 15:58,7.91,8
53132858,55,4/1/18 16:06,3.32,8
53132953,87.9,4/1/18 16:28,7.91,8
53133487,32.34,4/1/18 16:40,2.91,8
53134001,44.5,4/1/18 17:10,5.13,8
53134135,43.95,4/1/18 17:16,3.96,8
53134241,69.99,4/1/18 17:28,9.1,8
53135054,34.2,4/1/18 18:10,2.34,8
53135148,38.6,4/1/18 18:14,3.47,22
53135292,299,4/1/18 18:29,56.81,8
53135304,179.36,4/1/18 18:25,12.59,8
53135996,225.99,4/1/18 19:19,0,4
53136116,87.9,4/1/18 19:20,7.91,8
53136227,19.98,4/1/18 19:21,2.6,8
53136649,19.75,4/1/18 20:07,1.78,8
53136977,137.75,4/1/18 20:07,12.4,8
53137398,68.4,4/1/18 20:31,4,8
53137557,40.91,4/1/18 20:43,3.68,8
53138447,34.2,4/1/18 21:44,2.37,8
53138713,43.95,4/1/18 21:53,3.96,8
53139012,90,4/1/18 22:29,12.31,8
53139025,34.2,4/1/18 22:24,1.85,8
53139028,68.4,4/1/18 22:21,4.68,8
53140168,69.99,4/1/18 23:01,9.1,8
53140709,47.9,4/2/18 0:16,5.73,8
53143232,38,4/2/18 3:23,2.57,8
53143929,43.93,4/2/18 11:20,5.71,8
53144423,19.31,4/2/18 5:53,1.74,8
53144455,39.99,4/2/18 5:36,1.4,8
53144582,137.75,4/2/18 6:16,12.4,8
53144718,31.25,4/2/18 6:16,3.75,8
53144721,76.92,4/2/18 6:01,6.92,8
53144800,7.26,4/2/18 6:08,0.94,8
53144956,16,4/2/18 6:13,1.35,8
53145046,69.99,4/2/18 16:12,9.1,8
53145103,50.9,4/2/18 6:26,2.65,4
53145132,165.2,4/2/18 6:29,14.87,8
53145441,23.75,4/2/18 6:49,2.14,8
53145837,64.41,4/2/18 7:11,5.8,8
53146196,99.88,4/2/18 7:35,8.99,8
53146383,19.75,4/2/18 7:51,1.93,8
53146439,14.96,4/2/18 8:19,1.94,8
53146485,42,4/2/18 12:09,4.03,8
53146677,8.68,4/2/18 8:24,0.5,8
53146796,47.9,4/2/18 8:20,7.1,8
53147005,46.98,4/2/18 8:29,3.6,8
53147456,284,4/2/18 8:59,0,0
53147530,43.95,4/2/18 9:03,3.96,8
53148030,186.55,4/2/18 9:47,33.54,8
53148052,9.49,4/2/18 9:45,1.23,8
53148237,141,4/2/18 9:51,12.15,8
53148406,68.4,4/2/18 9:58,4.25,8
53148625,23.33,4/2/18 10:13,2.1,8
53149068,54.7,4/2/18 10:39,4.02,8
53149143,16.82,4/2/18 10:45,1.51,8
53149323,284,4/2/18 10:56,0,0
53149331,95,4/2/18 10:59,12.35,8
53149391,16,4/2/18 11:00,1.58,8
53149653,284,4/2/18 11:17,0,4
53149713,34.2,4/2/18 11:16,2.34,8
53150047,254,4/2/18 11:41,0,0
53150107,39.56,4/2/18 11:52,3.81,8
53150187,25,4/3/18 0:49,1.84,8
53150204,34.58,4/2/18 11:55,1.21,8
53150552,38.94,4/2/18 14:39,4.42,8
53150690,43.95,4/2/18 12:16,3.96,8
53151571,33.46,4/2/18 13:04,3.01,8
53151913,29.68,4/2/18 13:21,3.86,8
53152107,60.15,4/2/18 14:44,4.95,8
53152134,99.75,4/2/18 18:04,8.98,8
53152187,69.75,4/2/18 13:38,6.28,8
53152543,48.46,4/2/18 13:59,2.62,8
53152571,66.43,4/2/18 13:58,8.64,8
53154176,39.9,4/2/18 16:25,1.22,8
53156181,28.8,4/2/18 16:02,3.74,8
53156257,45.98,4/2/18 15:39,5.98,8
53156328,43.95,4/2/18 15:28,3.96,8
53156714,30,4/2/18 19:06,2.7,8
53156879,13.9,4/2/18 15:49,0.72,8
53158070,284,4/3/18 12:27,0,4
53158296,25.68,4/2/18 16:37,1.41,8
53158515,39.59,4/2/18 17:08,5.15,8
53158815,12.88,4/2/18 17:18,1.16,8
53158898,43.06,4/2/18 17:35,3.47,8
53159494,34.2,4/2/18 19:09,2.34,8
53159650,45,4/2/18 17:52,4.46,8
53159660,10.39,4/2/18 17:53,1.35,8
53159765,34.58,4/2/18 18:23,1.21,8
53159995,26.2,4/2/18 18:14,3.41,8
53160813,18.07,4/2/18 18:58,1.76,8
53161020,13.99,4/2/18 20:09,1.26,8
53161348,284,4/2/18 19:21,0,0
53161480,43.95,4/2/18 19:53,3.96,8
