id,category,profit_estimate,value_em,created_at,days_to_sale,days_as_user,profit_per_day,orders,d_per_order,source_em,country,items_for_sale,membership,feedback_rate,rating,is_winning
24258998,fashion,13254.93,WHALE,3/20/17,6,638,20.78,1536,8.63,0,US,132,TRUE,0.1,4.88,TRUE
24382572,everything_else,3766.13,WHALE,3/26/17,1,632,5.96,816,4.62,4,AU,150,TRUE,0.13,4.32,TRUE
30180756,home_garden,336.21,DOLPHIN,1/16/18,26,336,1,40,8.41,17,US,1214,TRUE,0.03,5,TRUE
31101714,fashion,251.41,SEA_BASS,3/12/18,9,281,0.89,37,6.79,0,CA,100,TRUE,0.05,5,TRUE
31233227,everything_else,149.76,MINNOW,3/19/18,24,274,0.55,11,13.61,16,US,1429,TRUE,0.45,5,TRUE
594719,everything_else,8460.21,WHALE,8/3/10,2742,3059,2.77,273,30.99,0,US,2411,TRUE,0.05,5,TRUE
1039229,everything_else,1464.66,SEA_BASS,4/20/11,2679,2799,0.52,30,48.82,0,US,3035,TRUE,0.23,4.43,TRUE
1278932,fashion,9959.36,WHALE,8/21/11,991,2676,3.72,468,21.28,4,US,405,TRUE,0.07,4.47,TRUE
4159511,everything_else,18667.26,DOLPHIN,7/4/12,3,2358,7.92,1281,14.57,4,US,11988,TRUE,0.05,4.78,TRUE
4455085,everything_else,43594.94,WHALE,9/20/12,48,2280,19.12,6175,7.06,3,US,4756,TRUE,0.61,4.98,TRUE
5792029,parts_accessories,4301.9,DOLPHIN,7/18/13,1435,1979,2.17,172,25.01,4,US,772,TRUE,0.03,5,TRUE
10698719,jewelry_watches,7068.83,DOLPHIN,12/10/14,8,1469,4.81,1223,5.78,4,US,741,TRUE,0.05,4.31,TRUE
14004956,everything_else,8208.54,DOLPHIN,8/30/15,33,1206,6.81,114,72,4,US,44,TRUE,0.08,3.44,TRUE
22284469,everything_else,2326.73,WHALE,12/11/16,573,737,3.16,384,6.06,0,US,0,TRUE,0.03,4.08,TRUE
26003517,everything_else,14826.36,WHALE,6/17/17,100,549,27.01,1956,7.58,4,US,0,TRUE,0.09,4.7,TRUE
26395443,home_garden,681.58,WHALE,7/9/17,474,527,1.29,137,4.98,4,LT,1853,TRUE,0.06,3.75,TRUE
26604819,jewelry_watches,6391.31,WHALE,7/20/17,13,516,12.39,186,34.36,4,US,8320,TRUE,0.09,4.53,TRUE
28390596,fashion,2776.42,DOLPHIN,10/20/17,5,424,6.55,645,4.3,16,US,2220,TRUE,0.04,4.43,TRUE
30292104,jewelry_watches,7819.58,WHALE,1/23/18,4,329,23.77,1085,7.21,0,US,526,TRUE,0.03,4.12,TRUE
30340724,Sporting Goods,8668.78,WHALE,1/26/18,1,326,26.59,1323,6.55,4,CN,1045,TRUE,0.06,4.45,TRUE
30786588,everything_else,2891.54,WHALE,2/22/18,6,299,9.67,2086,1.39,4,US,26,TRUE,0.13,4.79,TRUE
32585529,everything_else,1302.53,DOLPHIN,5/30/18,6,202,6.45,499,2.61,4,CN,5006,TRUE,0.04,4.05,TRUE
34149024,everything_else,950.53,DOLPHIN,8/16/18,38,124,7.67,102,9.32,0,VN,3679,TRUE,0.08,4.75,TRUE
34459076,everything_else,2960.79,DOLPHIN,9/4/18,3,105,28.2,1475,2.01,4,BG,26,TRUE,0.09,4.73,TRUE
35473948,home_garden,1394.45,WHALE,10/28/18,10,51,27.34,203,6.87,4,LT,2417,TRUE,0.05,4.55,TRUE
36162014,everything_else,245.84,MINNOW,12/4/18,3,14,17.56,96,2.56,4,US,0,TRUE,0.01,1,TRUE
36249064,everything_else,280.78,MINNOW,12/8/18,2,10,28.08,12,23.4,4,US,0,TRUE,0,0,TRUE
32222,everything_else,12605.24,SEA_BASS,12/30/08,8,3640,3.46,806,15.64,4,US,1582,TRUE,0.24,4.99,FALSE
34620,everything_else,10526.49,DOLPHIN,1/5/09,2557,3634,2.9,925,11.38,,US,40875,TRUE,0.04,4.59,FALSE
318833,everything_else,6909.91,DOLPHIN,1/8/10,1496,3266,2.12,1718,4.02,4,US,40,TRUE,0.09,4.87,TRUE
465384,parts_accessories,12423.42,DOLPHIN,5/1/10,74,3153,3.94,683,18.19,4,US,229,TRUE,0.08,3.78,TRUE
858548,everything_else,-254.29,DOLPHIN,1/5/11,546,2904,-0.09,2967,-0.09,,US,77395,TRUE,0.07,4.46,TRUE
1610337,fashion,9775.15,WHALE,1/10/12,32,2534,3.86,277,35.29,,JP,866,TRUE,0.2,4.82,TRUE
4400283,everything_else,10062.71,DOLPHIN,9/6/12,4,2294,4.39,933,10.79,,US,8707,TRUE,0.09,4.32,TRUE
4501545,everything_else,4146.52,DOLPHIN,10/2/12,879,2268,1.83,206,20.13,4,CA,84,TRUE,0.62,4.97,TRUE
5541077,fashion,11538.94,DOLPHIN,5/16/13,278,2042,5.65,282,40.92,,AE,378,TRUE,0.12,4.37,TRUE
5858029,everything_else,7833.5,DOLPHIN,8/1/13,4,1965,3.99,656,11.94,,US,1561,TRUE,0.07,3.93,TRUE
7672571,everything_else,7590.86,MINNOW,4/23/14,50,1700,4.47,1746,4.35,4,CA,3041,TRUE,0.01,4.68,TRUE
8466097,home_garden,6293.47,WHALE,6/17/14,80,1645,3.83,68,92.55,0,US,54,TRUE,0.15,4.2,TRUE
8802849,parts_accessories,3354.79,DOLPHIN,7/14/14,10,1618,2.07,986,3.4,4,US,24169,TRUE,0.05,4.38,TRUE
