id,amount,sold_on,fvf,source_em
51514552,67.9,4/3/18 2:37,3.85,8
52199858,101.85,5/8/18 8:23,6.05,4
52930558,25.99,4/21/18 9:54,0.91,4
53039989,151,4/3/18 7:09,8.97,8
53103181,188.5,4/5/18 13:58,6.6,0
53126562,219.46,4/1/18 9:17,14.81,8
53127320,75.5,4/1/18 12:32,4.89,3
53130442,368,4/1/18 13:42,24.51,8
53132859,196,4/1/18 16:08,12,8
53133144,15.35,4/1/18 16:22,1.95,8
53133649,40,4/7/18 12:06,5.2,8
53133874,15.35,4/1/18 17:01,1.78,8
53134905,44.12,4/2/18 19:11,5.45,4
53135945,37,4/2/18 19:12,3.33,4
53143667,76.5,4/2/18 4:15,5.3,8
53144923,38.25,4/2/18 6:14,2.34,8
53145022,38.25,4/2/18 6:19,2.55,8
53146355,113,4/2/18 7:54,7.22,8
53148062,38.25,4/2/18 9:41,2.51,8
53150435,14.39,4/2/18 12:05,2.08,8
53150473,38.25,4/2/18 12:05,2.1,8
53150644,45.52,4/2/18 12:09,5.92,8
53150969,142.5,4/2/18 12:42,9.23,8
53151762,32.62,4/2/18 14:21,4.09,8
53156155,113,4/2/18 15:19,6.41,8
53156344,37,4/2/18 15:26,3.33,8
53158987,15.35,4/2/18 17:25,2.19,8
53159080,38.25,4/2/18 17:24,2.65,8
53161196,70.4,4/13/18 8:50,4.37,8
53162914,28.79,4/2/18 21:08,3.66,8
53163086,37.45,4/2/18 21:02,2.36,8
53164455,67.9,4/2/18 22:54,4.03,8
53166169,37.45,4/3/18 2:25,2.43,8
53167104,38.39,4/3/18 4:27,4.74,8
53167168,15.35,4/3/18 4:42,1.78,8
53168041,135.8,4/3/18 6:11,8.31,8
53168687,74.7,4/3/18 7:09,4.24,8
53169322,32.8,4/3/18 7:48,2.15,8
53169458,37.35,4/3/18 7:49,2.25,8
53169829,27.82,4/3/18 8:30,0.97,5
53171399,37.35,4/3/18 10:08,2.49,8
53171458,45.99,4/3/18 10:08,4.14,8
53171511,37.35,4/3/18 10:08,2.45,8
53171646,37.35,4/3/18 10:26,2.02,8
53172353,107.5,4/3/18 11:47,7.35,8
53172766,33.5,4/3/18 11:22,2.32,8
53174006,50.85,4/3/18 12:53,6.09,16
53174085,37.35,4/3/18 12:36,2.66,8
53174418,32.8,4/3/18 13:04,1.98,8
53174486,37.35,4/3/18 13:16,2.18,8
53174571,67,4/3/18 13:00,3.92,8
53174573,37.5,4/3/18 13:01,2.03,8
53174801,33.5,4/3/18 13:08,2.05,8
53175747,70.3,4/3/18 13:27,4.56,8
53176033,74.7,4/3/18 13:40,6.72,22
53178182,87.8,4/3/18 16:06,3.07,2
53178234,276.05,4/3/18 15:54,18.63,8
53178237,10.55,4/3/18 15:48,1.2,8
53178770,32.8,4/3/18 16:21,1.89,8
53178831,37.35,4/3/18 16:30,2.22,8
53178915,10.88,4/3/18 16:26,0,8
53178946,107.5,4/3/18 16:31,6,8
53179274,32.8,4/3/18 16:51,2.13,8
53179497,33.5,4/3/18 17:12,1.93,8
53180852,32.8,4/3/18 18:17,1.95,8
53181135,29.69,4/3/18 18:28,3.86,8
53183339,74.7,4/3/18 20:33,4.64,8
53183414,37.5,4/3/18 20:16,2.26,8
53183716,37.35,4/3/18 20:29,2.15,8
53184848,65.6,4/3/18 21:32,4.61,8
53190929,37.35,4/4/18 6:41,2.02,8
53191415,65.6,4/4/18 7:16,4.61,8
53191417,149.4,4/4/18 7:16,8.2,8
53191472,37.35,4/4/18 7:18,2.29,8
53191630,65.6,4/4/18 7:27,3.6,8
53191818,32.8,4/4/18 7:44,1.8,8
53191970,32.9,4/4/18 8:32,2.19,8
53192761,32.8,4/4/18 8:43,2.18,8
53192925,150,4/4/18 8:58,9.99,8
53193242,37.35,4/4/18 9:34,2.62,8
53194522,297.75,4/4/18 10:38,26.8,22
53194566,37.35,4/5/18 12:08,2.25,8
53194831,74.7,4/4/18 10:58,5.18,8
53195269,246,4/4/18 11:22,16.83,16
53195578,174.5,4/4/18 12:13,10.99,8
53195581,32.8,4/4/18 11:39,2.33,8
53196861,368,4/4/18 12:57,23.52,4
53197391,203,4/4/18 13:32,7.11,2
53197602,53.99,4/4/18 13:39,4.86,22
53197941,112.05,4/4/18 14:54,6.76,8
53198154,135.75,4/4/18 14:08,8.67,4
53198460,37.35,4/4/18 14:28,2.42,8
53199315,32.9,4/4/18 15:20,1.84,8
53200322,32.9,4/4/18 16:16,2.16,8
53200389,186.75,4/4/18 16:32,10.42,8
53200829,32.9,4/4/18 16:46,1.78,8
53201338,37.5,4/4/18 17:29,2.4,8
53201686,59.38,4/4/18 18:27,7.72,8
53201831,70.15,4/4/18 17:44,3.85,8
53201887,112.5,4/5/18 7:58,6.99,8
53201954,226,4/4/18 19:00,14.24,8
53202091,32.9,4/4/18 18:01,1.95,8
53202097,98.4,4/4/18 18:10,6.11,8
53202405,216.3,4/4/18 18:32,13.43,8
53202459,32.8,4/4/18 18:20,2.1,4
53202623,56.64,4/4/18 18:32,1.98,8
53203257,99,4/4/18 19:13,6.86,8
53203389,112.05,4/4/18 19:19,3.92,0
53204443,74.7,4/4/18 20:38,5.18,3
53204444,37.5,4/4/18 20:09,2.19,8
53210378,65.8,4/5/18 2:54,4.56,8
53210693,32.9,4/5/18 3:33,1.81,8
53210872,74.7,4/5/18 3:52,4.03,8
53210939,65.6,4/5/18 4:05,4.07,8
53211116,32.9,4/5/18 4:25,2.19,8
53211956,368,4/6/18 11:18,26.16,8
53212043,395.6,4/5/18 6:27,23.5,8
53212194,98.7,4/5/18 6:44,6.57,8
53212667,38.5,4/5/18 6:49,1.35,0
53212810,37.35,4/5/18 7:11,2.08,8
53213141,37.35,4/5/18 7:26,2.35,8
53213388,14,4/5/18 7:48,1.26,8
53213910,32.9,4/5/18 8:17,2.13,8
53213946,32.9,4/5/18 9:25,1.84,8
53214298,102.95,4/5/18 9:13,6.3,8
53214396,37.5,4/10/18 7:57,2.23,15
53214650,178.6,4/6/18 7:31,11.89,8
53214839,140.3,4/5/18 18:13,7.96,8
53215399,9.59,4/5/18 9:56,1.24,8
53215504,65.8,4/5/18 10:14,4.56,8
53215519,32.8,4/5/18 10:05,1.86,8
53215667,37.35,4/5/18 10:14,2.15,8
53216042,186.75,4/5/18 11:57,11.26,8
53216055,108.4,4/5/18 10:38,6.63,8
53216645,74.7,4/5/18 11:25,4.3,8
53216989,12.35,4/5/18 11:42,1.2,8
53219292,29.75,4/5/18 14:16,3.73,8
53219633,150.5,4/5/18 14:42,9.08,8
53220554,70.4,4/5/18 15:43,3.99,8
53220634,37.35,4/5/18 15:44,2.42,8
53221159,222,4/5/18 16:29,14.19,4
53221247,112.05,4/5/18 16:27,6.35,8
53223266,37.35,4/5/18 18:24,2.62,8
53223549,37.5,4/5/18 18:38,2.26,8
53229156,255,4/6/18 3:12,15.38,8
53229244,102.95,4/6/18 3:08,6.12,8
53231424,70.15,4/6/18 6:13,4.17,8
53232890,112.05,4/6/18 7:37,7.16,8
53233399,240,4/7/18 3:26,13.61,8
53233492,37.35,4/6/18 8:33,2.35,4
53233575,65.8,4/6/18 8:25,4.26,8
53233700,65.6,4/6/18 8:31,4.01,8
53234116,103.3,4/6/18 9:05,5.58,8
53234481,32.8,4/6/18 9:27,1.8,8
53236179,135.95,4/10/18 10:24,13.45,8
53236262,131.6,4/6/18 10:13,9.36,8
53236409,37.35,4/6/18 10:15,2.45,3
53236524,37.35,4/6/18 10:26,2.22,8
53236973,37.5,4/6/18 10:54,2.23,8
53238032,32.8,4/6/18 12:15,2.15,8
53238312,113,4/6/18 12:41,7.53,8
53238449,38.38,4/6/18 14:02,5.47,4
53238975,74.7,4/6/18 13:23,5.31,8
53240099,32.8,4/6/18 15:19,1.92,8
53240113,37.35,4/6/18 14:47,2.05,8
53241164,74.7,4/6/18 16:15,4.98,8
53242602,14.39,4/6/18 17:59,1.89,8
53245051,26.8,5/5/18 10:59,1.45,8
53251700,32.9,4/7/18 3:57,1.87,8
53252045,37.35,4/7/18 5:52,2.02,8
53253937,37.35,4/7/18 7:53,2.08,8
53253983,37.35,4/7/18 7:59,2.62,8
53254236,74.7,4/7/18 8:14,4.5,8
53255448,107.5,4/7/18 9:58,7.45,8
53255524,206.4,4/7/18 10:33,11.33,8
53256685,45.1,4/7/18 11:28,6.26,8
53256875,32.9,4/7/18 11:26,1.87,8
53257404,112.5,4/7/18 12:08,7.29,8
53257878,164.3,4/7/18 12:39,11.68,8
53258582,70.15,4/7/18 13:45,6.31,22
53258932,23.06,4/7/18 13:49,1.89,8
53259074,37.5,4/7/18 13:58,2.5,8
53259106,32.8,4/7/18 14:04,1.8,8
53259745,26.8,4/7/18 15:47,0.94,0
53260330,70.15,4/7/18 15:22,4.74,8
53260343,70.15,4/7/18 15:20,4.23,8
53260389,32.9,4/7/18 15:31,1.98,4
53262245,32.8,4/7/18 17:31,1.92,8
53263174,113,4/7/18 18:33,7.12,8
53264159,37.35,4/7/18 19:44,2.15,8
53264551,131.2,4/7/18 20:10,7.79,8
53267063,32.9,4/8/18 8:10,1.9,4
53269019,37.35,4/8/18 4:27,2.42,8
53269194,37.5,4/8/18 4:52,2.63,8
53269380,37.35,4/8/18 5:11,2.59,8
