id,user_id,paid_date,amount,type,subscription_term_length,state,is_first_payment,is_last_payment,free_trial,membership_level
2442828,31077798,6/6/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2452932,30326635,6/2/18,140,MembershipPayment,12,complete,FALSE,TRUE,FALSE,Silver
2455055,28187788,6/1/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2455077,32609509,6/1/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2455536,28873340,6/1/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2456233,30833191,6/2/18,20,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Silver
2456428,32614774,6/2/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2456446,32630425,6/2/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2456454,32161515,6/2/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2456561,19077213,6/3/18,20,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Silver
2456675,31682827,6/3/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2456975,32645417,6/3/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2457123,32651549,6/3/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2457204,5217273,6/4/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2457220,7375211,6/4/18,140,MembershipPayment,12,refunded,FALSE,TRUE,FALSE,Silver
2457235,28489461,6/4/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2457265,30013675,6/4/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2457326,31944671,6/4/18,20,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Silver
2457378,25239599,6/4/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2457746,32572408,6/4/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2465984,27996768,6/6/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2466226,24250968,6/6/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2466541,852056,6/7/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2466833,32756808,6/7/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2466963,32764510,6/7/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2466993,7992881,6/8/18,20,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Silver
2467142,32781459,6/8/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
2467394,32717215,6/8/18,20,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Silver
