id,user_id,paid_date,amount,type,record_id,notes,gco_order_number,paypal_order_number,status,created_at,updated_at,subscription_term_length,state,parent_id,is_first_payment,is_last_payment,credits_remaining,credits_pregrant,burn_user_id,free_trial,membership_level,refund_date,processor_em,admin_granted,turbo_traffic_optimize_em,pricing_table_em
724993,7174997,3/11/17 4:05,100,MembershipPayment,80104,I-YLNX3U111523,,45M1256137890784Y,,3/6/14 10:13,3/17/18 1:23,12,complete,,TRUE,TRUE,0,,,FALSE,1,,2,FALSE,,
1467151,10212791,10/5/17 8:00,24,MembershipPayment,,I-XNFUAJ0BHU71,,8GN136033G9624357,,10/28/14 18:52,10/5/17 8:00,1,complete,,TRUE,,0,,,FALSE,,,2,FALSE,,
1493570,10614646,1/22/17 4:02,24,MembershipPayment,79092,I-UKAFSNB02VJ5,,3RD92611KJ4364949,,12/11/14 20:26,2/28/17 1:23,1,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
1585076,9270959,5/30/17 4:38,210,MembershipPayment,,I-4VRJJJGS369R,,3NA13559MY222163M,,5/20/15 13:58,6/1/17 10:12,12,refunded,,TRUE,,0,,,FALSE,,6/1/17 10:12,2,FALSE,,
1585881,12077924,5/27/17 3:56,770,MembershipPayment,,I-1A48DX6YC3C6,,56A76778N02329724,,5/22/15 15:39,5/27/17 3:56,12,complete,,TRUE,,0,,,FALSE,,,2,FALSE,,
1600389,12935258,7/17/17 4:17,40,MembershipPayment,84362,I-W1GP3X4EE5E5,,7H787396NJ479900F,,6/12/15 0:59,7/18/17 9:04,1,refunded,,TRUE,TRUE,0,,,FALSE,2,7/18/17 9:04,2,FALSE,,
1753524,16237752,2/3/17 4:08,70,MembershipPayment,79362,I-J4K0CUGGSM6X,,7M742262PD201312H,,1/24/16 8:58,3/9/17 1:23,1,complete,,TRUE,TRUE,0,,,FALSE,3,,2,FALSE,,
1754034,6501539,1/25/17 4:24,140,MembershipPayment,79172,I-LES8S75PHVCA,,18C67580FP924863G,,1/25/16 10:32,1/31/18 1:23,12,complete,,FALSE,TRUE,0,,,FALSE,1,,2,FALSE,,
1773089,16358056,2/22/17 9:21,290,MembershipPayment,79738,I-3XG48V66H7RV,,73F68563J0578733E,,2/17/16 9:56,2/28/18 1:23,12,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
1779753,13122173,3/1/17 14:10,660,MembershipPayment,79903,I-MLFLGW7P9TEU,,32527369WT0419236,,3/1/16 12:02,3/2/17 11:35,12,refunded,,FALSE,TRUE,0,,,FALSE,3,3/2/17 11:22,2,FALSE,,
1812628,17662032,4/8/17 7:01,290,MembershipPayment,81108,I-ACWMT6EJ2PLB,,0BG6376816505283J,,4/8/16 7:22,4/14/18 1:23,12,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
1917299,12456517,9/13/17 7:23,660,MembershipPayment,86027,I-UG191B5D9Y5A,,96Y27204HA993715X,,9/2/16 17:32,9/19/18 1:15,12,complete,,FALSE,TRUE,0,,,FALSE,3,,2,FALSE,,
1932174,20828033,1/25/17 4:29,20,MembershipPayment,79175,I-0TFY9Y5X7HCJ,,67T314341B7782011,,9/19/16 18:23,3/3/17 1:24,1,complete,,TRUE,TRUE,0,,,FALSE,1,,2,FALSE,,
1933034,4341323,2/21/17 3:35,70,MembershipPayment,79705,I-U5RGB9A5TWXT,,9TV650618N1515510,,9/21/16 15:49,2/22/17 10:38,1,refunded,,FALSE,TRUE,0,,,FALSE,3,2/22/17 10:38,2,FALSE,,
1958253,21057062,11/1/17 3:56,140,MembershipPayment,87258,I-K894EHG1PM3J,,8CC871575A8884728,,10/31/16 19:58,11/1/17 3:56,12,complete,,TRUE,,0,,,FALSE,1,,2,FALSE,,
1975127,21625353,5/29/17 3:40,40,MembershipPayment,82830,I-VAELH20PAAAP,,85W9807922171700Y,,11/18/16 23:04,7/5/17 1:23,1,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
1997897,17107251,12/14/17 4:54,290,MembershipPayment,88342,I-R376LHWMJHY2,,8CM54095V8620041P,,12/8/16 18:14,12/20/18 1:15,12,complete,,TRUE,TRUE,0,,,FALSE,2,,2,FALSE,,
2010419,22619614,1/8/17 4:45,140,MembershipPayment,78723,I-JSE3UGBB1D7D,,8C001064G3073081E,,12/29/16 8:59,1/9/17 13:45,12,refunded,,TRUE,TRUE,0,,,FALSE,1,1/9/17 13:45,2,FALSE,,
2011488,15886236,1/1/17 4:54,40,MembershipPayment,78518,I-BBSLVH456NGV,,4BJ46995RR617280Y,,12/31/16 17:33,1/1/17 4:54,1,complete,,FALSE,,0,,,FALSE,2,,2,FALSE,,
