,items_id,offer_id,amount,fvf,sold_on,full_name,fvf_pct
0,671763467,58864751,110.64,0.0,1/1/19 0:40,Handbags,0.0
1,671765069,58864703,33.9,6.44,1/1/19 0:43,DVDs & Blu-ray,0.18997050147492628
2,446375706,58864764,16.49,1.62,1/1/19 0:47,DVDs & Blu-ray,0.09824135839902973
3,671779307,58866049,59.5,4.46,1/1/19 1:22,DVDs & Blu-ray,0.07495798319327732
4,671786385,58866162,118.9,10.7,1/1/19 1:57,DVDs & Blu-ray,0.08999158957106812
5,671792231,58866468,13.41,0.87,1/1/19 2:19,DVDs & Blu-ray,0.06487695749440715
6,660273568,58866832,10.95,0.71,1/1/19 3:47,DVDs & Blu-ray,0.06484018264840183
7,565889453,58866853,81.0,21.3,1/1/19 4:14,DVDs & Blu-ray,0.26296296296296295
8,671245834,58867433,14.95,1.94,1/1/19 5:28,DVDs & Blu-ray,0.12976588628762542
9,662498341,58839245,104.3,13.56,1/1/19 5:36,Handbags,0.13000958772770854
10,671827699,58867848,9.57,0.86,1/1/19 6:21,DVDs & Blu-ray,0.08986415882967606
11,663244908,58867946,102.03,8.01,1/1/19 6:34,Handbags,0.07850632167009702
12,671831040,58867870,12.66,0.87,1/1/19 6:36,DVDs & Blu-ray,0.06872037914691943
13,671833104,58868027,299.69,26.07,1/1/19 6:46,Handbags,0.08698988955253763
14,671840352,58868351,25.49,2.03,1/1/19 7:26,DVDs & Blu-ray,0.0796390741467242
15,671843512,58868455,139.0,12.51,1/1/19 7:46,Handbags,0.09
16,671852738,58869069,16.2,0.75,1/1/19 8:16,DVDs & Blu-ray,0.0462962962962963
17,671858388,58869279,35.55,0.0,1/1/19 8:39,DVDs & Blu-ray,0.0
18,671858588,58869244,32.9,6.25,1/1/19 8:40,DVDs & Blu-ray,0.1899696048632219
19,671859357,58869392,134.87,11.24,1/1/19 8:43,Handbags,0.0833395121227849
20,668817260,58869557,9.45,0.61,1/1/19 8:59,DVDs & Blu-ray,0.06455026455026455
21,318257856,58869547,5.99,0.78,1/1/19 9:00,DVDs & Blu-ray,0.1302170283806344
22,671864121,58869593,27.77,1.71,1/1/19 9:08,DVDs & Blu-ray,0.061577241627655745
23,382423762,58869612,11.99,1.56,1/1/19 9:09,Software,0.13010842368640535
24,671865530,58860289,40.0,1.4,1/1/19 9:17,DVDs & Blu-ray,0.034999999999999996
25,613085030,58869742,8.91,0.54,1/1/19 9:18,DVDs & Blu-ray,0.06060606060606061
26,671866144,58869803,38.0,4.55,1/1/19 9:20,DVDs & Blu-ray,0.11973684210526316
27,671866536,58869667,37.8,1.32,1/1/19 9:22,Handbags,0.03492063492063492
28,671876516,58870395,12.53,0.5,1/1/19 10:08,DVDs & Blu-ray,0.03990422984836393
29,668911129,58870275,86.13,5.74,1/1/19 10:09,DVDs & Blu-ray,0.06664344595379079
30,671877774,58870334,15.95,3.03,1/1/19 10:15,DVDs & Blu-ray,0.18996865203761756
31,671879390,58870591,59.99,5.4,1/1/19 10:22,DVDs & Blu-ray,0.09001500250041673
32,671882243,58870717,59.99,5.4,1/1/19 10:32,DVDs & Blu-ray,0.09001500250041673
33,671883291,58870621,39.42,3.55,1/1/19 10:35,DVDs & Blu-ray,0.09005580923389142
34,671883900,58870795,11.68,1.05,1/1/19 10:37,DVDs & Blu-ray,0.08989726027397262
35,671884784,58868041,103.0,12.09,1/1/19 10:41,DVDs & Blu-ray,0.11737864077669903
36,671887729,58870986,38.94,3.08,1/1/19 10:53,DVDs & Blu-ray,0.07909604519774012
37,671889027,58871003,259.62,22.03,1/1/19 10:59,DVDs & Blu-ray,0.084854787766736
38,671894828,58794308,8.0,0.72,1/1/19 11:23,DVDs & Blu-ray,0.09
39,670576948,58871368,25.41,2.02,1/1/19 11:29,DVDs & Blu-ray,0.07949626131444314
40,671896245,58871472,49.95,14.99,1/1/19 11:32,Men's clothing,0.3001001001001001
41,671897841,58871535,22.99,2.07,1/1/19 11:41,DVDs & Blu-ray,0.0900391474554154
42,671900879,58871831,119.99,10.8,1/1/19 11:53,DVDs & Blu-ray,0.0900075006250521
43,641445585,58871857,84.59,7.61,1/1/19 11:55,Handbags,0.08996335264215628
44,671901370,58871486,229.63,19.96,1/1/19 11:56,Handbags,0.0869224404476767
45,645950364,58872105,19.11,2.09,1/1/19 12:18,DVDs & Blu-ray,0.10936682365253793
46,429392009,58872197,14.47,1.9,1/1/19 12:27,DVDs & Blu-ray,0.13130615065653073
47,671907814,58872174,23.07,2.08,1/1/19 12:29,Watches,0.09016038144776767
48,671908129,58872252,155.29,13.08,1/1/19 12:32,Handbags,0.08422950608538864
49,671909626,58872439,27.99,2.52,1/1/19 12:42,DVDs & Blu-ray,0.09003215434083602
50,670452615,58871471,155.29,13.08,1/1/19 12:45,Handbags,0.08422950608538864
51,671911666,58872555,119.99,10.8,1/1/19 12:51,DVDs & Blu-ray,0.0900075006250521
52,623728621,58815125,40.11,2.96,1/1/19 12:51,DVDs & Blu-ray,0.0737970580902518
53,617366823,58872542,24.61,1.43,1/1/19 12:53,DVDs & Blu-ray,0.05810646078829744
54,671912614,58871918,14.95,0.96,1/1/19 12:54,DVDs & Blu-ray,0.06421404682274248
55,671913084,58872651,11.27,0.63,1/1/19 12:56,DVDs & Blu-ray,0.055900621118012424
56,671915752,58872768,7.88,1.5,1/1/19 13:03,Car & Truck Parts,0.1903553299492386
57,671919280,58841434,12.79,0.7,1/1/19 13:16,DVDs & Blu-ray,0.054730258014073496
58,671919565,58775198,14.41,0.94,1/1/19 13:17,DVDs & Blu-ray,0.06523247744621789
59,671931425,58873516,24.98,2.6,1/1/19 13:41,DVDs & Blu-ray,0.10408326661329063
60,671935564,58873528,24.99,2.25,1/1/19 13:46,DVDs & Blu-ray,0.09003601440576231
61,671936586,58873556,25.15,2.26,1/1/19 13:48,DVDs & Blu-ray,0.08986083499005963
62,671937688,58873626,16.5,3.14,1/1/19 13:50,DVDs & Blu-ray,0.1903030303030303
63,584488056,58873601,5.91,0.5,1/1/19 13:56,DVDs & Blu-ray,0.08460236886632826
64,671954453,58873972,24.95,2.25,1/1/19 14:15,DVDs & Blu-ray,0.09018036072144289
65,671960453,58874147,119.99,7.45,1/1/19 14:27,DVDs & Blu-ray,0.06208850737561464
66,671967352,58874305,12.71,0.6,1/1/19 14:38,DVDs & Blu-ray,0.047206923682140044
67,671973497,58874476,21.9,2.39,1/1/19 14:49,DVDs & Blu-ray,0.10913242009132422
68,669160805,58874459,29.9,3.89,1/1/19 14:50,DVDs & Blu-ray,0.13010033444816055
69,638329809,58874487,169.19,15.23,1/1/19 14:50,Handbags,0.09001714049293694
70,671976619,58873735,24.45,1.62,1/1/19 14:55,DVDs & Blu-ray,0.06625766871165645
71,671970563,58874640,14.95,1.94,1/1/19 15:00,DVDs & Blu-ray,0.12976588628762542
72,602916628,58874636,5.65,0.5,1/1/19 15:02,DVDs & Blu-ray,0.08849557522123894
73,671982269,58874676,61.0,5.49,1/1/19 15:06,Home & Garden,0.09
74,671982704,58874698,67.96,0.0,1/1/19 15:06,DVDs & Blu-ray,0.0
75,647601703,58874644,22.96,2.57,1/1/19 15:07,DVDs & Blu-ray,0.11193379790940765
76,671983059,58874717,16.41,1.21,1/1/19 15:07,DVDs & Blu-ray,0.07373552711761121
77,659808128,58874871,12.95,0.84,1/1/19 15:16,DVDs & Blu-ray,0.06486486486486487
78,671993840,58875007,16.0,1.08,1/1/19 15:28,DVDs & Blu-ray,0.0675
79,671996898,58875296,25.49,2.03,1/1/19 15:50,DVDs & Blu-ray,0.0796390741467242
80,541358511,58875209,69.95,4.2,1/1/19 15:58,Home & Garden,0.06004288777698356
81,671516022,58875370,31.85,1.75,1/1/19 16:00,DVDs & Blu-ray,0.054945054945054944
82,672000767,58875684,54.18,4.5,1/1/19 16:19,DVDs & Blu-ray,0.08305647840531562
83,672000852,58875543,54.18,4.5,1/1/19 16:19,DVDs & Blu-ray,0.08305647840531562
84,528054976,58875616,8.75,0.58,1/1/19 16:20,DVDs & Blu-ray,0.06628571428571428
85,519469881,58875946,9.95,0.59,1/1/19 16:37,DVDs & Blu-ray,0.0592964824120603
86,664399869,58876110,119.9,10.79,1/1/19 16:51,Handbags,0.08999165971643035
87,642853216,58875211,15.87,1.07,1/1/19 16:53,DVDs & Blu-ray,0.06742281033396345
88,672006447,58876130,20.98,2.08,1/1/19 16:58,DVDs & Blu-ray,0.09914204003813155
89,672006974,58876221,17.0,2.21,1/1/19 17:02,DVDs & Blu-ray,0.13
90,656122714,58876598,10.0,1.3,1/1/19 17:14,DVDs & Blu-ray,0.13
91,672008521,58876617,150.75,12.67,1/1/19 17:14,Handbags,0.08404643449419569
92,672011840,58877124,42.5,8.08,1/1/19 17:28,DVDs & Blu-ray,0.19011764705882353
93,672013578,58875954,52.0,6.76,1/1/19 17:34,Handbags,0.13
94,664887625,58877257,20.0,2.6,1/1/19 17:35,DVDs & Blu-ray,0.13
95,672015605,58877377,25.49,2.03,1/1/19 17:39,DVDs & Blu-ray,0.0796390741467242
96,668601494,58877391,88.7,7.2,1/1/19 17:42,Handbags,0.08117249154453213
97,672018173,58877457,50.85,9.66,1/1/19 17:49,DVDs & Blu-ray,0.18997050147492625
98,672025365,58877806,20.0,2.6,1/1/19 18:17,DVDs & Blu-ray,0.13
99,672038370,58878248,11.98,1.56,1/1/19 18:49,DVDs & Blu-ray,0.1302170283806344
100,671688504,58878381,44.64,2.03,1/1/19 18:52,DVDs & Blu-ray,0.045474910394265225
101,523965826,58878416,12.95,0.8,1/1/19 18:52,DVDs & Blu-ray,0.061776061776061784
102,662047965,58877676,37.84,2.69,1/1/19 18:53,DVDs & Blu-ray,0.07108879492600421
103,670564243,58878573,14.84,1.34,1/1/19 19:02,DVDs & Blu-ray,0.09029649595687332
104,549056080,58878732,12.66,0.87,1/1/19 19:15,DVDs & Blu-ray,0.06872037914691943
105,663935777,58878775,49.49,6.43,1/1/19 19:18,Handbags,0.12992523742170134
106,662701613,58878809,16.41,1.21,1/1/19 19:22,DVDs & Blu-ray,0.07373552711761121
107,672049984,58878957,99.99,9.0,1/1/19 19:35,Handbags,0.09000900090009001
108,672050000,58879011,9.0,0.81,1/1/19 19:35,DVDs & Blu-ray,0.09000000000000001
109,672053133,58879088,54.18,4.5,1/1/19 19:41,DVDs & Blu-ray,0.08305647840531562
110,659229083,58879094,34.87,3.14,1/1/19 19:46,DVDs & Blu-ray,0.09004875250932035
111,672060478,58879410,45.4,4.49,1/1/19 20:04,DVDs & Blu-ray,0.09889867841409693
112,672062949,58879453,12.66,0.87,1/1/19 20:11,DVDs & Blu-ray,0.06872037914691943
113,672073495,58879865,50.85,0.0,1/1/19 20:45,DVDs & Blu-ray,0.0
114,672073577,58879968,155.0,13.95,1/1/19 20:45,Handbags,0.09
115,671521897,58880792,79.99,7.2,1/1/19 21:24,DVDs & Blu-ray,0.09001125140642581
116,672087277,58880606,33.98,3.9,1/1/19 21:30,DVDs & Blu-ray,0.11477339611536198
117,672088199,58880890,59.99,7.8,1/1/19 21:34,DVDs & Blu-ray,0.13002167027837971
118,672092526,58881027,12.0,1.08,1/1/19 21:47,DVDs & Blu-ray,0.09000000000000001
119,509048422,58881012,13.47,1.71,1/1/19 21:49,DVDs & Blu-ray,0.12694877505567928
120,672096608,58881182,101.99,1.53,1/1/19 22:01,DVDs & Blu-ray,0.015001470732424749
121,669491371,58880015,978.04,72.17,1/1/19 22:06,Handbags,0.07379043801889494
122,524558533,58881213,13.9,0.94,1/1/19 22:19,DVDs & Blu-ray,0.06762589928057554
123,664819570,58882709,46.74,4.21,1/1/19 23:42,DVDs & Blu-ray,0.09007274283269148
124,670576893,58882857,25.41,2.02,1/2/19 0:02,DVDs & Blu-ray,0.07949626131444314
125,672143424,58882909,23.49,4.46,1/2/19 0:10,Software,0.18986802894848873
126,658184614,58883986,9.69,0.5,1/2/19 2:45,Vitamins,0.05159958720330238
127,620381473,58884569,19.99,0.0,1/2/19 4:25,DVDs & Blu-ray,0.0
128,672191871,58884888,52.66,1.84,1/2/19 5:15,Men's shoes,0.03494113178883403
129,672195381,58885096,101.99,1.53,1/2/19 5:40,DVDs & Blu-ray,0.015001470732424749
130,672198732,58885311,103.88,0.0,1/2/19 6:06,Handbags,0.0
131,672198948,58885319,67.99,6.12,1/2/19 6:08,DVDs & Blu-ray,0.0900132372407707
132,672201582,58885518,10.99,0.99,1/2/19 6:28,DVDs & Blu-ray,0.09008189262966333
133,672202279,58722622,49.89,4.49,1/2/19 6:31,DVDs & Blu-ray,0.08999799559029865
134,672203322,58885578,59.99,5.4,1/2/19 6:36,DVDs & Blu-ray,0.09001500250041673
135,672203596,58885603,45.95,4.14,1/2/19 6:38,DVDs & Blu-ray,0.09009793253536451
136,587065194,58885513,6.66,0.5,1/2/19 6:43,DVDs & Blu-ray,0.07507507507507508
137,672205143,58885693,9.99,1.3,1/2/19 6:48,DVDs & Blu-ray,0.13013013013013014
138,672208574,58885982,14.02,0.81,1/2/19 7:19,DVDs & Blu-ray,0.05777460770328103
139,665443524,58880137,48.51,0.0,1/2/19 7:21,Handbags,0.0
140,672209209,58886030,199.99,26.0,1/2/19 7:22,Handbags,0.13000650032501623
141,672209936,58886024,47.67,5.2,1/2/19 7:25,DVDs & Blu-ray,0.10908328088944828
142,672211199,58886053,13.79,0.89,1/2/19 7:31,DVDs & Blu-ray,0.06453952139231328
143,672213052,58886204,29.84,0.88,1/2/19 7:37,DVDs & Blu-ray,0.029490616621983913
144,672213815,58886285,19.0,1.35,1/2/19 7:40,DVDs & Blu-ray,0.07105263157894737
145,672215596,58861133,24.99,2.25,1/2/19 7:47,DVDs & Blu-ray,0.09003601440576231
146,672215699,58886350,14.5,2.76,1/2/19 7:49,DVDs & Blu-ray,0.19034482758620688
147,672215856,58886344,39.42,3.55,1/2/19 7:51,DVDs & Blu-ray,0.09005580923389142
148,672215865,58886362,39.72,3.57,1/2/19 7:51,Watches,0.08987915407854985
149,672216018,58886179,95.0,0.0,1/2/19 7:52,Handbags,0.0
150,672216294,58886334,69.7,5.37,1/2/19 7:54,DVDs & Blu-ray,0.07704447632711621
151,672218047,58886386,100.0,13.0,1/2/19 8:04,DVDs & Blu-ray,0.13
152,672224175,58887101,29.99,2.7,1/2/19 8:46,DVDs & Blu-ray,0.09003001000333445
153,672225181,58887192,23.99,3.12,1/2/19 8:56,Handbags,0.13005418924551898
154,672227137,58887259,14.77,1.92,1/2/19 9:11,DVDs & Blu-ray,0.12999322951929587
155,652254951,58887562,14.83,1.01,1/2/19 9:20,DVDs & Blu-ray,0.06810519217801753
156,672229212,58887734,26.0,3.38,1/2/19 9:31,DVDs & Blu-ray,0.13
157,672229244,58886550,24.98,1.98,1/2/19 9:31,DVDs & Blu-ray,0.07926341072858287
158,672230446,58887765,11.9,0.63,1/2/19 9:36,DVDs & Blu-ray,0.052941176470588235
159,665536052,58887899,31.0,2.2,1/2/19 9:43,DVDs & Blu-ray,0.07096774193548387
160,638854710,58887907,172.25,22.39,1/2/19 9:44,Handbags,0.1299854862119013
161,672232196,58887969,25.0,2.25,1/2/19 9:49,DVDs & Blu-ray,0.09
162,672237217,58888289,24.99,2.25,1/2/19 10:13,DVDs & Blu-ray,0.09003601440576231
163,664462587,58888168,12.66,0.87,1/2/19 10:19,DVDs & Blu-ray,0.06872037914691943
164,672238545,58876139,92.0,7.38,1/2/19 10:22,Handbags,0.08021739130434782
165,672238897,58887890,52.66,1.84,1/2/19 10:25,Men's shoes,0.03494113178883403
166,587062385,58888606,6.66,0.5,1/2/19 10:39,DVDs & Blu-ray,0.07507507507507508
167,672245248,58889110,12.99,1.17,1/2/19 11:13,DVDs & Blu-ray,0.09006928406466512
168,670006466,58887905,11.86,0.8,1/2/19 11:20,DVDs & Blu-ray,0.06745362563237775
169,672246496,58889245,40.0,3.6,1/2/19 11:24,DVDs & Blu-ray,0.09
170,672246552,58889228,57.77,0.0,1/2/19 11:24,DVDs & Blu-ray,0.0
171,672246879,58889270,89.97,8.1,1/2/19 11:27,DVDs & Blu-ray,0.09003001000333444
172,625356520,58889429,6.66,0.5,1/2/19 11:36,DVDs & Blu-ray,0.07507507507507508
173,672243086,58783346,40.0,3.15,1/2/19 11:47,DVDs & Blu-ray,0.07875
174,670844689,58889890,12.66,0.87,1/2/19 12:03,DVDs & Blu-ray,0.06872037914691943
175,665162358,58890072,14.95,0.52,1/2/19 12:07,DVDs & Blu-ray,0.034782608695652174
176,672255733,58890140,11.99,2.28,1/2/19 12:11,DVDs & Blu-ray,0.19015846538782316
177,672258559,58890436,49.89,4.49,1/2/19 12:31,DVDs & Blu-ray,0.08999799559029865
178,672259512,58889970,239.99,8.4,1/2/19 12:36,DVDs & Blu-ray,0.03500145839409975
179,672260467,58890416,13.08,0.83,1/2/19 12:43,DVDs & Blu-ray,0.06345565749235474
180,539493944,58890847,16.0,1.44,1/2/19 12:55,DVDs & Blu-ray,0.09
181,672262438,58890838,10.95,1.42,1/2/19 12:56,Software,0.12968036529680366
182,672263480,58891033,59.98,6.5,1/2/19 13:07,DVDs & Blu-ray,0.10836945648549517
183,672264497,58891067,13.41,0.94,1/2/19 13:16,DVDs & Blu-ray,0.07009694258016405
184,671327315,58841914,35.99,4.03,1/2/19 13:19,DVDs & Blu-ray,0.11197554876354543
185,672265140,58891144,49.89,4.49,1/2/19 13:20,DVDs & Blu-ray,0.08999799559029865
186,672267177,58891578,18.24,3.09,1/2/19 13:40,DVDs & Blu-ray,0.16940789473684212
187,672267607,58875679,58.9,5.3,1/2/19 13:42,DVDs & Blu-ray,0.0899830220713073
188,672267785,58891698,9.0,0.81,1/2/19 13:45,DVDs & Blu-ray,0.09000000000000001
189,672269907,58891827,12.9,2.45,1/2/19 14:07,DVDs & Blu-ray,0.18992248062015504
190,642159233,58892275,59.16,17.75,1/2/19 14:24,DVDs & Blu-ray,0.30003380662609874
191,672275251,58666506,53.19,4.79,1/2/19 14:31,DVDs & Blu-ray,0.09005452152660275
192,672277130,58892616,14.99,1.94,1/2/19 14:42,Software,0.12941961307538358
193,512265289,58892767,9.86,0.89,1/2/19 14:59,DVDs & Blu-ray,0.09026369168356999
194,672282765,58893072,76.0,9.1,1/2/19 15:14,DVDs & Blu-ray,0.11973684210526316
