id,gmv
1201,987.84
11290,413.93
15984,84.20
17467,1002.18
28199,2079.77
28361,242.70
40906,52.67
41078,414.60
49654,2276.94
49808,43.96
51831,402.75
52534,916.10
73282,28.81
88199,26412.58
113421,2121.74
120467,4513.21
127122,497.49
142852,220.05
145863,7478.27
168856,953.38
170867,1314.41
284267,47.00
292652,7225.26
315619,3559.02
386455,4582.15
438044,15331.38
465384,10836.06
484857,10316.44
560910,509.74
615335,1339.92
703586,77.70
777945,54735.57
839330,53.63
951337,1227.06
987225,244.76
1176223,10.53
1347269,357.48
1481832,31285.56
1549818,508.58
1579564,54.93
1644190,6.70
2482111,1799.97
3934101,199.80
4065915,34.98
4119871,2292.18
4130067,5377.87
4170689,449.42
4366095,12693.86
4369027,70011.28
4439381,2533.10
4479487,355.00
4500801,69.96
4504025,616.16
4522105,1762.65
4625185,8109.36
4655395,1206.19
4815033,105.79
4877481,38289.16
5124907,99.38
5327749,21382.62
5483313,2353.10
5521395,26523.39
5559739,49.49
5792029,17239.47
5880051,582.71
5905287,12321.34
6003331,12633.62
6083377,969.07
6183101,733.44
6430185,808.41
6469617,302.42
6681329,143.67
6692575,385.00
6704445,3312.58
6743011,1090.50
6833369,22363.80
6878037,729.14
6992439,2025.87
6992917,6825.95
7080279,128.90
7167281,1642.97
7269347,28710.49
7332067,81.00
7421875,162.42
7647921,4213.60
7706077,17064.13
7735349,7196.10
7754817,14.90
7930703,8565.07
7962757,925.04
8111643,478.50
8112083,469.67
8125033,304.24
8223861,10818.56
8366293,1376.64
8494129,2319.75
8516003,7709.85
8571135,81.69
8620019,12334.07
8631771,122.53
8633333,263.94
8678633,8276.00
8684111,2368.63
8691111,7105.54
8733609,1076.75
8742113,216.15
8766229,151.72
8802849,16591.98
8825925,8162.68
8829467,216.51
8911697,510.93
8976055,27374.96
9104653,9667.85
9231439,181.00
9301681,5576.05
9361317,36.24
9435705,32991.78
9458381,362.54
9502409,1470.87
9533173,666.00
9634775,14.21
9643285,11559.25
9678861,3602.86
9722307,295.51
9733067,4987.91
9740633,1293.12
9779710,6841.97
9783620,898.55
9790193,9827.23
9809905,144.44
9852073,4183.69
9894050,9884.53
9975221,15524.31
9975502,348.48
9981811,16687.72
10004617,4546.74
10056647,283.86
10103603,12301.01
10123775,722.87
10146218,11205.32
10206406,1254.62
10373682,420.35
10400474,1877.78
10409905,16.00
10522484,6684.54
10532579,619.10
10594395,38.61
10599487,2221.99
10660150,820.00
10706524,7514.66
10800723,124.25
10954904,29.50
11082674,4513.62
11093553,970.49
11109252,2930.22
11182769,2919.30
11328699,657.58
11348925,167.04
11439305,3340.13
11455360,3829.00
11463286,268.13
11475208,2650.66
11586609,28179.65
11719854,626.14
11757289,264.58
11846104,1308.92
11848520,12976.61
11873118,581.37
11895321,678.46
11928456,1007.73
11980228,667.56
12028941,2581.03
12031456,498.22
12096032,4967.90
12102905,342.47
12123305,26067.45
12146156,16490.34
12169649,6459.72
12227450,3013.49
12309480,103.07
12310570,3402.79
12324714,1685.37
12371118,13879.75
12379762,330.00
12396295,204.08
12752919,1512.05
12834914,27.98
12847049,11237.53
12852648,299.59
12860188,198.00
12875978,67053.36
12876779,5563.27
12916078,18.00
12923019,564.93
13062658,653.12
13066072,5900.94
13143157,401.75
13143352,105.09
13217828,19633.63
13230949,1550.93
13301200,2506.67
13384198,632.61
13451527,1203.93
13539469,4665.44
13551384,555.69
13599113,2276.15
13601863,140.53
13636867,91.33
13759678,8675.07
13769393,3215.70
13872568,16650.32
13892734,107.44
13902989,49779.58
13929461,2530.26
13952759,257.56
14035703,12211.29
14083009,1102.42
14127878,377.04
14131503,94.05
14136825,565.37
14203136,57723.09
14203597,699.95
14256080,731.45
14341500,1600.89
14432060,1460.44
14460500,2325.10
14475850,7597.10
14510985,2642.11
14533899,8539.94
14550838,10047.99
14577925,7363.95
14654032,2763.57
14656240,6755.75
14657892,4547.07
14668278,1369.00
14766529,23.34
14823260,500.62
14859965,1734.71
14893129,1654.00
14918263,700.00
14943394,20425.05
15045937,694.26
15047597,227.68
15081311,461.35
15375565,20600.75
15377068,5105.06
15378480,4714.60
15429321,2273.20
15660442,1916.67
15717058,715.80
15723135,34.97
15745984,817.23
16018908,206.00
16050089,3685.00
16093038,237.12
16097507,6684.92
16107318,467.79
16114437,6530.58
16134945,4815.39
16241905,297.70
16520612,4835.50
16557591,927.71
16596427,6.74
16666806,18.02
16816251,40.50
16888728,21077.87
17012419,144424.83
17109719,1770.56
17357091,192.23
18079342,3438.35
18361579,597.94
18502688,2499.12
18527067,9397.66
18537898,374.93
18569901,1178.55
18612616,73.10
18653017,570.89
18698986,1342.02
18789511,2978.00
18864961,82.04
18918111,15.93
18945909,526.84
18961130,29.99
18973907,4394.80
18975842,35966.61
18991621,3123.33
19171705,2624.79
19214965,60.00
19215142,410.22
19262349,17.42
19285203,620.14
19340437,1531.30
19423611,3932.00
19433662,67.39
19440769,4150.28
19478033,753.98
19482173,310.84
19495323,12878.12
19570168,1353.50
19590082,1611.87
19643271,2425.07
19671233,502.12
19877374,48.25
19877587,307.95
19954369,5034.80
20048790,1103.24
20070332,654.60
20090013,671.15
20101745,287.91
20102310,172.94
20116812,2033.00
20131265,974.47
20144469,747.75
20176684,224.01
20230533,142.99
20300176,230.38
20312815,1167.30
20437879,4690.57
20438242,983.49
20483307,20231.90
20536507,165.18
20543582,5814.87
20612997,17839.22
20649354,394.98
20670810,7892.72
20676694,2872.04
20681322,3328.81
20691510,38.65
20705449,693.65
20735621,201.89
20818925,2721.18
20831547,7283.65
20882801,55.17
21004165,954.65
21138048,9432.93
21195517,3216.30
21286563,1687.46
21295321,4546.90
21332511,1168.15
21345494,9186.54
21361000,760.74
21370187,602.98
21414467,530.02
21549291,2504.59
21555759,188.47
21634133,363.31
21766508,418.03
21791768,1050.00
21801418,2457.70
22049496,638.78
22059625,3041.24
22068784,50252.77
22074643,4407.27
22089803,250.40
22369105,3187.23
22408225,1702.79
22463766,347.61
22473671,575.00
22488614,663.36
22516513,18075.36
22521187,353.18
22646011,20.42
22939805,6211.10
23014142,320.66
23061647,2166.93
23123062,94.90
23148429,816.50
23160857,11143.55
23165801,4563.61
23178689,17721.25
23215191,12.50
23310251,284.28
23400595,34.28
23422256,20101.78
23428653,8202.85
23527266,7455.24
23557585,1048.11
23608041,8.99
23617583,4156.55
23633056,7549.91
23686643,1700.99
23748307,187.97
23831799,13084.53
23912605,974.93
23943352,7185.82
24009594,2708.58
24023779,1834.90
24024943,184.52
24029440,4081.35
24145172,67.14
24180525,4823.47
24233194,17811.96
24256995,157.09
24271802,425.38
24297345,280.99
24332516,260.24
24347020,1954.63
24366132,90.76
24450875,56.17
24459483,821.31
24488217,416.05
24496804,312.39
24538778,225.00
24762700,8775.23
24789711,704.83
24919791,557.64
24975245,138.89
24976403,10899.91
24985523,4110.73
25019564,238.88
25222703,4664.17
25276792,606.00
25360366,32111.96
25383503,8498.28
25389320,15978.16
25422552,5681.08
25539141,19283.35
25539955,20404.14
25623282,53.51
25631905,440.84
25696083,77.30
25747735,1614.50
25812115,6240.29
25932264,631.95
25972734,1161.76
25982058,2913.85
26018876,81.32
26108518,872.06
26169644,19.00
26179996,591.03
26221021,37.71
26245036,2877.88
26272126,5429.93
26306625,273.03
26333381,7926.75
26395684,43411.36
26409070,1352.79
26438509,599.99
26458027,6.99
26458455,14881.09
26481694,1511.71
26483138,491.40
26492070,1019.35
26506871,1111.24
26511587,2498.82
26516558,56.52
26545100,2235.61
26722352,37.92
26741781,12847.55
26819186,47.38
26847058,3778.02
26854406,63.00
26860549,51078.14
26916038,1544.82
26942119,143256.25
26959084,964.55
26975443,167.82
27026296,6681.20
27031654,42.78
27081735,1098.52
27150662,5058.48
27181386,8496.03
27209413,2430.00
27212266,31.88
27293869,4047.00
27350805,5844.19
27365596,1868.64
27408231,20172.66
27414350,726.68
27472020,267.47
27515811,1272.14
27551945,44.92
27574071,167.52
27622174,286.14
27676991,1686.31
27760596,13021.27
27781257,85.33
27818793,7739.28
27828144,13.24
27870789,280.00
27896483,1261.86
27924498,24390.76
27974235,82630.35
28087573,12.99
28090635,2787.22
28138470,548.58
28248134,259.10
28249804,704.37
28282233,313.70
28312784,560.52
28314164,537.30
28339857,20883.99
28452089,115.02
28573272,2985.95
28594309,80.43
28607377,1112.30
28646204,38.65
28657107,54.00
28728987,236.35
28739509,13034.85
28750320,353.04
28816857,6550.69
28822588,496.00
28828717,73.97
28870221,443.98
28893004,2489.27
28913617,860.61
29030061,56.05
29045892,4.95
29078070,771.11
29137451,225.00
29140933,495.25
29242763,201.57
29306134,91.00
29339495,976.55
29355675,194.39
29494551,10.35
29507091,12469.33
29581931,497.48
29596491,228.99
29597714,1636.88
29610180,91.90
29657143,1675.33
29670499,138.87
29715097,107.42
29716885,3381.03
29727677,121.39
29771706,502.29
29805427,205.97
29814053,11030.00
29843351,786.78
29845484,332.44
29872176,746.68
29948113,1940.55
29950663,334.19
29987336,213.70
29987558,8061.94
30012435,827.58
30018495,2909.79
30039896,4199.00
30045549,173.99
30080465,1166.63
30094000,24.00
30230515,1815.85
30246613,1337.28
30251393,631.39
30303878,443.43
30317548,17.60
30330112,128.07
30372364,953.18
30374423,19639.85
30386717,6969.74
30392504,40.53
30450961,188.21
30452637,274.68
30522514,233.30
30631360,39137.66
30636775,338.04
30682645,593.39
30683071,63.08
30731164,3.75
30760789,690.76
30771821,31303.67
30771972,11252.64
30784815,4765.18
30830897,107.06
30863883,210.47
30870975,7234.95
30887858,2133.37
30903200,1003.50
30922324,6649.36
30943345,1056.87
30964456,105.23
30996711,594.11
30996914,2998.41
31000283,892.18
31020581,7772.73
31042678,533.89
31109829,599.81
31121902,4119.33
31128022,89.80
31143114,1809.94
31148232,97.44
31152616,1784.98
31165296,44.15
31178100,250.07
31197630,177.09
31262973,35257.86
31300806,144.36
31413717,866.16
31428488,339.08
31504495,521.06
31511586,435.66
31514907,864.78
31543748,32709.13
31618335,1436.00
31739752,134.27
31744338,391.49
31744834,1178.92
31746857,20671.08
31751722,1518.10
31797594,147.60
31863478,194.99
31881207,254.97
31906760,321.11
31934261,25.00
32019665,2769.97
32058855,15849.74
32078227,1644.68
32193628,1535.10
32197861,922.48
32210845,762.15
32281662,13.62
32291346,1024.07
32303905,14.99
32474655,69.19
32509642,1223.80
32546785,5253.09
32569115,52.61
32612687,794.73
32665263,205.97
32753717,319.97
32845734,13620.78
32867433,868.18
32870663,7.48
