seller_id,profit_estimate,value_em,user_created,booth_created,first_sale,days_to_sale,country,state,city,committed,year_sales,year_amount,year_fvf,items_for_sale,sales,source_em,entry_source_em,inventory_source_em,entry_url,entry_query
28893004,76.00,sea_bass,11/15/17,11/15/17,12/4/17,19,TH,,Bang Yai,TRUE,86.00,2647.77,156.59,1288,95,social,,1,,
14203597,20.00,dolphin,9/14/15,9/14/15,1/8/18,847,US,CA,Lake Elsinore,TRUE,9.00,629.20,40.64,15887,11,shopping,,1,,
20230533,43.00,minnow,8/14/16,8/14/16,10/18/16,65,US,OR,Portland,TRUE,1.00,142.99,11.97,293,16,shopping,,1,,
20612997,2508.00,whale,9/5/16,9/5/16,9/18/16,13,US,NC,Wilmington,TRUE,86.00,16576.04,1120.44,9754,308,shopping,,2,,
21046930,-7.00,minnow,10/3/16,10/4/16,,NaN,US,NY,Johnson City,TRUE,0.00,0.00,0.00,10,0,shopping,,1,,
21583978,69.00,minnow,11/4/16,11/4/16,3/2/17,118,US,MA,Dracut,TRUE,7.00,1131.43,78.69,0,12,shopping,,1,,
22059625,155.00,dolphin,11/30/16,11/30/16,12/7/16,7,US,IL,Morton Grove,TRUE,42.00,3244.95,240.12,396,65,shopping,,1,,
22068784,8112.00,whale,12/1/16,12/1/16,12/7/16,6,US,CA,Van Nuys,TRUE,302.00,52444.08,3428.73,300,764,shopping,,,,
22369105,311.00,minnow,12/15/16,12/19/16,5/27/18,524,US,IN,Elkhart,FALSE,9.00,3187.23,341.35,0,9,shopping,,,,
24332516,307.00,minnow,3/24/17,3/24/17,4/2/17,9,US,FL,BROOKSVILLE,FALSE,4.00,166.48,9.06,0,22,shopping,,,,
24496804,52.00,minnow,4/1/17,4/1/17,5/5/17,34,US,PA,Harrisburg,TRUE,3.00,93.75,9.86,0,26,shopping,,2,,
24789711,135.00,minnow,4/15/17,4/15/17,6/16/17,62,US,FL,Melbourne,TRUE,7.00,878.08,63.43,12,16,shopping,,1,,
24976403,1420.00,dolphin,4/25/17,4/25/17,5/5/17,10,US,CA,Long Beach,TRUE,59.00,8862.75,511.14,3032,112,shopping,,,,
25222703,496.00,minnow,5/8/17,5/8/17,6/21/17,44,US,FL,Altamonte Springs,TRUE,13.00,4664.17,672.19,721,15,shopping,,1,,
25623282,593.00,dolphin,5/28/17,5/28/17,6/6/17,9,US,TX,San Antonio,TRUE,1.00,53.51,1.87,335,8,shopping,,1,,
25982058,565.00,dolphin,6/16/17,6/16/17,6/27/17,11,US,KS,Peck,TRUE,19.00,2912.32,95.66,2809,33,shopping,,1,,
26108518,835.00,dolphin,6/23/17,6/23/17,7/3/17,10,US,VA,Roanoke,TRUE,7.00,872.06,65.43,458,30,shopping,,1,,
26221021,7.00,minnow,6/29/17,6/29/17,12/21/17,175,US,NC,Catawba,FALSE,1.00,37.71,3.39,0,2,shopping,,,,
26304974,-12.00,minnow,7/3/17,7/17/17,12/1/17,137,US,MS,Vancleave,FALSE,0.00,0.00,0.00,0,1,shopping,,1,,
26854406,4.00,minnow,8/2/17,8/2/17,3/24/18,234,US,UT,Layton,FALSE,1.00,63.00,4.77,0,1,shopping,,1,,
26858789,-3.00,minnow,8/3/17,8/3/17,,NaN,US,FL,Jacksonville,FALSE,0.00,0.00,0.00,0,0,shopping,,,,
26975443,16.00,minnow,8/9/17,8/9/17,8/17/17,8,US,AZ,Scottsdale,FALSE,2.00,167.82,13.76,0,7,shopping,,,,
27365596,137.00,minnow,8/29/17,8/29/17,9/8/17,10,US,CA,SAN MARCOS,TRUE,18.00,2288.61,158.68,83,24,shopping,,1,,
27408231,3328.00,dolphin,8/31/17,10/27/17,11/12/17,16,US,UT,Payson,TRUE,368.00,20454.85,1650.39,100548,432,shopping,,1,,
27463317,-8.00,minnow,9/3/17,9/3/17,,NaN,US,NC,Wilmington,FALSE,0.00,0.00,0.00,0,0,shopping,,1,,
27515811,403.00,dolphin,9/5/17,9/5/17,9/9/17,4,US,NY,Middle Island,TRUE,21.00,1091.54,90.93,3523,35,shopping,,1,,
27760596,1226.00,dolphin,9/18/17,9/18/17,11/5/17,48,US,OH,Circleville,TRUE,131.00,13361.91,1123.76,1407,151,shopping,,1,,
28816857,1933.00,whale,11/12/17,11/12/17,11/26/17,14,US,OR,Portland,TRUE,58.00,6606.79,756.80,5867,64,shopping,,1,,
28913617,44.00,minnow,11/17/17,11/17/17,12/18/17,31,US,PA,Hazleton,TRUE,9.00,860.61,56.93,108,10,shopping,,1,,
29140933,36.00,minnow,11/27/17,11/27/17,1/1/18,35,US,WA,Snohomish,TRUE,35.00,486.26,43.98,256,38,shopping,,1,,
29334988,0.00,minnow,12/5/17,12/5/17,,NaN,US,FL,Tallahassee,TRUE,0.00,0.00,0.00,99,0,shopping,,1,,
29355675,-2.00,minnow,12/6/17,12/6/17,5/1/18,146,US,TX,Coppell,FALSE,1.00,194.39,16.60,0,1,shopping,,,,
29696593,19.00,minnow,12/20/17,12/20/17,12/26/17,6,US,MD,Rockville,TRUE,11.00,375.88,26.34,14,13,shopping,,1,,
29894856,3.00,minnow,12/31/17,12/31/17,1/9/19,374,US,TX,Anna,TRUE,1.00,164.99,5.77,854,1,shopping,,1,,
30027981,120.00,minnow,1/7/18,1/7/18,,NaN,RU,,astrakhan,FALSE,0.00,0.00,0.00,0,0,shopping,,,,
30522514,29.00,minnow,2/6/18,2/6/18,4/29/18,82,US,NY,Broadalbin,TRUE,8.00,242.21,27.10,2132,8,shopping,,1,,
30682645,23.00,sea_bass,2/16/18,2/16/18,3/16/18,28,US,NM,Ruidoso,TRUE,37.00,593.39,50.39,0,37,shopping,,1,,
30683071,-1.00,minnow,2/16/18,2/16/18,3/9/18,21,US,MN,PRIOR LAKE MN,FALSE,2.00,63.08,3.88,0,2,shopping,,,,
30716728,-2.00,minnow,2/18/18,2/18/18,10/9/18,233,US,FL,Hollywood,TRUE,2.00,72.34,6.24,130,2,shopping,,1,,
30731164,-18.00,minnow,2/19/18,2/19/18,10/3/18,226,US,CA,Garden Grove,TRUE,1.00,3.75,0.50,187,1,shopping,,1,,
31881207,-1.00,minnow,4/25/18,4/25/18,5/23/18,28,US,FL,Boca Raton,TRUE,4.00,254.97,16.43,72,4,shopping,,1,,
31906760,-31.00,minnow,4/26/18,4/26/18,8/1/18,97,US,TN,Rockwood,TRUE,4.00,554.85,41.74,452,4,shopping,,1,,
32081570,0.00,minnow,5/4/18,5/4/18,,NaN,US,AL,anchorage,TRUE,0.00,0.00,0.00,197,0,shopping,,1,,
33136751,1060.00,dolphin,6/26/18,6/26/18,7/16/18,20,US,FL,Doral,TRUE,108.00,5646.34,1017.77,2955,108,shopping,2,1,https://www.google.com/,
33776103,54.00,minnow,7/29/18,7/29/18,8/5/18,7,US,NC,Bahama,TRUE,9.00,790.32,64.63,1624,9,shopping,6,1,https://www.google.com/,
34069546,0.00,minnow,8/12/18,8/12/18,9/11/18,30,US,FL,Kissimmee,TRUE,1.00,8.50,0.77,27,1,shopping,-1,1,https://www.google.com/,jmtradingusa
34367420,51.00,dolphin,8/28/18,8/28/18,9/3/18,6,CN,,Chongqing,TRUE,3.00,948.65,85.38,1997,3,shopping,,1,,
34500521,1108.00,dolphin,9/6/18,9/6/18,9/13/18,7,US,FL,Plantation,TRUE,29.00,8168.71,1100.22,0,29,shopping,8,3,https://www.google.com/,
35108966,148.00,minnow,10/9/18,10/9/18,12/22/18,74,US,FL,Tampa,TRUE,1.00,360.00,32.40,39,1,shopping,,,,
35167060,-8.00,minnow,10/12/18,10/12/18,,NaN,US,CA,Camarillo,TRUE,0.00,0.00,0.00,300,0,shopping,8,1,https://www.google.com/,
35545691,40.00,minnow,11/1/18,11/1/18,,NaN,US,FL,MIAMI,FALSE,0.00,0.00,0.00,0,0,shopping,,3,,
36226408,135.00,dolphin,12/7/18,12/8/18,12/10/18,2,US,SC,Greenwood,TRUE,53.00,3971.36,301.46,447,53,shopping,8,1,Direct,
36714146,0.00,minnow,1/2/19,1/2/19,,NaN,CN,,JINHUA,TRUE,0.00,0.00,0.00,103,0,shopping,8,1,Direct,
22408225,122.00,dolphin,12/17/16,12/17/16,1/21/17,35,JP,,Kawasaki-shi,TRUE,9.00,1702.79,49.33,31418,66,search_seller_targeted,,1,,
25675316,0.00,minnow,5/31/17,5/31/17,,NaN,US,ID,Kendrick,FALSE,0.00,0.00,0.00,0,0,search_seller_targeted,,,,
30784815,148.00,dolphin,2/22/18,2/22/18,5/13/18,80,US,UT,Logan,TRUE,28.00,5552.99,387.20,1870,28,search_seller_targeted,,1,,
30922324,1247.00,dolphin,3/2/18,3/2/18,4/2/18,31,US,NC,Franklin,TRUE,42.00,7288.93,647.35,926,42,search_seller_targeted,,1,,
31744834,60.00,minnow,4/18/18,4/18/18,7/22/18,95,US,FL,Haines City,TRUE,8.00,1253.88,81.08,99,8,search_seller_targeted,,2,,
31886372,0.00,minnow,4/25/18,4/25/18,,NaN,GB,,Nuneaton,TRUE,0.00,0.00,0.00,0,0,search_seller_targeted,,1,,
33317832,0.00,minnow,7/5/18,7/5/18,,NaN,US,VA,Norfolk,FALSE,0.00,0.00,0.00,0,0,search_seller_targeted,-1,1,Direct,
33402012,-2.00,minnow,7/10/18,7/10/18,8/13/18,34,US,FL,Port st lucie,FALSE,1.00,65.39,4.99,0,1,search_seller_targeted,6,1,http://www.google.com/,Other ways to sell besides ebay
33986158,0.00,minnow,8/8/18,8/8/18,,NaN,GB,,WEM,TRUE,0.00,0.00,0.00,27,0,search_seller_targeted,-1,,Direct,
34864012,-6.00,minnow,9/26/18,9/26/18,,NaN,US,OH,Continental,FALSE,0.00,0.00,0.00,0,0,search_seller_targeted,17,1,https://www.google.com/,
35019887,543.00,dolphin,10/4/18,10/4/18,10/10/18,6,US,SC,Moore,TRUE,134.00,3191.92,458.39,352,134,search_seller_targeted,17,1,https://www.google.com/,
35438936,0.00,minnow,10/26/18,10/26/18,,NaN,US,CO,evergreen,FALSE,0.00,0.00,0.00,0,0,search_seller_targeted,17,1,https://www.google.com/,
35513873,0.00,minnow,10/30/18,10/30/18,,NaN,US,CA,Long Beach,FALSE,0.00,0.00,0.00,0,0,search_seller_targeted,17,1,https://www.google.com/,
615335,474.00,dolphin,8/18/10,5/6/17,5/10/17,4,US,KY,HICKMAN,FALSE,3.00,429.97,38.70,0,28,other_search,,,,
987225,629.00,dolphin,3/27/11,12/28/16,1/7/17,10,US,NY,New Hartford,FALSE,5.00,216.83,12.84,0,27,other_search,,,,
21004165,1595.00,sea_bass,9/30/16,9/30/16,12/9/16,70,HK,,HongKong,TRUE,30.00,893.68,77.30,1299,129,other_search,,,,
21332511,469.00,sea_bass,10/19/16,10/19/16,11/3/16,15,US,NV,Las Vegas,TRUE,14.00,998.21,101.05,208,85,other_search,,1,,
28010950,290.00,minnow,9/30/17,9/30/17,,NaN,US,TN,Milan,FALSE,0.00,0.00,0.00,0,0,other_search,,,,
28412405,0.00,minnow,10/21/17,10/21/17,,NaN,US,CA,San Diego,FALSE,0.00,0.00,0.00,0,0,other_search,,1,,
29030061,2.00,minnow,11/22/17,11/22/17,1/19/18,58,US,NJ,Rockaway,FALSE,0.00,0.00,0.00,0,2,other_search,,,,
29716885,24.00,minnow,12/21/17,12/21/17,1/12/18,22,US,WI,Hartland,FALSE,12.00,1810.12,119.92,0,19,other_search,,,,
