id,featured_category_id,profit_estimate,value_em,created_at,first_sale,days_to_sale,days_as_user,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
363,No Category,149.68,MINNOW,2008-07-14,2008-08-23,40.00,"3,809.00",0.04,257.00,0.58,4.00,Beattyville,Kentucky,US,8.00,43.00,1.00,NAN,0.00,121.00,0.47,5.00
437,Toys & Hobbies,33.30,MINNOW,2008-07-22,2008-10-06,76.00,"3,801.00",0.01,79.00,0.42,,Port Charlotte,FL,US,218.00,148.00,0.00,0.00,0.00,17.00,0.22,4.88
819,No Category,85.67,MINNOW,2008-08-10,2008-08-17,7.00,"3,782.00",0.02,218.00,0.39,0.00,Rockwall,Texas,US,9.00,50.00,0.00,0.00,0.00,86.00,0.39,5.00
881,Pottery & Glass,"1,439.50",MINNOW,2008-08-12,2008-10-29,78.00,"3,780.00",0.38,322.00,4.47,4.00,Lebanon,OR,US,22.00,99.00,0.00,0.00,0.00,73.00,0.23,5.00
900,Books,150.48,MINNOW,2008-08-13,2008-08-22,9.00,"3,779.00",0.04,200.00,0.75,,Morganton,NC,US,41.00,6.00,0.00,0.00,0.00,33.00,0.17,4.88
1199,No Category,197.26,SEA_BASS,2008-08-21,2008-08-27,6.00,"3,771.00",0.05,756.00,0.26,4.00,Mt. Pleasant,Texas,US,592.00,252.00,0.00,0.00,0.00,108.00,0.14,5.00
1490,No Category,870.34,MINNOW,2008-08-25,2008-09-26,32.00,"3,767.00",0.23,253.00,3.44,4.00,Lascassas,TN,US,530.00,296.00,9.00,0.03,0.00,13.00,0.05,5.00
1494,Home & Garden,"3,464.63",SEA_BASS,2008-08-25,2009-10-27,428.00,"3,767.00",0.92,974.00,3.56,,Houston,TX,US,295.00,363.00,7.00,0.02,0.00,61.00,0.06,4.75
1630,No Category,"4,069.87",SEA_BASS,2008-08-27,2009-02-25,182.00,"3,765.00",1.08,433.00,9.40,4.00,Colorado Springs,CO,US,108.00,"1,259.00",4.00,NAN,3.00,272.00,0.63,4.97
1686,No Category,-912.95,SEA_BASS,2008-08-27,2008-09-24,28.00,"3,765.00",-0.24,631.00,-1.45,,Largo,FL,US,"3,452.00","3,198.00",13.00,0.00,0.00,64.00,0.10,4.73
1698,Health & Beauty,360.86,DOLPHIN,2008-08-27,2012-03-12,"1,293.00","3,765.00",0.10,114.00,3.17,,Germantown,MD,US,13.00,43.00,1.00,0.00,0.00,18.00,0.16,5.00
1902,1,58.39,MINNOW,2008-08-29,2008-09-30,32.00,"3,763.00",0.02,364.00,0.16,,La Palma,CA,US,427.00,442.00,1.00,0.06,0.00,98.00,0.27,5.00
2078,No Category,-8.65,MINNOW,2008-08-31,2015-09-30,"2,586.00","3,761.00",0.00,52.00,-0.17,3.00,Houston,TX,US,753.00,473.00,0.00,0.00,0.00,1.00,0.02,5.00
2197,Fashion,897.79,SEA_BASS,2008-09-02,2008-12-06,95.00,"3,759.00",0.24,"1,736.00",0.52,0.00,Indiana,PA,US,839.00,"1,309.00",2.00,0.00,0.00,71.00,0.04,4.83
2532,Home & Garden,155.30,MINNOW,2008-09-07,2008-09-13,6.00,"3,754.00",0.04,158.00,0.98,,Egg Harbor TWP,NJ,US,55.00,70.00,0.00,0.00,0.00,42.00,0.27,4.90
2558,Crafts,227.05,MINNOW,2008-09-07,2009-08-20,347.00,"3,754.00",0.06,291.00,0.78,,Sun City,AZ,US,151.00,"3,453.00",2.00,NAN,0.00,154.00,0.53,5.00
2641,Pottery & Glass,-72.43,MINNOW,2008-09-08,2009-10-27,414.00,"3,753.00",-0.02,165.00,-0.44,,Prescott,AZ,US,946.00,938.00,1.00,0.00,0.00,15.00,0.09,3.80
2708,Fashion,"4,541.77",DOLPHIN,2008-09-09,2008-09-21,12.00,"3,752.00",1.21,278.00,16.34,,El Monte,CA,US,17.00,195.00,0.00,0.00,0.00,175.00,0.63,4.98
2762,Entertainment Memorabilia,222.71,MINNOW,2008-09-09,2008-09-17,8.00,"3,752.00",0.06,318.00,0.70,,Winter Garden,FL,US,"1,398.00",346.00,1.00,NAN,0.00,56.00,0.18,4.96
